study,year,value,ymin,ymax
Konikow (2011),1955,33.2,24.28,42.14
Konikow (2011),1965,41.16,30.09,52.23
Konikow (2011),1975,59.26,43.32,75.2
Konikow (2011),1985,76.87,56.19,97.55
Konikow (2011),1995,102,74.57,129.43
Konikow (2011),2004.5,145.3,106.22,184.38
