study,depletion ,year
Wada et al (2010),126,1960
Wada et al (2010),283,2000
Konikow (2011),145,2004
Wada et al (2012),64,1960
Wada et al (2012),204,2000
Wada et al (2012),295,2050
"Pokhrel et al (2012a, 2012b)",455,2000
Döll et al (2014),113,2004.5
Van Dijk et al (2014),92,2007.5
Wada and Bierkens (2014),90,1960
Wada and Bierkens (2014),304,2010
Wada and Bierkens (2014),597,2099
Yoshikawa et al (2014),510,2000
Yoshikawa et al (2014),1150,2050
Pokhrel et al (2015),330,2000
De Graaf et al (2017),137,1985
Hanasaki et al (2018),182,2000
