basin.name.old,basin.name
Arctic Ocean Islands,ArcticIsl
Northwest Territories,NWTerr
Siberia-North Coast,SiberiaN
Siberia-West Coast,SiberiaW
Kara Sea Coast,KaraSea
Lena,LenaR
Pacific and Arctic Coast,PacArctic
Scandinavia-North Coast,ScndnvN
Russia-Barents Sea Coast,BarentsSea
Mackenzie,Mackenzie
Iceland,Iceland
Sweden,Sweden
Finland,Finland
Northern Dvina,DvinaRN
Hudson Bay Coast,HudsonBay
Scotland,Scotland
Neva,NevaR
Volga,VolgaR
Atlantic Ocean Seaboard,CanAtl
Baltic Sea Coast,BalticSea
Denmark-Germany Coast,DnkGrmCst
Narva,NarvaR
Saskatchewan-Nelson,NelsonR
Ireland,Ireland
Daugava,DaugavaR
England and Wales,EngWales
Fraser,FraserR
Ems-Weser,EmsWeserR
Oder,OderR
Wisla,WislaR
Elbe,ElbeR
Rhine,RhineR
Poland Coast,PolandCst
Churchill,ChurchillR
Neman,NemanR
Scheldt,ScheldtR
Russia-South East Coast,RusCstSE
Ural,UralR
Dnieper,DnieperR
St Lawrence,StLwrncR
France-West Coast,FranceCstW
Gobi Interior,Gobi
Amur,AmurR
Loire,LoireR
Caspian Sea Coast,CaspianNE
Seine,SeineR
Black Sea-North Coast,BlackSeaN
Yenisey,YeniseiR
Dniester,DniesterR
Italy-East Coast,ItalyCstE
Japan,Japan
Caspian Sea-East Coast,CaspianE
Don,DonR
Danube,DanubeR
Adriatic Sea-Greece-Black Sea Coast,AdrBlkSea
Ob,ObR
Po,PoR
Amu Darya,AmuDaryaR
Italy-West Coast,ItalyCstW
Spain-Portugal-Atlantic Coast,IberiaCst
France-South Coast,FranceCstS
Rhone,RhoneR
Mediterranean Sea Islands,MeditIsl
Gironde,Gironde
North and South Korea,Korea
Bo Hai-Korean Bay-North Coast,BoHai
Spain-South and East Coast,SpainCstSE
Lake Balkash,LBalkash
Tiber,TiberR
Black Sea-South Coast,BlackSeaS
Tagus,TagusR
Caspian Sea-South West Coast,CaspianSW
Ebro,EbroR
Douro,DouroR
Mediterranean Sea-East Coast,MeditE
Syr Darya,SyrDaryaR
Ziya He-Interior,ZiyaHe
China Coast,ChinaCst
Huang He,HuangHeR
Mediterranean South Coast,MeditS
Guadiana,GuadianaR
Central Iran,Iran
Guadalquivir,GuadalqR
Tigris-Euphrates,TigrEuphR
Tarim Interior,Tarim
Africa-North West Coast,AfrCstNW
Nile,NileR
Persian Gulf Coast,PersianGulf
Indus,IndusR
Farahrud,FarahrudR
Baja California,MexBaja
Plateau of Tibet Interior,Tibet
Red Sea-East Coast,RedSeaE
Arabian Peninsula,ArabianP
Dead Sea,DeadSea
Mexico-Northwest Coast,MexCstNW
Helmand,Helmand
Sinai Peninsula,SinaiP
Eastern Jordan-Syria,EJrdnSyr
Africa-Red Sea-Gulf of Aden Coast,AfrCstNE
Caribbean,Caribbean
Hamun-i-Mashkel,HamuMashR
Taiwan,Taiwan
Arabian Sea Coast,ArabianSea
North Gulf,MexGulf
Yangtze,Yangtze
Sabarmati,SabarmatiR
Xun Jiang,XunJiang
Hong-Red River,Hong
Ganges-Bramaputra,GangesR
Yucatan Peninsula,YucatanP
South China Sea Coast,SChinaSea
Mahi,MahiR
Mexico-Interior,MexInt
Pacific Central Coast,MexCstW
Bay of Bengal-North East Coast,BengalBay
Tapti,TaptiR
Yasai,BengalW
Philippines,Phlppns
Brahamani,BrahmaniR
North Marina Islands and Guam,Guam
Mahandi,MahanadiR
Godavari,GodavariR
Hainan,Hainan
Mekong,Mekong
Viet Nam-Coast,VietnamCst
Salween,Salween
India North East Coast,IndCstNE
India West Coast,IndCstW
Papaloapan,Papaloapan
Rio Lerma,RioLerma
Rio Verde,RioVerde
Grijalva-Usumacinta,GrijUsuR
Rio Balsas,RioBalsas
Southern Central America,CntAmer
Isthmus of Tehuantepec,Tehuantpc
Irrawaddy,IrrawaddyR
Sittang,SittaungR
Peninsula Malaysia,MalaysiaP
Krishna,KrishnaR
Andaman-Nicobar Islands,AdnNicIsl
Africa-West Coast,AfrCstW
Caribbean Coast,SAmerCstN
Africa-North Interior,AfrIntN
India East Coast,IndCstE
Chao Phraya,ChaoPhrR
Pennar,PennarR
Gulf of Thailand Coast,ThaiGulf
Niger,NigerR
Micronesia,Micronesia
Lake Chad,LChad
Senegal,SenegalR
Cauvery,CauveryR
Sri Lanka,SriLanka
India South Coast,IndCstS
Orinoco,OrinocoR
Colombia-Ecuador-Pacific Coast,ColEcuaCst
Palau and East Indonesia,IdnE
North Borneo Coast,BorneoCstN
Volta,VoltaR
Northeast South America-South Atlantic Coast,SAmerCstNE
Gulf of Guinea,GuineaGulf
Sumatra,Sumatra
Sulawesi,Sulawesi
Kalimantan,Kalimantan
Magdalena,MagdalenaR
Irian Jaya Coast,IrianJaya
Amazon,AmazonR
South Chile-Pacific Coast,ChileCstS
Shebelli-Juba,ShebJubR
Africa-East Central Coast,AfrCstE
North Brazil-South Atlantic Coast,BrzCstN
Papua New Guinea Coast,PapuaCst
Tocantins,TocantinsR
Java-Timor,JavaTimor
Solomon Islands,SolomonIsl
Madasgacar,Madasgacar
Sepik,SepikR
Rift Valley,RiftValley
Peru-Pacific Coast,PeruCst
Fly,FlyR
Angola-Coast,AngolaCst
Congo,CongoR
Australia-North Coast,AusCstN
South Pacific Islands,NewCaledn
East Brazil-South Atlantic Coast,BrzCstE
