"","GCAM_basin_ID","GCAM_basin_name","prob","med_peak_yr","gw_ratio","price","(a) Number (%), peak scenarios","(b) Median peak year","(c) Median depletion (BCM)","(c) Mean depletion (BCM)","(d) Peak-year dependence (%)","(e) Water price (USD per m3)"
"24",24,"Ireland",0,2101,0,5.0974555e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"25",25,"Daugava",0,2101,0,4.9780285e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"26",26,"England and Wales",0.00222222222222222,2101,0,0.00036889172,"1 - 224 (less than 25%)","No peak and decline","0",2.11550788888889e-05,"0","0 - 0.01"
"27",27,"Fraser",0,2101,0,4.854066e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"28",28,"Ems-Weser",0.00111111111111111,2101,0,0.00040058147,"1 - 224 (less than 25%)","No peak and decline","0",0.0271597622222222,"0","0 - 0.01"
"29",29,"Oder",0.5,2045.5,0.107689080509284,0.00022017479,"450 - 674 (50 - 75 %)","2040 - 2059","0 - 200",1.22209187318889,"0 - 20","0 - 0.01"
"30",30,"Wisla",0,2101,0,8.7811745e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"31",31,"Elbe",0.906666666666667,2005,0.0997880051972919,0.00077774895,"675 - 855 (75 - 95%)","1990 - 2014","0 - 200",4.99830765070889,"0 - 20","0 - 0.01"
"32",32,"Rhine",0,2101,0,0.000367320745,"0","No peak and decline","0",0.00460832277777778,"0","0 - 0.01"
"33",33,"Poland Coast",0.5,2045.5,0.169193923331939,9.470782e-05,"450 - 674 (50 - 75 %)","2040 - 2059","0 - 200",0.758999270722222,"0 - 20","0 - 0.01"
"34",34,"Churchill",0,2101,0,4.70329e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"35",35,"Neman",0,2101,0,5.229126e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"36",36,"Scheldt",0.962222222222222,2005,0.0533008111634239,0.00076799645,"855 - 900 (more than 95%)","1990 - 2014","0 - 200",0.406755448933333,"0 - 20","0 - 0.01"
"37",37,"Russia-South East Coast",0,2101,0,5.1779195e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"38",38,"Ural",0,2101,0,8.4981875e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"39",39,"Dnieper",0,2101,0,8.2248355e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"40",40,"St Lawrence",0,2101,0,4.740608e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"41",41,"France-West Coast",0,2101,0,0.00027227147,"0","No peak and decline","0",0,"0","0 - 0.01"
"42",42,"Gobi Interior",0.571111111111111,2085,0.278770658657456,0.004098541,"450 - 674 (50 - 75 %)","2080 - 2095","0 - 200",186.541198464922,"20 - 40","0 - 0.01"
"43",43,"Amur",0,2101,0,0.00010729348,"0","No peak and decline","0",0,"0","0 - 0.01"
"44",44,"Loire",0.457777777777778,2101,0.0248964978394371,0.000401704065,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",0.643802036897778,"0 - 20","0 - 0.01"
"45",45,"Caspian Sea Coast",0.924444444444444,1990,0.447032015931372,0.00138631905,"675 - 855 (75 - 95%)","1990 - 2014","0 - 200",26.7727023409478,"40 - 60","0 - 0.01"
"46",46,"Seine",0.453333333333333,2101,0.0982959933425839,0.00128383555,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",6.04211565168667,"0 - 20","0 - 0.01"
"47",47,"Black Sea-North Coast",0,2101,0,8.9202005e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"48",48,"Yenisey",0,2101,0,4.7563295e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"49",49,"Dniester",1,1990,0.365412910029458,0.000933091,"855 - 900 (more than 95%)","1990 - 2014","0 - 200",1.80277983484422,"20 - 40","0 - 0.01"
"50",50,"Italy-East Coast",0.42,2101,0.0228656604811109,0.0008993779,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",0.898598929564444,"0 - 20","0 - 0.01"
"51",51,"Japan",0.5,2045.5,0.0491036202528778,9.141218e-05,"450 - 674 (50 - 75 %)","2040 - 2059","0 - 200",4.59033989902578,"0 - 20","0 - 0.01"
"52",52,"Caspian Sea-East Coast",0.964444444444444,2030,0.361231550547532,0.059382385,"855 - 900 (more than 95%)","2015 - 2039","0 - 200",209.692528746833,"20 - 40","0.01 - 0.1"
"53",53,"Don",0,2101,0,9.6537295e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"54",54,"Danube",0,2101,0,5.285056e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"55",55,"Adriatic Sea-Greece-Black Sea Coast",0.43,2101,0.00403502512073174,0.000712849,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",5.94420233582222,"0 - 20","0 - 0.01"
"56",56,"Ob",0,2101,0,4.88847e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"57",57,"Po",0.475555555555556,2101,0.00543771080991287,0.00061063105,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",0.194620604012222,"0 - 20","0 - 0.01"
"58",58,"Amu Darya",0.947777777777778,2065,0.381101593001705,0.26454655,"675 - 855 (75 - 95%)","2060 - 2079","200 - 400",300.360059888156,"20 - 40","0.1 - 0.5"
"59",59,"Italy-West Coast",0.485555555555556,2101,0.0416723699594129,0.000261804335,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",0.421871933653333,"0 - 20","0 - 0.01"
"60",60,"Spain-Portugal-Atlantic Coast",0,2101,0,0.000140282545,"0","No peak and decline","0",0,"0","0 - 0.01"
"61",61,"France-South Coast",0.452222222222222,2101,0.0493652531895554,0.0007710397,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",0.394970106239111,"0 - 20","0 - 0.01"
"62",62,"Rhone",0,2101,0,6.6849275e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"63",63,"Mediterranean Sea Islands",0.927777777777778,2005,0.213158967287133,0.0012439255,"675 - 855 (75 - 95%)","1990 - 2014","0 - 200",2.79173647774111,"20 - 40","0 - 0.01"
"64",64,"Gironde",0,2101,0,8.6725575e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"65",65,"North and South Korea",0.533333333333333,2050,0.0980278382070505,0.001105863,"450 - 674 (50 - 75 %)","2040 - 2059","0 - 200",12.2171445376987,"0 - 20","0 - 0.01"
"66",66,"Bo Hai-Korean Bay-North Coast",0.991111111111111,2030,0.138286566776768,0.0014845044,"855 - 900 (more than 95%)","2015 - 2039","0 - 200",62.0287636288122,"0 - 20","0 - 0.01"
"67",67,"Spain-South and East Coast",0.891111111111111,2005,0.133221207141707,0.0034874094,"675 - 855 (75 - 95%)","1990 - 2014","0 - 200",12.3349706743444,"0 - 20","0 - 0.01"
"68",68,"Lake Balkash",0.465555555555556,2101,0.108593368843858,0.00014755791,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",31.6454618143667,"0 - 20","0 - 0.01"
"69",69,"Tiber",0,2101,0,0.00032554033,"0","No peak and decline","0",0,"0","0 - 0.01"
"70",70,"Black Sea-South Coast",0.468888888888889,2101,0.0295592805574744,0.00064472015,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",9.33654504695,"0 - 20","0 - 0.01"
"71",71,"Tagus",0.881111111111111,2030,0.103404811186423,0.0038115919,"675 - 855 (75 - 95%)","2015 - 2039","0 - 200",11.2493789552778,"0 - 20","0 - 0.01"
"72",72,"Caspian Sea-South West Coast",1,2020,0.35174818401937,0.0037476014,"855 - 900 (more than 95%)","2015 - 2039","0 - 200",119.290319973589,"20 - 40","0 - 0.01"
"73",73,"Ebro",0.428888888888889,2101,0.0157292072653761,0.0012934212,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",1.98469027440766,"0 - 20","0 - 0.01"
"74",74,"Douro",0.431111111111111,2101,0.0200143056954822,0.00262881105,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",4.24120674114,"0 - 20","0 - 0.01"
"75",75,"Mediterranean Sea-East Coast",0.997777777777778,2040,0.416621109893298,1.4709684,"855 - 900 (more than 95%)","2040 - 2059","200 - 400",196.088614083148,"40 - 60","1 - 5"
"76",76,"Syr Darya",0.585555555555556,2080,0.395006430193354,0.00137299925,"450 - 674 (50 - 75 %)","2080 - 2095","0 - 200",156.254989708,"20 - 40","0 - 0.01"
"77",77,"Ziya He-Interior",0.99,2030,0.198078690737652,0.003694529,"855 - 900 (more than 95%)","2015 - 2039","0 - 200",154.74767712508,"0 - 20","0 - 0.01"
"78",78,"China Coast",1,2015,0.124758444370497,0.00119971965,"855 - 900 (more than 95%)","2015 - 2039","0 - 200",72.5897179594,"0 - 20","0 - 0.01"
"79",79,"Huang He",0.995555555555556,2035,0.30936231037712,0.00401046535,"855 - 900 (more than 95%)","2015 - 2039","200 - 400",314.61734540119,"20 - 40","0 - 0.01"
"80",80,"Mediterranean South Coast",0.958888888888889,2040,0.365820336026543,0.12805667,"855 - 900 (more than 95%)","2040 - 2059","0 - 200",157.370774361144,"20 - 40","0.1 - 0.5"
"81",81,"Guadiana",0.945555555555556,2020,0.173983641413755,0.00326716975,"675 - 855 (75 - 95%)","2015 - 2039","0 - 200",13.5300716593767,"0 - 20","0 - 0.01"
"82",82,"Central Iran",0.992222222222222,2065,0.516645058390017,2.3966146,"855 - 900 (more than 95%)","2060 - 2079","400 - 600",419.178696928589,"40 - 60","1 - 5"
"83",83,"Guadalquivir",0.947777777777778,2050,0.236579193776068,0.9495974,"675 - 855 (75 - 95%)","2040 - 2059","0 - 200",27.5597207603789,"20 - 40","0.5 - 1"
"84",84,"Tigris-Euphrates",0.95,2050,0.329178098058423,0.15896011,"855 - 900 (more than 95%)","2040 - 2059","200 - 400",320.735400271589,"20 - 40","0.1 - 0.5"
"85",85,"Tarim Interior",0.887777777777778,2010,0.114612404508929,0.00211391665,"675 - 855 (75 - 95%)","1990 - 2014","0 - 200",73.8217336078756,"0 - 20","0 - 0.01"
"86",86,"Africa-North West Coast",0.988888888888889,2045,0.328183835325923,0.07249985,"855 - 900 (more than 95%)","2040 - 2059","0 - 200",119.186692500667,"20 - 40","0.01 - 0.1"
"87",87,"Nile",0.776666666666667,2070,0.353879135313547,0.06828113,"675 - 855 (75 - 95%)","2060 - 2079","more than 1000",1127.68720268332,"20 - 40","0.01 - 0.1"
"88",88,"Persian Gulf Coast",0.842222222222222,2070,0.384910875518432,0.08789235,"675 - 855 (75 - 95%)","2060 - 2079","0 - 200",90.5588232183666,"20 - 40","0.01 - 0.1"
"89",89,"Indus",0.971111111111111,2040,0.359118264163889,4.7,"855 - 900 (more than 95%)","2040 - 2059","600 - 800",706.793278315438,"20 - 40","1 - 5"
"90",90,"Farahrud",0.955555555555556,2050,0.311021204564238,0.060414035,"855 - 900 (more than 95%)","2040 - 2059","0 - 200",9.57686289815445,"20 - 40","0.01 - 0.1"
"91",91,"Baja California",0.786666666666667,2030,0.917686630461824,0.121093385,"675 - 855 (75 - 95%)","2015 - 2039","0 - 200",21.4979729163222,"80 - 100","0.1 - 0.5"
"92",92,"Plateau of Tibet Interior",0,2101,0,4.7996635e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"93",93,"Red Sea-East Coast",0.966666666666667,2050,0.702807147814243,6.8479235,"855 - 900 (more than 95%)","2040 - 2059","200 - 400",241.84780844902,"60 - 80","More than $5"
"94",94,"Arabian Peninsula",0.941111111111111,2060,0.761065475187894,0.322048935,"675 - 855 (75 - 95%)","2060 - 2079","800 - 1000",871.594975705089,"60 - 80","0.1 - 0.5"
"95",95,"Dead Sea",0.991111111111111,2040,0.523062219639161,0.92806905,"855 - 900 (more than 95%)","2040 - 2059","0 - 200",38.7484732415667,"40 - 60","0.5 - 1"
"96",96,"Mexico-Northwest Coast",0.963333333333333,2022.5,0.68880834833808,0.00228244925,"855 - 900 (more than 95%)","2015 - 2039","0 - 200",84.8484135845833,"60 - 80","0 - 0.01"
"97",97,"Helmand",0.925555555555556,2050,0.312893443073933,0.127828015,"675 - 855 (75 - 95%)","2040 - 2059","0 - 200",38.3234550304908,"20 - 40","0.1 - 0.5"
"98",98,"Sinai Peninsula",0.592222222222222,2085,0.572942059825428,0.1647867,"450 - 674 (50 - 75 %)","2080 - 2095","0 - 200",4.65588644139478,"40 - 60","0.1 - 0.5"
"99",99,"Eastern Jordan-Syria",0.93,2060,0.690095213542733,0.70111075,"675 - 855 (75 - 95%)","2060 - 2079","0 - 200",89.895487981,"60 - 80","0.5 - 1"
"100",100,"Africa-Red Sea-Gulf of Aden Coast",0.282222222222222,2101,0.084258112076053,0.0034134784,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",26.3567728522894,"0 - 20","0 - 0.01"
"101",101,"Caribbean",0.494444444444444,2101,0.0728069344229711,0.000412545555,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",14.8513896045433,"0 - 20","0 - 0.01"
"102",102,"Hamun-i-Mashkel",0.921111111111111,2065,0.639293180773845,0.123384165,"675 - 855 (75 - 95%)","2060 - 2079","0 - 200",46.69010123755,"60 - 80","0.1 - 0.5"
"103",103,"Taiwan",0,2101,0,0.000181804695,"0","No peak and decline","0",0,"0","0 - 0.01"
"104",104,"Arabian Sea Coast",0.915555555555556,2060,0.405747930823562,0.12607139,"675 - 855 (75 - 95%)","2060 - 2079","0 - 200",54.4149741553911,"40 - 60","0.1 - 0.5"
"105",105,"North Gulf",0.288888888888889,2101,0,0.00106332565,"225 - 449 (25 - 50 %)","No peak and decline","0",2.26317009186333,"0","0 - 0.01"
"106",106,"Yangtze",0,2101,0,9.50857e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"107",107,"Sabarmati",0.995555555555556,2030,0.4050633804519,3.1985944,"855 - 900 (more than 95%)","2015 - 2039","400 - 600",539.241343042265,"40 - 60","1 - 5"
"108",108,"Xun Jiang",0,2101,0,8.2605555e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"109",109,"Hong-Red River",0,2101,0,9.087215e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"110",110,"Ganges-Bramaputra",0.496666666666667,2101,0.0221595555121618,0.00083153105,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",176.458227915444,"0 - 20","0 - 0.01"
"111",111,"Yucatan Peninsula",0.468888888888889,2101,0.0184969287806464,0.00021207998,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",3.45702752562778,"0 - 20","0 - 0.01"
"112",112,"South China Sea Coast",0,2101,0,7.234804e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"113",113,"Mahi",1,2010,0.57720621921172,0.0032524094,"855 - 900 (more than 95%)","1990 - 2014","0 - 200",18.7932263175816,"40 - 60","0 - 0.01"
"114",114,"Mexico-Interior",0.96,2030,0.687996796699029,0.06702341,"855 - 900 (more than 95%)","2015 - 2039","0 - 200",44.4237977810556,"60 - 80","0.01 - 0.1"
"115",115,"Pacific Central Coast",0,2101,0,0.000167400605,"0","No peak and decline","0",0,"0","0 - 0.01"
"116",116,"Bay of Bengal-North East Coast",0,2101,0,4.8188395e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"117",117,"Tapti",0.991111111111111,2015,0.1706189044105,0.00101910805,"855 - 900 (more than 95%)","2015 - 2039","0 - 200",15.89152087935,"0 - 20","0 - 0.01"
"118",118,"Yasai",0.131111111111111,2101,0,0.000410457815,"1 - 224 (less than 25%)","No peak and decline","0",0.862027528856667,"0","0 - 0.01"
"119",119,"Philippines",0.5,2055.5,0.0681852616136537,0.0005113271,"450 - 674 (50 - 75 %)","2040 - 2059","0 - 200",2.46611943610823,"0 - 20","0 - 0.01"
"120",120,"Brahamani",0,2101,0,0.000156500835,"0","No peak and decline","0",0,"0","0 - 0.01"
"121",122,"Mahandi",0.00666666666666667,2101,0,0.000347423765,"1 - 224 (less than 25%)","No peak and decline","0",0.0219399766666667,"0","0 - 0.01"
"122",123,"Godavari",0.878888888888889,2020,0.11169638044378,0.00074145085,"675 - 855 (75 - 95%)","2015 - 2039","0 - 200",40.8701815040589,"0 - 20","0 - 0.01"
"123",124,"Hainan",0,2101,0,8.4573915e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"124",125,"Mekong",0,2101,0,7.72351e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"125",126,"Viet Nam-Coast",0,2101,0,5.728642e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"126",127,"Salween",0,2101,0,4.9444235e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"127",128,"India North East Coast",0.64,2045,0.128450614073937,0.0009265486,"450 - 674 (50 - 75 %)","2040 - 2059","0 - 200",3.45756284699,"0 - 20","0 - 0.01"
"128",129,"India West Coast",0,2101,0,5.161023e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"129",130,"Papaloapan",0,2101,0,5.355462e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"130",131,"Rio Lerma",0.98,2030,0.468761074974511,0.1148445,"855 - 900 (more than 95%)","2015 - 2039","0 - 200",62.5628730209222,"40 - 60","0.1 - 0.5"
"131",132,"Rio Verde",0.853333333333333,2060,0.22980442060106,0.11369018,"675 - 855 (75 - 95%)","2060 - 2079","0 - 200",34.2323535304589,"20 - 40","0.1 - 0.5"
"132",133,"Grijalva-Usumacinta",0,2101,0,4.969545e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"133",134,"Rio Balsas",0.484444444444444,2101,0.0696035323002749,0.0014911925,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",24.3477434970846,"0 - 20","0 - 0.01"
"134",135,"Southern Central America",0,2101,0,4.907411e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"135",136,"Isthmus of Tehuantepec",0,2101,0,5.047001e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"136",137,"Irrawaddy",0,2101,0,4.9254355e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"137",138,"Sittang",0,2101,0,5.110451e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"138",139,"Peninsula Malaysia",0.493333333333333,2101,0.0313696600824518,0.000399967885,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",6.13058241306,"0 - 20","0 - 0.01"
"139",140,"Krishna",0.98,2025,0.159340450087838,0.00398340275,"855 - 900 (more than 95%)","2015 - 2039","0 - 200",53.8840850202,"0 - 20","0 - 0.01"
"140",142,"Africa-West Coast",0.414444444444444,2101,0.0981844290373466,0.0335049605,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",51.4327019227222,"0 - 20","0.01 - 0.1"
"141",143,"Caribbean Coast",0.471111111111111,2101,0.0537991090529283,0.00034664756,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",14.6719471026556,"0 - 20","0 - 0.01"
"142",144,"Africa-North Interior",0.583333333333333,2090,0.460270235048482,0.011068218,"450 - 674 (50 - 75 %)","2080 - 2095","0 - 200",73.3497266062889,"40 - 60","0.01 - 0.1"
"143",145,"India East Coast",0.984444444444444,2020,0.207780237712697,0.138667625,"855 - 900 (more than 95%)","2015 - 2039","0 - 200",16.3683348809654,"20 - 40","0.1 - 0.5"
"144",146,"Chao Phraya",1,2025,0.608817031290862,1.95348215,"855 - 900 (more than 95%)","2015 - 2039","0 - 200",154.946211203313,"60 - 80","1 - 5"
"145",147,"Pennar",0.993333333333333,2015,0.350050576130509,0.0012906341,"855 - 900 (more than 95%)","2015 - 2039","0 - 200",12.0421144255111,"20 - 40","0 - 0.01"
"146",148,"Gulf of Thailand Coast",0,2101,0,8.662711e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"147",149,"Niger",0,2101,0,5.8960325e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"148",151,"Lake Chad",0,2101,0,7.367579e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"149",152,"Senegal",0.357777777777778,2101,0.122499472766369,0.0008827352,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",15.9109738810444,"0 - 20","0 - 0.01"
"150",153,"Cauvery",0.708888888888889,2025,0.116841623313939,0.00190570195,"450 - 674 (50 - 75 %)","2015 - 2039","0 - 200",7.04771810342889,"0 - 20","0 - 0.01"
"151",154,"Sri Lanka",0,2101,0,0.00011967516,"0","No peak and decline","0",0,"0","0 - 0.01"
"152",155,"India South Coast",0.491111111111111,2101,0.026610069519225,0.00068042135,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",2.38439750813667,"0 - 20","0 - 0.01"
"153",156,"Orinoco",0.483333333333333,2101,0.00778606814099351,0.0019341534,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",26.9441074144378,"0 - 20","0 - 0.01"
"154",157,"Colombia-Ecuador-Pacific Coast",0,2101,0,4.978287e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"155",158,"Palau and East Indonesia",0,2101,0,4.8303075e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"156",159,"North Borneo Coast",0,2101,0,4.728388e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"157",160,"Volta",0.0233333333333333,2101,0,0.000217574045,"1 - 224 (less than 25%)","No peak and decline","0",0.938874830333333,"0","0 - 0.01"
"158",161,"Northeast South America-South Atlantic Coast",0.483333333333333,2101,0.00519540251624176,0.00132226745,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",7.66497609256789,"0 - 20","0 - 0.01"
"159",162,"Gulf of Guinea",0.415555555555556,2101,0.089688018818188,0.0162443985,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",12.2231153919392,"0 - 20","0.01 - 0.1"
"160",163,"Sumatra",0,2101,0,4.965926e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"161",164,"Sulawesi",0,2101,0,4.9592755e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"162",165,"Kalimantan",0,2101,0,4.790052e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"163",166,"Magdalena",0,2101,0,5.1327525e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"164",167,"Irian Jaya Coast",0,2101,0,4.826712e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"165",168,"Amazon",0,2101,0,4.7381875e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"166",169,"South Chile-Pacific Coast",0,2101,0,4.9588525e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"167",170,"Shebelli-Juba",0,2101,0,8.1820185e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"168",171,"Africa-East Central Coast",0,2101,0,5.3213165e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"169",172,"North Brazil-South Atlantic Coast",0.493333333333333,2101,0.0200764552418538,0.002015172,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",2.26945695488111,"0 - 20","0 - 0.01"
"170",173,"Papua New Guinea Coast",0.49,2101,0.00367867381869993,0.0023593671,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",0.0122787995467889,"0 - 20","0 - 0.01"
"171",174,"Tocantins",0,2101,0,4.7772915e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"172",175,"Java-Timor",0,2101,0,0.00014048958,"0","No peak and decline","0",0,"0","0 - 0.01"
"173",176,"Solomon Islands",0,2101,0,4.701316e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"174",177,"Madasgacar",0.491111111111111,2101,0.0427578098011935,0.000442988395,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",38.0024749430444,"0 - 20","0 - 0.01"
"175",178,"Sepik",0,2101,0,4.7060395e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"176",179,"Rift Valley",0,2101,0,8.40595e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"177",180,"Peru-Pacific Coast",0.745555555555556,2060,0.323181568525642,0.279173655,"450 - 674 (50 - 75 %)","2060 - 2079","0 - 200",84.1978321613333,"20 - 40","0.1 - 0.5"
"178",181,"Fly",0,2101,0,4.7035955e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"179",182,"Angola-Coast",0,2101,0,4.948489e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"180",183,"Congo",0.283333333333333,2101,0.290336089507462,0.0141663405,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",102.442842913278,"20 - 40","0.01 - 0.1"
"181",184,"Australia-North Coast",0.398888888888889,2101,0.0139326469261414,0.001235677,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",1.25796299497954,"0 - 20","0 - 0.01"
"182",185,"South Pacific Islands",0,2101,0,4.70376e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"183",186,"East Brazil-South Atlantic Coast",0,2101,0,6.106428e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
