"","GCAM_basin_ID","GCAM_basin_name","prob","med_peak_yr","gw_ratio","price","(a) Number (%), peak scenarios","(b) Median peak year","(c) Median depletion (BCM)","(c) Mean depletion (BCM)","(d) Peak-year dependence (%)","(e) Water price (USD per m3)"
"1",1,"Arctic Ocean Islands",0.5,2045.5,0.0158028617864437,0.00055612515,"450 - 674 (50 - 75 %)","2040 - 2059","0 - 200",9.97848345555556e-05,"0 - 20","0 - 0.01"
"2",2,"Northwest Territories",0,2101,0,4.7035015e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"3",3,"Siberia-North Coast",0,2101,0,4.705264e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"4",4,"Siberia-West Coast",0,2101,0,4.7223015e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"5",5,"Kara Sea Coast",0,2101,0,4.7114445e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"6",6,"Lena",0,2101,0,4.7224895e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"7",7,"Pacific and Arctic Coast",0.493333333333333,2101,0.00130962749770379,0.00107702615,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",0.1248217616817,"0 - 20","0 - 0.01"
"8",8,"Scandinavia-North Coast",0,2101,0,4.79306e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"9",9,"Russia-Barents Sea Coast",0,2101,0,4.74136e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"10",10,"Mackenzie",0,2101,0,4.721573e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"11",11,"Iceland",0,2101,0,4.7152045e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"12",12,"Sweden",0.483333333333333,2101,0.0122475782882351,0.0001684809,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",0.296872794076667,"0 - 20","0 - 0.01"
"13",13,"Finland",0,2101,0,4.856604e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"14",14,"Northern Dvina",0,2101,0,4.778725e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"15",15,"Hudson Bay Coast",0,2101,0,4.70752e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"16",16,"Scotland",0,2101,0,4.947079e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"17",17,"Neva",0,2101,0,5.057717e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"18",18,"Volga",0.5,2045.5,0.135061157598845,8.970608e-05,"450 - 674 (50 - 75 %)","2040 - 2059","0 - 200",8.77119039733333,"0 - 20","0 - 0.01"
"19",19,"Atlantic Ocean Seaboard",0,2101,0,4.7228655e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"20",20,"Baltic Sea Coast",0,2101,0,5.194534e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"21",21,"Denmark-Germany Coast",0,2101,0,0.00013216165,"0","No peak and decline","0",0.00746348155555556,"0","0 - 0.01"
"22",22,"Narva",0,2101,0,4.928749e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"23",23,"Saskatchewan-Nelson",0,2101,0,5.087139e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
