"","ssp","rcp","median.v","ten.v","ninety.v","median.y","ten.y","ninety.y","mean.v","mean.y","max.v","max.y"
"1","SSP1","RCP2.6",756.247680051,514.805447337,1081.5840151384,2050,2040,2050,792.949647685573,2047.58333333333,1239.38931746,2060
"2","SSP1","RCP4.5",608.21181014,436.5086104163,885.80022473,2037.5,2025,2050,636.481279074922,2037.08333333333,1001.609567,2050
"3","SSP1","RCP6.0",585.8090116,415.5391885952,830.4680205907,2030,2025,2045,616.122096963567,2032.58333333333,962.080136468,2045
"4","SSP2","RCP2.6",750.6711144,488.09451446,1200.959359004,2050,2040,2065,819.089125032167,2051.5,1307.38993799,2070
"5","SSP2","RCP4.5",631.0372902,423.9827634,1012.155075994,2050,2030,2065,697.3975711599,2048,1105.75755198,2070
"6","SSP2","RCP6.0",603.291842185,363.717019486,872.411471737,2035,2029.5,2050,615.739750732067,2038.33333333333,996.40624582,2060
"7","SSP3","RCP4.5",572.0247266,319.28010487,1052.487607197,2055,2030,2091,652.202301470967,2061.58333333333,1180.80062203,2100
"8","SSP3","RCP6.0",544.205476225,302.7363826272,932.17235145986,2037.5,2030,2100,589.849338190168,2052.91666666667,1033.0708991507,2100
"9","SSP4","RCP2.6",723.7332983,476.06428816,1103.70253327,2050,2040,2070,764.46447960655,2052.75,1206.22092943,2080
"10","SSP4","RCP4.5",573.66127415,361.87827358,875.18484622,2050,2040,2060,603.957747935815,2047.33333333333,975.55776402,2065
"11","SSP4","RCP6.0",492.6377699775,272.4492490161,736.2994131,2035,2023.5,2050,501.504639331218,2036.08333333333,845.9542149,2055
"12","SSP5","RCP2.6",990.87513641,659.486960435,1458.031671209,2050,2040,2050,1052.38772470871,2048.25,1640.28461525,2055
"13","SSP5","RCP4.5",899.81115065,568.39672607,1327.761418708,2050,2045,2060,934.472670318398,2051,1515.57205322,2060
"14","SSP5","RCP6.0",678.5006662845,486.64026335601,1051.83682145948,2042.5,2025,2060,748.360728515452,2041.25,1307.347725824,2065
"15","SSP5","RCP8.5",652.01438425,417.6834862697,1018.86588729806,2040,2025,2050,686.717477107418,2039.16666666667,1123.23725693,2050
