basin.id,basin.name,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1,Arctic Ocean Islands,45.93,41.61,42.29,45.72,44.23,43.89,43.66,45.9,46.71,46.67,50.97,47.22,48.21,52.1,51.27,50.81,50.68,53.08,54.53,55.2
2,Northwest Territories,252.73,280.67,285.96,316.15,328.12,337.4,345.76,344.23,330.04,292.75,296.86,326.25,334.7,366.73,378.08,391.64,399.18,396.04,386.04,362.98
3,"Siberia, North Coast",90.61,92.76,102.61,99.65,96.88,84.48,93.22,107.61,102.71,104.91,101.24,104.32,114.75,113.3,111.67,100.78,109.08,122.98,118.12,118.05
4,"Siberia, West Coast",403.55,413.18,423.67,398.79,398.27,413.74,420.94,420.91,441.34,436.33,447.34,460.27,475.82,461.66,464.69,485.25,491.99,487.76,511.33,519.69
5,Kara Sea Coast,108.84,107.96,112.42,107.67,101.71,111.68,111.34,117.63,109.98,113.21,117.26,117.21,122.04,119.07,113.87,122.97,124.16,129.54,122.83,127.82
6,Lena,306.57,317.95,314.68,306.11,324.93,320.05,297.02,325.14,331.88,340.52,332.53,343.06,339.8,337.66,357.46,357.21,331.33,357.46,367.35,375.1
7,Pacific and Arctic Coast,417.31,456.7,460.5,411.46,437.27,454.03,477.86,518.45,456.62,456.94,480.23,525.16,538.17,496.38,527,547.43,570.25,613.4,557.79,551.83
8,"Scandinavia, North Coast",253.99,241.31,261.01,246.88,259.49,252.75,256.31,274.33,248.45,260.07,262.42,250.45,269.8,257.87,271.33,264.73,268.3,287.02,260.24,283.18
9,"Russia, Barents Sea Coast",135.47,137.94,145.8,134.24,143.36,142.59,135.65,141.52,144.2,147.67,143.44,145.41,151.4,143.86,151.19,149.61,144.71,151.2,153,154.01
10,Mackenzie,328.39,382.44,380.58,383.15,395.13,368.09,396.34,416.95,404.21,355.2,359.41,413.12,414.78,419.44,433.78,410.77,434.82,457.22,446.51,406.08
11,Iceland,47.64,50.51,38.12,48.64,48.51,46.1,45.18,50.62,43.5,46.74,48.79,51.73,39.48,50.17,50.15,47.81,47.01,52.63,45.6,49.5
12,Sweden,170.83,174.93,183.25,165.83,179.91,179.13,184.58,180.35,168.57,195.78,181.31,185.72,193.92,178.77,193.11,194.52,197.65,196.43,184.75,219.22
13,Finland,69.89,67.26,67.69,64.54,70.05,68.92,71.95,70.99,65.77,73.05,73.07,69.88,71.61,67.9,73.82,73.36,76.7,76.12,70.4,79.18
14,Northern Dvina,66.8,69.01,67.49,64.86,67.3,70.38,69.05,68.59,68.31,71.82,67.94,70.51,69.43,67.89,70.2,71.14,70.65,70.82,71.45,71.81
15,Hudson Bay Coast,465.34,457.45,564.57,529.09,533.83,546,567.34,557.93,539.94,521.39,490.28,487.89,596.76,565.16,572.66,588.58,607.09,602.2,586.85,552.94
16,Scotland,32.8,31.75,32.42,27.93,31.13,35.86,34.05,36.5,28.75,33.78,33.4,32.42,33.05,28.59,32.01,36.81,35.03,37.58,29.79,35.67
17,Neva,59.94,63.07,59.56,56.61,60.11,61.08,62.71,64.72,58.1,62.55,62.64,65.15,62.04,59.25,62.31,65.52,66.96,69.1,61.89,66.59
18,Volga,379.23,405.18,376.67,354.84,368.78,387.53,381.4,383.86,379.21,375.68,381.48,400.68,374.11,345.98,362.25,387.09,382.3,383.72,366.72,391.66
19,Atlantic Ocean Seaboard,176.74,181.85,205.52,205.9,205.48,222.72,195.02,193.45,208.58,192.93,179.96,185.83,208.81,210.14,210.13,227.53,200.74,199.33,215.21,208.75
20,Baltic Sea Coast,14.06,13.68,12.74,11.22,12.61,14.91,13.42,13.67,12.08,13.75,14.62,13.72,13.33,11.47,12.96,15.67,14.34,14.83,12.86,14.89
21,Denmark - Germany Coast,13.32,14.11,15.47,12.72,12.75,15.51,14.54,14.21,13.44,16.16,13.77,14.63,16.32,13.43,13.46,16.46,15.42,15.19,14.25,17.02
22,Narva,10.31,11.88,10.12,9.79,10.4,11.03,10.56,10.53,10.51,10.9,10.7,11.61,10.31,9.49,10.12,11.64,11.31,11.42,10.99,10.92
23,Saskatchewan - Nelson,286.73,266.15,290.23,307.74,278.73,283.83,291.27,281.18,310.37,268.69,288.44,271.88,294.76,313,284.38,290.86,296.54,287.24,315.67,278.49
24,Ireland,23.92,25.08,24.12,22.19,23.33,27.95,24.2,25.46,23.67,26.44,24.63,26.03,25.16,23.27,24.57,29.46,25.59,27,25.09,28.88
25,Daugava,16.61,17.58,16.21,14.73,16.19,16.22,15.92,16.74,15.55,16.41,16.99,17.4,15.37,14.42,15.15,16.39,15.6,16.84,15.49,15.49
26,England and Wales,40.3,42.32,41.38,39.24,38.31,44.63,41.85,39.78,38.57,47.61,40.78,43.06,41.77,39.82,39.18,45.39,42.68,40.39,39.05,50.89
27,Fraser,87.19,92.75,95.89,91.3,88.3,85.12,83.32,92.19,98.43,83.68,91.72,99.17,102.92,99.09,97.39,92.95,92.02,103.03,110.13,99.21
28,Ems - Weser,12.03,12,12.7,11.61,11.31,12.89,12.73,12.11,12.26,12.9,12.1,12.16,12.82,11.6,11.57,12.95,12.94,12.27,12.38,13.32
29,Oder,19.68,20.49,21.13,19.65,19.82,20.3,20.86,20.21,20.53,20.02,19.43,20.21,20.93,19.31,19.83,20.1,19.84,19.01,20.33,20.34
30,Wisla,34.13,36.4,36.89,36.28,34.02,36.41,36.78,36.89,36.21,34.21,33.56,35.48,35.47,35.46,33.34,35.46,34.97,34.53,34.6,33.06
31,Elbe,28.45,28.36,30.03,27.6,26.95,28.88,29.45,27.07,29.21,29.21,28.73,28.28,30.01,27.24,27.22,28.39,28.51,26.76,28.93,28.91
32,Rhine,54.27,55.93,59.86,52.24,52.7,60.78,57.65,54.8,54.64,64.23,53.64,55.59,59.75,51.94,52.8,60.5,58.21,55.17,54.55,63.76
33,Poland Coast,7.92,8.61,8.43,8.4,7.73,9.5,8.58,8.15,8.01,8.37,8.22,8.78,8.54,8.57,7.85,9.94,8.73,8.3,8.34,8.86
34,Churchill,34.96,35.17,41.91,43.65,46.45,50.63,41.8,41.51,44.2,39.57,36.98,37.53,44.63,46.73,49.59,54.56,45.4,44.81,48.68,44.96
35,Neman,20.23,21.37,20.47,19.15,19.04,20.23,20.95,20.12,19.12,20.17,20.28,21.26,19.65,18.86,19.04,20.21,20.5,19.82,19.04,19.97
36,Scheldt,7.14,8.19,8.44,6.64,7.57,8.07,7.49,7.23,7.74,9.9,7.1,8.17,8.35,6.23,7.6,8.29,7.86,7.23,7.62,10.15
37,"Russia, South East Coast",22.01,23.98,20.73,25.02,17.57,19.83,20.8,19.49,21.35,20.83,22.25,24.08,21.21,25.39,18.03,20.65,21.64,20.69,22.36,21.74
38,Ural,19.35,20.87,20.31,21.01,18.04,21.4,20.73,20.56,19.89,19.36,19.92,20.99,20.2,21.3,18.76,21.42,21.19,20.89,20.54,20.75
39,Dnieper,127.71,126.65,122.1,124.15,126.76,127.53,126.21,129.9,129.23,121.57,125.27,124.63,118.43,121.76,123,122.29,121.31,124.11,122.15,110.53
40,St Lawrence,93.26,83.26,114.96,116.45,119.98,108.33,96.57,107.7,111.76,100.63,96.15,86.99,118.2,120.53,123.03,114.17,103.48,113.71,119.22,112.14
41,"France, West Coast",16.27,21.82,20.05,16.51,17.16,21.49,17.8,15.97,18.26,22.21,15.72,21.56,19.8,16.05,16.97,21.3,17.72,15.38,18.1,22.02
42,Gobi Interior,57.53,59.88,50.92,56.39,54.96,50.34,61.52,53.56,58.7,57.13,63.91,66.3,58.5,64.91,64.5,60.67,71.25,65.32,70.66,67.82
43,Amur,354.7,367.28,336,356.68,325.97,342.88,356.13,351.53,345.66,342.6,366.48,378.5,351.55,371.87,341.99,359.86,373.28,369.03,364.1,358.54
44,Loire,20,23.92,23.03,21.9,22.79,27.71,22.34,20.94,21.72,23.92,18.75,23.1,22.11,20.12,22.22,27.48,22.11,20.12,21.31,22.76
45,Caspian Sea Coast,46.32,52.14,50.72,48.54,44.13,50.93,43.66,52.7,47.74,44.15,46.54,51.12,50.02,48.17,43.83,50.17,44.13,52.26,47.81,44.4
46,Seine,12.91,13.23,13.51,12.32,12.82,14.02,12.66,12.99,12.12,14.05,12.38,12.58,13.25,11.52,12.44,14.14,12.98,12.35,11.8,13.45
47,"Black Sea, North Coast",39.86,41.33,38.55,40.65,42.22,40.78,37.74,44.06,42.33,37.46,38.65,39.84,36.59,38.78,39.78,37.85,35.74,41.55,39.09,34.36
48,Yenisey,604,631.86,621.63,572.79,620.59,595.68,590.44,625.47,619.23,635.67,631.36,659.43,648.02,610.02,654.61,627.58,624.4,655.5,647.56,665.69
49,Dniester,7,6.64,6.88,8.14,7.13,8,6.85,6.95,7.58,6.92,6.68,6.25,6.2,7.56,6.74,7.24,6.29,6.56,6.95,6.93
50,"Italy, East Coast",22.32,25.41,24.28,22.17,22.81,25.16,22.44,20.17,24.92,23.71,21.18,24.27,22.96,20.82,21.42,23.75,21.08,18.79,23.12,21.24
51,Japan,147.11,127.95,132.92,124.52,117.83,126.76,112.26,139.61,116.63,134.96,147.83,128.64,133.78,126.1,119.43,128.55,114.67,141.81,119.02,141.2
52,"Caspian Sea, East Coast",25.42,22.22,23.59,25,24.68,31.29,22.01,26.55,23.1,22.76,25,21.68,22.84,24.33,24.14,29.95,21.56,25.64,22.24,21.22
53,Don,76.22,81.5,75.35,77.65,86.94,82.26,76.07,84.96,80.29,78.38,74.53,79.78,72.32,75.78,82.79,79.42,73.97,81.84,76.9,72.9
54,Danube,201.08,187.77,208.96,197.6,187.37,206.77,178.55,181.22,200.73,194.52,190.59,176.57,196.49,183.24,174.15,190.58,164.41,167.13,185.24,180.99
55,Adriatic Sea - Greece - Black Sea Coast,72.96,75.04,75.95,73.08,63.14,77.73,67.65,55.96,75.75,72.99,69.51,71.44,72.21,68.54,56,72.87,60.35,49,70.6,66.22
56,Ob,556.47,578.45,556.38,569.76,534.92,560.16,598.57,553.27,568.42,559.86,577.1,599.57,580.96,594.69,565.7,589.29,625.8,582.76,599.77,613.98
57,Po,29.7,33.95,33.77,30.37,35.97,34.06,30.08,27.3,31.94,33.54,28.24,32.58,31.92,28.5,33.99,31.97,28.16,25.48,29.99,31.78
58,Amu Darya,87.66,73.66,74.63,71.96,59.7,73.53,68.84,77.13,63.98,70.47,86.79,72.18,73.21,71.06,60.12,72.99,69.02,77.03,64.64,64.23
59,"Italy, West Coast",8.93,9.73,8.74,9.34,8.85,9.92,9.53,7.48,9.71,8.75,8.44,9.03,8,8.42,8.03,9.04,8.5,6.72,8.72,7.33
