basin.id,basin.name,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1,Arctic Ocean Islands,48.81,44.26,44.97,48.59,47.02,46.66,46.42,48.78,49.63,49.59,54.12,50.17,51.21,55.31,54.43,53.95,53.81,56.34,57.87,58.57
2,Northwest Territories,257.17,285.55,290.93,321.6,333.77,343.19,351.69,350.13,335.71,297.83,302.01,331.86,340.45,372.99,384.52,398.3,405.96,402.77,392.61,369.18
3,"Siberia, North Coast",121.22,123.93,136.39,132.65,129.14,113.46,124.52,142.71,136.52,139.3,134.66,138.56,151.75,149.91,147.85,134.07,144.58,162.16,156.01,155.92
4,"Siberia, West Coast",433,443.23,454.39,427.94,427.39,443.82,451.48,451.45,473.17,467.84,479.54,493.29,509.82,494.76,497.99,519.85,527,522.51,547.56,556.45
5,Kara Sea Coast,129.36,128.34,133.5,128,121.12,132.64,132.25,139.52,130.68,134.41,139.09,139.04,144.62,141.18,135.17,145.69,147.07,153.29,145.53,151.3
6,Lena,325.78,337.85,334.39,325.29,345.26,340.08,315.65,345.49,352.64,361.81,353.32,364.51,361.04,358.77,379.79,379.52,352.06,379.79,390.28,398.5
7,Pacific and Arctic Coast,437.12,478.14,482.09,431.02,457.9,475.36,500.17,542.44,478.06,478.39,502.64,549.42,562.97,519.45,551.35,572.62,596.38,641.32,583.4,577.2
8,"Scandinavia, North Coast",260.28,247.23,267.49,252.96,265.94,259,262.66,281.2,254.58,266.53,268.95,256.64,276.54,264.26,278.12,271.33,275,294.25,266.7,290.31
9,"Russia, Barents Sea Coast",143.16,145.75,153.99,141.87,151.44,150.63,143.35,149.5,152.32,155.95,151.52,153.59,159.87,151.96,159.64,157.99,152.85,159.65,161.54,162.6
10,Mackenzie,327.02,380.82,378.97,381.53,393.45,366.54,394.66,415.17,402.48,353.71,357.89,411.36,413.01,417.65,431.92,409.01,432.95,455.25,444.59,404.34
11,Iceland,46.82,49.64,37.45,47.81,47.68,45.3,44.4,49.75,42.75,45.94,47.95,50.85,38.78,49.31,49.29,46.99,46.2,51.73,44.81,48.64
12,Sweden,170.83,174.93,183.25,165.83,179.91,179.13,184.58,180.35,168.57,197.44,181.31,185.72,195.11,178.77,194.1,195.86,199.44,198.2,184.75,221.23
13,Finland,70.34,67.7,68.13,64.96,70.51,69.37,72.42,71.46,66.2,73.53,73.55,70.34,72.07,68.34,74.3,73.84,77.2,76.62,70.86,79.7
14,Northern Dvina,68.3,70.55,69.01,66.32,68.81,71.95,70.59,70.12,69.84,73.42,69.46,72.08,70.98,69.41,71.77,72.73,72.23,72.4,73.04,73.41
15,Hudson Bay Coast,465.34,457.45,564.57,529.09,533.83,546,567.34,557.93,539.94,521.39,490.28,487.89,596.76,565.16,572.66,588.58,607.09,602.2,586.85,552.94
16,Scotland,33.81,32.73,33.42,28.8,32.09,36.96,35.09,37.61,29.64,34.82,34.43,33.42,34.07,29.48,33,37.93,36.11,38.73,30.71,36.76
17,Neva,59.94,63.07,59.56,56.61,60.11,61.08,62.71,64.72,58.1,62.55,62.64,65.15,62.04,59.25,62.31,65.52,66.96,69.1,61.89,66.59
18,Volga,379.23,405.18,376.67,354.84,368.78,387.53,381.4,383.86,379.21,375.68,381.48,400.68,374.11,345.98,362.25,387.09,382.3,383.72,366.72,391.66
19,Atlantic Ocean Seaboard,181.93,187.18,211.54,211.93,211.5,229.23,200.74,199.12,214.69,198.59,185.25,191.28,214.92,216.29,216.28,234.18,206.63,205.17,221.51,214.86
20,Baltic Sea Coast,15.1,14.7,13.7,12.08,13.56,16.01,14.43,14.7,13,14.78,15.7,14.74,14.33,12.35,13.94,16.82,15.41,15.93,13.83,16
21,Denmark - Germany Coast,14.45,15.3,16.76,13.81,13.85,16.81,15.76,15.41,14.58,17.51,14.94,15.86,17.68,14.57,14.6,17.83,16.72,16.47,15.46,18.43
22,Narva,10.93,12.58,10.73,10.38,11.02,11.68,11.19,11.16,11.14,11.54,11.33,12.29,10.93,10.07,10.73,12.32,11.98,12.1,11.64,11.56
23,Saskatchewan - Nelson,286.73,266.15,290.23,307.74,278.73,283.83,291.27,281.18,310.37,268.69,288.44,271.88,294.76,313,284.38,290.86,296.54,287.24,315.67,278.49
24,Ireland,26.14,27.4,26.36,24.27,25.51,30.5,26.44,27.81,25.87,28.87,26.91,28.43,27.48,25.45,26.85,32.13,27.95,29.47,27.4,31.51
25,Daugava,17.61,18.63,17.19,15.62,17.16,17.19,16.88,17.75,16.49,17.39,18.01,18.45,16.3,15.29,16.06,17.38,16.55,17.85,16.42,16.43
26,England and Wales,44.03,46.21,45.19,42.88,41.87,48.7,45.7,43.46,42.15,51.92,44.55,47,45.61,43.5,42.81,49.53,46.6,44.12,42.68,55.46
27,Fraser,87.19,92.75,95.89,91.3,88.3,85.12,83.32,92.19,98.43,83.68,91.72,99.17,102.92,99.09,97.39,92.95,92.02,103.03,110.13,99.21
28,Ems - Weser,13.26,13.23,13.99,12.8,12.48,14.19,14.03,13.35,13.52,14.21,13.34,13.4,14.13,12.79,12.76,14.26,14.25,13.53,13.64,14.67
29,Oder,21.32,22.2,22.89,21.29,21.48,21.99,22.6,21.9,22.24,21.69,21.05,21.9,22.67,20.93,21.49,21.77,21.5,20.61,22.02,22.03
30,Wisla,37.44,39.91,40.45,39.78,37.32,39.92,40.33,40.45,39.71,37.53,36.82,38.92,38.9,38.89,36.58,38.89,38.35,37.88,37.95,36.28
31,Elbe,30.59,30.49,32.28,29.68,28.97,31.05,31.66,29.11,31.41,31.4,30.89,30.4,32.26,29.29,29.27,30.53,30.65,28.78,31.1,31.08
32,Rhine,57.53,59.29,63.45,55.38,55.86,64.43,61.11,58.09,57.92,68.09,56.86,58.93,63.34,55.06,55.96,64.14,61.71,58.48,57.82,67.59
33,Poland Coast,8.5,9.23,9.04,9.01,8.3,10.18,9.2,8.74,8.6,8.98,8.81,9.42,9.15,9.19,8.42,10.65,9.36,8.9,8.94,9.5
34,Churchill,34.96,35.17,41.91,43.65,46.45,50.63,41.8,41.51,44.2,39.57,36.98,37.53,44.63,46.73,49.59,54.56,45.4,44.81,48.68,44.96
35,Neman,22.06,23.3,22.32,20.88,20.77,22.05,22.84,21.94,20.86,21.99,22.11,23.18,21.43,20.57,20.77,22.03,22.35,21.62,20.77,21.77
36,Scheldt,7.14,8.19,8.44,6.64,7.57,8.07,7.49,7.23,7.74,9.9,7.1,8.17,8.35,6.23,7.6,8.29,7.86,7.23,7.62,10.15
37,"Russia, South East Coast",24.73,26.9,23.31,28.05,19.81,22.32,23.39,21.94,24,23.42,24.99,27.01,23.84,28.47,20.32,23.21,24.32,23.26,25.11,24.42
38,Ural,21.47,23.16,22.54,23.31,20.01,23.75,23,22.81,22.07,21.48,22.1,23.28,22.42,23.64,20.81,23.76,23.5,23.18,22.78,23.03
39,Dnieper,133.51,131.91,125.08,128.16,132.07,133.24,131.25,136.79,135.78,124.28,129.84,128.87,119.56,124.56,126.43,125.36,123.9,128.1,125.16,110.53
40,St Lawrence,93.26,83.26,114.96,116.45,119.98,108.33,96.57,107.7,111.76,100.63,96.15,86.99,118.2,120.53,123.03,114.17,103.48,113.71,119.22,112.14
41,"France, West Coast",17.91,23.94,22.01,18.17,18.87,23.58,19.57,17.58,20.07,24.36,17.31,23.66,21.75,17.68,18.67,23.37,19.49,16.95,19.9,24.15
42,Gobi Interior,65.79,68.43,58.36,64.51,62.9,57.71,70.28,61.33,67.1,65.34,72.97,75.65,66.88,74.09,73.62,69.32,81.21,74.55,80.54,77.36
43,Amur,379.21,392.79,359.04,381.35,348.21,366.45,380.76,375.79,369.46,366.16,391.92,404.88,375.82,397.74,365.5,384.78,399.26,394.67,389.36,383.36
44,Loire,21.99,26.25,25.28,24.06,25.03,30.37,24.53,23.01,23.86,26.25,20.63,25.36,24.29,22.13,24.4,30.12,24.28,22.13,23.41,24.99
45,Caspian Sea Coast,51.53,57.95,56.39,53.98,49.1,56.62,48.58,58.57,53.09,49.12,51.76,56.82,55.6,53.56,48.77,55.77,49.1,58.08,53.17,49.4
46,Seine,14.11,14.46,14.76,13.47,14.01,15.31,13.83,14.2,13.25,15.35,13.54,13.75,14.48,12.61,13.6,15.45,14.18,13.5,12.9,14.69
