basin.id,basin.name,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1,Arctic Ocean Islands,38.94,35.17,35.76,38.76,37.45,37.16,36.96,38.91,39.61,39.58,43.32,40.06,40.92,44.3,43.58,43.18,43.07,45.16,46.42,47
2,Northwest Territories,189.46,211.01,215.1,238.39,247.63,254.78,261.24,260.05,249.1,220.33,223.51,246.18,252.7,277.41,286.17,296.63,302.45,300.03,292.31,274.52
3,"Siberia, North Coast",53.06,54.51,61.16,59.16,57.29,48.92,54.82,64.54,61.23,62.71,60.24,62.32,69.36,68.38,67.28,59.92,65.53,74.92,71.63,71.59
4,"Siberia, West Coast",329.51,337.61,346.44,325.5,325.07,338.08,344.14,344.12,361.31,357.09,366.36,377.25,390.33,378.41,380.97,398.27,403.94,400.38,420.22,427.25
5,Kara Sea Coast,58.89,58.34,61.11,58.16,54.47,60.65,60.44,64.34,59.6,61.6,64.11,64.08,67.08,65.23,62.01,67.65,68.39,71.73,67.56,70.66
6,Lena,249.15,258.44,255.77,248.77,264.15,260.16,241.35,264.32,269.82,276.88,270.35,278.96,276.29,274.54,290.72,290.52,269.37,290.72,298.8,305.13
7,Pacific and Arctic Coast,335.1,367.73,370.88,330.25,351.63,365.52,385.26,418.89,367.67,367.93,387.23,424.45,435.22,400.6,425.98,442.9,461.81,497.56,451.48,446.54
8,"Scandinavia, North Coast",215.21,204.79,220.98,209.36,219.74,214.19,217.12,231.94,210.66,220.21,222.14,212.3,228.21,218.4,229.48,224.05,226.99,242.38,220.35,239.22
9,"Russia, Barents Sea Coast",86.04,87.74,93.15,85.2,91.47,90.94,86.17,90.2,92.05,94.43,91.53,92.88,97,91.82,96.85,95.77,92.4,96.86,98.1,98.8
10,Mackenzie,290.9,337.96,336.34,338.58,349.01,325.47,350.07,368.01,356.91,314.24,317.9,364.67,366.12,370.18,382.66,362.63,383.57,403.07,393.75,358.54
11,Iceland,42.02,44.58,33.53,42.91,42.8,40.65,39.82,44.67,38.33,41.22,43.05,45.67,34.73,44.28,44.26,42.17,41.46,46.47,40.2,43.67
12,Sweden,151.73,154.51,160.15,148.34,157.88,157.35,161.05,158.18,150.19,169.77,158.83,161.82,168.18,157.11,167.5,168.69,171.35,170.31,161.16,189.66
13,Finland,61.17,58.88,59.25,56.5,61.32,60.33,62.97,62.14,57.58,63.93,63.95,61.17,62.67,59.44,64.61,64.2,67.12,66.62,61.62,69.29
14,Northern Dvina,42.05,43.55,42.52,40.73,42.39,44.48,43.57,43.26,43.07,45.46,42.82,44.56,43.83,42.79,44.35,45,44.66,44.78,45.21,45.45
15,Hudson Bay Coast,465.34,457.45,564.57,529.09,533.83,546,567.34,557.93,539.94,521.39,490.28,487.89,596.76,565.16,572.66,588.58,607.09,602.2,586.85,552.94
16,Scotland,24.24,23.44,23.95,20.53,22.96,26.56,25.19,27.05,21.15,24.98,24.7,23.95,24.43,21.04,23.64,27.29,25.93,27.87,21.95,26.42
17,Neva,59.94,63.07,59.56,56.61,60.11,61.08,62.71,64.72,58.1,62.55,62.64,65.15,62.04,59.25,62.31,65.52,66.57,67.93,61.89,66.33
18,Volga,355.74,368.2,354.51,344.03,350.73,359.73,356.79,357.97,355.73,354.04,356.82,366.04,353.29,339.78,347.59,359.52,357.22,357.9,349.74,361.71
19,Atlantic Ocean Seaboard,151.69,156.08,176.47,176.8,176.44,191.28,167.43,166.08,179.11,165.63,154.46,159.52,179.31,180.45,180.44,195.42,172.36,171.15,184.82,179.25
20,Baltic Sea Coast,10.6,10.31,9.57,8.37,9.46,11.27,10.1,10.3,9.05,10.36,11.04,10.34,10.03,8.57,9.74,11.87,10.83,11.21,9.66,11.26
21,Denmark - Germany Coast,11.7,12.4,13.62,11.16,11.19,13.66,12.79,12.5,11.8,14.24,12.1,12.87,14.38,11.8,11.82,14.51,13.58,13.37,12.54,15.01
22,Narva,7.62,8.83,7.47,7.21,7.68,8.17,7.8,7.79,7.77,8.07,7.91,8.62,7.62,6.98,7.47,8.64,8.39,8.48,8.14,8.08
23,Saskatchewan - Nelson,286.73,266.15,290.23,306.82,278.73,283.83,291.27,281.18,308.62,268.69,288.44,271.88,294.76,310.43,284.38,290.86,296.54,287.24,312.27,278.49
24,Ireland,18.29,19.21,18.45,16.91,17.82,21.5,18.51,19.51,18.09,20.3,18.85,19.97,19.27,17.77,18.81,22.7,19.62,20.74,19.22,22.24
25,Daugava,12.42,13.16,12.11,10.98,12.1,12.12,11.89,12.52,11.61,12.27,12.71,13.03,11.47,10.74,11.3,12.26,11.65,12.6,11.56,11.57
26,England and Wales,30.9,32.51,31.76,30.05,29.31,34.35,32.14,30.48,29.52,36.73,31.28,33.1,32.07,30.51,30,34.96,32.8,30.97,29.9,39.34
27,Fraser,87.19,92.75,95.42,91.3,88.3,85.12,83.32,92.19,97.27,83.68,91.72,97.82,100.55,97.76,96.52,92.95,92.02,100.63,105.82,97.85
28,Ems - Weser,9.9,9.88,10.47,9.55,9.3,10.63,10.5,9.97,10.1,10.64,9.97,10.01,10.57,9.54,9.51,10.68,10.67,10.11,10.2,10.99
29,Oder,16.8,17.51,18.06,16.77,16.92,17.34,17.83,17.26,17.54,17.1,16.58,17.26,17.88,16.48,16.93,17.16,16.94,16.22,17.36,17.37
30,Wisla,28.68,30.62,31.04,30.52,28.59,30.63,30.95,31.04,30.47,28.76,28.2,29.84,29.83,29.82,28.02,29.82,29.4,29.03,29.09,27.78
31,Elbe,24.34,24.26,25.69,23.61,23.05,24.71,25.2,23.16,24.99,24.99,24.58,24.19,25.67,23.31,23.29,24.29,24.39,22.89,24.75,24.73
32,Rhine,46.95,48.39,51.78,45.2,45.59,52.58,49.88,47.41,47.28,55.56,46.41,48.09,51.69,44.94,45.68,52.34,50.36,47.73,47.19,55.15
33,Poland Coast,6.68,7.27,7.12,7.09,6.52,8.05,7.25,6.87,6.76,7.07,6.93,7.42,7.21,7.24,6.61,8.42,7.37,7,7.04,7.49
34,Churchill,34.96,35.17,41.91,43.65,46.45,50.63,41.8,41.51,44.2,39.57,36.98,37.53,44.63,46.73,49.59,54.56,45.4,44.81,48.68,44.96
35,Neman,15.9,16.81,16.09,15.03,14.95,15.89,16.47,15.81,15.01,15.84,15.94,16.72,15.43,14.8,14.95,15.88,16.11,15.57,14.95,15.68
36,Scheldt,7.14,8.08,8.23,6.64,7.57,8.01,7.49,7.23,7.74,9.12,7.1,8.07,8.18,6.23,7.6,8.14,7.86,7.23,7.62,9.27
37,"Russia, South East Coast",17.91,19.56,16.83,20.43,14.18,16.08,16.9,15.8,17.36,16.92,18.11,19.64,17.23,20.75,14.57,16.76,17.6,16.8,18.2,17.68
38,Ural,12.17,13.13,12.77,13.21,11.34,13.46,13.04,12.93,12.51,12.17,12.52,13.2,12.71,13.4,11.8,13.47,13.32,13.14,12.91,13.05
39,Dnieper,102.52,101.72,98.34,99.87,101.81,102.38,101.4,104.15,103.64,97.94,100.7,100.22,95.6,98.08,99.01,98.48,97.75,99.83,98.38,91.12
40,St Lawrence,93.26,83.26,114.96,116.45,119.98,108.33,96.57,107.7,111.76,100.63,96.15,86.99,118.2,120.53,123.03,114.17,103.48,113.71,119.22,112.14
41,"France, West Coast",13.08,17.72,16.24,13.28,13.82,17.44,14.36,12.83,14.74,18.04,12.62,17.5,16.03,12.9,13.67,17.28,14.3,12.35,14.61,17.88
42,Gobi Interior,48.8,50.84,43.05,47.81,46.56,42.55,52.26,45.34,49.81,48.45,54.34,56.42,49.64,55.21,54.85,51.53,60.72,55.57,60.2,57.74
43,Amur,295.33,305.51,280.21,296.93,272.09,285.76,296.49,292.77,288.02,285.54,304.86,314.58,292.78,309.22,285.05,299.5,310.36,306.92,302.94,298.44
44,Loire,16.53,19.86,19.1,18.15,18.9,23.08,18.51,17.32,17.99,19.86,15.46,19.16,18.32,16.63,18.41,22.88,18.32,16.63,17.64,18.87
45,Caspian Sea Coast,40.92,46.11,44.85,42.9,38.97,45.03,38.55,46.61,42.18,38.98,41.12,45.2,44.21,42.56,38.7,44.35,38.97,46.21,42.25,39.21
46,Seine,11.36,11.64,11.89,10.83,11.28,12.35,11.13,11.43,10.65,12.37,10.89,11.06,11.66,10.12,10.94,12.45,11.41,10.86,10.37,11.83
47,"Black Sea, North Coast",31.98,33.19,30.91,32.63,33.91,32.74,30.25,35.42,34,30.02,31,31.97,29.31,31.1,31.92,30.34,28.62,33.37,31.35,27.49
48,Yenisey,604,631.86,621.63,572.79,620.59,595.68,590.44,625.47,619.23,635.67,631.36,659.43,648.02,610.02,654.61,627.58,624.4,655.5,647.56,665.69
49,Dniester,7,6.64,6.88,8.14,7.13,8,6.85,6.95,7.58,6.92,6.68,6.25,6.2,7.56,6.74,7.24,6.29,6.56,6.95,6.93
50,"Italy, East Coast",19.9,22.67,21.66,19.77,20.34,22.45,20.01,17.97,22.23,21.15,18.88,21.65,20.47,18.56,19.1,21.18,18.78,16.73,20.62,18.93
51,Japan,122.71,106.57,110.76,103.69,98.06,105.57,93.37,116.39,97.05,112.48,123.31,107.16,111.48,105.02,99.4,107.08,95.4,118.24,99.06,117.73
52,"Caspian Sea, East Coast",19.73,17.32,18.35,19.41,19.18,24.16,17.16,20.59,17.98,17.72,19.41,16.91,17.79,18.91,18.77,23.14,16.82,19.9,17.33,16.56
53,Don,54.89,58.33,54.32,55.82,61.89,58.83,54.79,60.59,57.55,56.3,53.78,57.21,52.34,54.6,59.18,56.98,53.42,58.56,55.33,52.72
54,Danube,172.38,160.9,179.17,169.38,160.56,177.28,152.95,155.25,172.08,166.72,163.33,151.25,168.42,157,149.16,163.33,140.76,143.1,158.72,155.06
55,Adriatic Sea - Greece - Black Sea Coast,64.48,66.23,67,64.58,57.94,68.5,60.4,54.02,66.84,64.51,61.57,63.2,63.85,60.89,54.04,64.41,56.42,49,62.49,59.62
56,Ob,407.75,424,407.68,417.58,391.82,410.47,438.87,405.39,416.59,410.26,423,439.62,425.86,436,414.57,432.01,459.01,427.19,439.76,450.27
57,Po,24.92,28.55,28.4,25.49,30.28,28.65,25.24,22.87,26.83,28.2,23.67,27.38,26.82,23.89,28.58,26.86,23.6,21.32,25.17,26.7
58,Amu Darya,87.66,73.66,74.63,71.96,59.7,73.53,68.84,77.13,63.98,70.47,86.79,72.18,73.21,71.06,60.12,72.99,69.02,77.03,64.64,64.23
59,"Italy, West Coast",6.77,7.4,6.62,7.09,6.71,7.55,7.24,5.62,7.38,6.63,6.38,6.85,6.03,6.36,6.06,6.85,6.43,5.03,6.6,5.51
60,"Spain - Portugal, Atlantic Coast",15.68,23.88,22.34,20.38,19.69,23.43,21.87,18.02,22.18,20.3,15.14,23.15,21.64,19.53,18.83,22.57,20.97,17.27,21.38,19.25
61,"France, South Coast",2.87,4.03,3.39,3.84,3.64,3.27,3.25,2.7,3.81,3.71,2.74,3.88,3.22,3.69,3.49,3.13,3.1,2.59,3.66,3.39
62,Rhone,31.64,37.39,34.69,34.88,40.49,38.12,34.15,30.24,35.91,38.9,30.41,36.15,33.48,33.36,38.88,37.07,33.4,29.23,34.75,36.45
63,Mediterranean Sea Islands,6.11,5.95,5.95,6.4,5.94,5.9,6.08,5.39,6.24,5.71,5.84,5.74,5.7,5.97,5.57,5.61,5.64,5.12,5.86,5.09
64,Gironde,11.67,15.12,14.08,13.3,13.54,14.96,12.44,12.09,14.7,13.28,11.02,14.66,13.57,12.65,13.07,14.37,11.89,11.33,14.29,12.02
65,North and South Korea,47.66,43.28,44.68,48.27,35.24,40.04,48.46,43.53,38.72,46.37,48.98,44.49,46.41,49.79,36.92,41.9,50.78,45.32,40.64,58.75
66,"Bo Hai - Korean Bay, North Coast",84.03,74.79,76.21,73.99,66.72,60.16,84.17,66.77,76.56,69.73,86.19,77.9,79.66,76.67,70.21,63.15,88.84,69.14,81.43,75.92
67,"Spain, South and East Coast",10.16,11.42,11.22,11.75,9.66,9.56,9.4,11.24,11.42,9.8,9.04,10.93,10.58,11.28,8.37,8.35,8.15,9.98,10.32,8.02
68,Lake Balkash,34.21,40.9,35.6,35.04,31.07,37.08,38.36,36.06,33.37,38.62,35.22,41.01,36.06,36.64,32.55,37.99,39.72,37.17,35.24,39.96
69,Tiber,3.66,4.35,4.17,3.72,3.74,4.73,4.26,3.61,3.77,3.51,3.44,4.08,3.84,3.45,3.41,4.34,3.94,3.29,3.47,2.93
70,"Black Sea, South Coast",51.11,50.56,50.9,52.48,47.74,50.99,48.91,50.37,48.25,48.88,48.34,47.25,47.96,48.6,42.79,47.36,44.6,46.47,43.23,43.52
71,Tagus,9.04,14.43,14.82,11.61,11.33,12.61,11.6,10.67,14.31,9.54,8.15,13.04,13.46,10.22,9.86,11.33,10.08,9.11,12.78,8.17
72,"Caspian Sea, South West Coast",43.61,38.14,46.31,43.74,42.82,44.07,42.44,43.61,40.88,38.58,39.28,33.45,41.28,38.21,37.14,38.26,37.03,38.01,34.38,31.84
73,Ebro,14.88,19.27,17.93,17.66,16.2,17.84,15.87,16.38,17.52,16.99,13.71,18.3,17.06,16.63,15.22,16.64,14.82,15.27,16.33,15.75
74,Douro,14.5,24.12,22.23,20.54,19.92,22.12,20.67,18.75,21.99,19.58,13.31,23.03,21.4,19.52,18.49,21.27,19.73,16.99,20.93,18.28
75,"Mediterranean Sea, East Coast",35.43,33.22,38.59,37.91,30.67,39.31,35.22,32.45,34.54,33.93,33.18,30.68,35.65,34.64,27.45,35.68,31.55,28.98,30.6,29.89
76,Syr Darya,94.92,103.22,98.26,101.06,85.4,104.24,103.38,102.35,93.3,92.9,97.68,104.91,100.21,104.79,90.37,107.52,108.2,106.3,98.82,97.38
77,"Ziya He, Interior",47.45,44.97,42.47,43.4,47,41.73,43.79,44.68,45.14,42.88,48.69,46.36,44.96,44.71,48.53,44.41,45.46,46.91,47.94,44.79
78,China Coast,110.74,114.03,96.67,101.39,116.13,99.6,105.54,105.21,105.68,111.27,111.96,115.1,97.83,102.95,117.92,101.09,107.6,107.33,107.49,113.48
79,Huang He,104.14,117.1,114.61,110.64,117.54,107.96,116.14,120.07,118.65,120.05,115.76,128.1,127.29,122.75,131.41,123.61,133.8,137.39,132.35,136.46
80,Mediterranean South Coast,19.34,17.37,17.72,18.22,18.32,18.14,17.23,18.25,17.62,16.51,17.95,16,15.85,16.7,16.24,16.19,15.13,15.6,15.26,14.04
81,Guadiana,9.34,11.41,13.18,11.53,10.24,10.91,11.18,10.23,13.48,8.71,8.33,9.97,11.92,10.06,8.73,9.73,9.43,8.44,11.64,7.1
82,Central Iran,17.16,11.01,11.21,14.44,14.66,16.21,13.74,14.97,13.17,13.66,15.96,9.96,10.45,13.27,13.37,15.15,12.31,13.75,11.62,11.79
83,Guadalquivir,6.47,8.52,9.18,8.98,6.81,7.03,7.19,8.19,10.33,6.6,5.58,7.38,8.22,7.83,5.65,6.09,6.1,6.58,8.58,5.1
84,Tigris - Euphrates,75.62,50.65,66.66,79.22,59.78,68.82,62.05,70.96,60.72,54.54,67.65,44.38,58.05,68.6,50.45,58.74,53.1,60.25,50.36,38.95
85,Tarim Interior,27.76,22.81,29.4,28.03,30.98,29.56,29.87,34.77,31.51,33,35.35,31.74,38.19,37.78,42.22,41.58,42.85,47.42,44.65,43.29
86,"Africa, North West Coast",22.53,19.16,21.75,22.25,18.16,17.46,14.81,19.71,21.95,19.89,21.6,17.05,20.57,21.05,16.47,14.94,12.42,18,20.33,17.03
87,Nile,426,445.85,429.75,360.4,379.16,348.96,319.77,397.61,383.27,398.36,406.51,427.45,410.5,342.97,365.16,336.22,305.6,383.28,368.75,395.96
88,Persian Gulf Coast,5.77,3.95,4.12,4.18,4.54,5.8,3.81,4.19,4.29,4.59,5.27,3.57,3.8,3.72,4.05,5.27,3.3,3.84,3.91,3.81
89,Indus,98.82,88.61,83.02,71.59,103.52,101.11,83.65,95.22,90.21,69.3,101.17,91.64,85.66,76.08,110.82,109.5,92.44,103.57,101.34,82.11
90,Farahrud,1.82,1.54,0.76,1.32,1.64,2.03,1.05,1.65,1.39,1.17,1.67,1.44,0.65,1.14,1.53,1.82,1.01,1.53,1.2,0.94
91,Baja California,0.1,0.45,0.44,0.11,0.44,0.66,0.69,0.24,0.24,0.27,0.12,0.46,0.44,0.14,0.41,0.67,0.7,0.24,0.23,0.11
92,Plateau of Tibet Interior,28.46,29.45,36,36.38,45.19,44.82,41.79,51.88,38.46,49.85,37.68,39.03,49.25,50.58,61.76,62.19,59.19,72.86,57.9,67.68
93,"Red Sea, East Coast",1.13,0.85,1.44,0.51,1.04,0.31,0.54,0.86,1.19,1.21,1.3,0.94,1.65,0.68,1.26,0.66,0.8,1.15,1.4,1.2
94,Arabian Peninsula,0.95,0.92,1.15,1.04,1.95,0.81,0.56,0.85,1.4,0.66,1.17,1.13,1.45,1.38,2.27,1.54,1.39,1.94,2.61,2.17
95,Dead Sea,1.84,0.55,1.25,1.26,0.94,1.15,0.88,1.49,0.98,0.75,1.72,0.46,1.11,1.1,0.78,1,0.73,1.33,0.81,0.41
96,"Mexico, Northwest Coast",20.11,30.94,26.45,29.34,25.39,28.11,34.84,35.42,25.88,16.82,19,28.33,24.42,27.05,23.52,25.74,31.89,32.34,23.24,16.72
97,Helmand,9.34,9.05,7.02,7.27,8.45,11.14,7.54,10.08,7.24,7.17,8.82,8.47,6.43,6.65,7.91,10.11,6.96,9.28,6.66,6.16
98,Sinai Peninsula,0.01,0,0.01,0.02,0.01,0.01,0,0.04,0,0,0,0,0.01,0.01,0,0.01,0,0.03,0,0
99,Eastern Jordan - Syria,0.91,0.45,0.69,0.69,0.52,0.7,0.54,0.61,0.75,0.45,0.76,0.32,0.53,0.52,0.37,0.49,0.37,0.42,0.55,0.06
100,"Africa, Red Sea - Gulf of Aden Coast",1.3,0.43,1.45,0.84,1.88,1.23,0.19,1.17,1.51,1,1.47,0.7,1.7,1.14,2.22,1.6,0.62,1.5,1.77,1.48
101,Caribbean,27.63,29.97,26.19,30.96,23.08,30.19,21.72,23.33,27.17,28.45,26.42,28.47,24.83,29.07,21.78,28.14,20.5,21.81,25.61,25.43
102,Hamun-i-Mashkel,0.9,0.68,0.27,0.55,0.71,1.24,0.55,1.03,0.71,0.67,0.95,0.78,0.37,0.67,0.85,1.39,0.76,1.19,0.94,0.81
103,Taiwan,9.36,10.93,7.39,11.08,12.06,9.27,10.31,11.11,8.37,11.66,9.31,10.96,7.44,11.06,12.01,9.36,10.33,11.2,8.58,11.66
104,Arabian Sea Coast,2.1,2.04,0.96,1.75,1.83,2.09,1.63,2.13,2.01,1.95,2.21,2.2,1.45,1.92,2.1,2.33,2.13,2.4,2.38,2.38
