basin.id,basin.name,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1,Arctic Ocean Islands,42.34,38.31,38.94,42.15,40.75,40.44,40.22,42.32,43.07,43.03,47.05,43.55,44.47,48.1,47.33,46.9,46.78,49.01,50.37,51
2,Northwest Territories,174.39,194.42,198.22,219.87,228.46,235.11,241.11,240.01,229.83,203.09,206.04,227.11,233.17,256.14,264.28,274.01,279.41,277.16,269.99,253.45
3,"Siberia, North Coast",63.44,65.08,72.62,70.36,68.23,58.75,65.44,76.45,72.7,74.38,71.57,73.93,81.91,80.8,79.55,71.22,77.57,88.21,84.49,84.43
4,"Siberia, West Coast",334.64,342.85,351.8,330.58,330.14,343.32,349.46,349.44,366.86,362.58,371.97,383,396.26,384.18,386.77,404.3,410.04,406.44,426.53,433.66
5,Kara Sea Coast,71.39,70.76,73.95,70.55,66.29,73.42,73.18,77.68,72.21,74.51,77.41,77.38,80.83,78.7,74.99,81.49,82.35,86.19,81.4,84.97
6,Lena,256.22,265.77,263.03,255.83,271.63,267.53,248.2,271.81,277.46,284.71,278,286.85,284.11,282.31,298.94,298.73,277,298.94,307.24,313.74
7,Pacific and Arctic Coast,352.53,386.6,389.89,347.47,369.8,384.3,404.9,440.01,386.53,386.81,406.95,445.81,457.06,420.92,447.41,465.07,484.81,522.13,474.03,468.87
8,"Scandinavia, North Coast",226.98,215.87,233.13,220.74,231.8,225.89,229.01,244.8,222.13,232.3,234.36,223.88,240.83,230.37,242.17,236.39,239.52,255.92,232.45,252.56
9,"Russia, Barents Sea Coast",93.07,94.88,100.64,92.17,98.85,98.29,93.2,97.5,99.47,102,98.91,100.35,104.74,99.22,104.58,103.43,99.84,104.59,105.91,106.65
10,Mackenzie,281.82,327.19,325.63,327.79,337.84,315.14,338.86,356.16,345.46,304.32,307.85,352.94,354.34,358.25,370.28,350.97,371.16,389.96,380.97,347.03
11,Iceland,42.19,44.76,33.67,43.09,42.97,40.81,39.99,44.85,38.49,41.39,43.22,45.85,34.88,44.45,44.44,42.34,41.62,46.66,40.37,43.85
12,Sweden,147.35,150.04,155.48,144.07,153.29,152.78,156.35,153.58,145.87,164.77,154.21,157.1,163.24,152.55,162.58,163.73,166.3,165.3,156.46,183.99
13,Finland,58.83,56.63,56.99,54.34,58.97,58.02,60.56,59.76,55.38,61.49,61.5,58.83,60.27,57.16,62.13,61.74,64.55,64.06,59.26,66.63
14,Northern Dvina,41.55,43.04,42.02,40.25,41.89,43.96,43.06,42.76,42.57,44.93,42.32,44.05,43.32,42.29,43.84,44.47,44.15,44.26,44.68,44.92
15,Hudson Bay Coast,465.34,457.45,560.56,529.09,533.83,546,562.36,556.26,539.94,521.39,490.28,487.89,581.43,560.94,565.8,576.12,588.12,584.95,575,552.94
16,Scotland,26,25.15,25.69,22.05,24.64,28.48,27.01,28.99,22.72,26.79,26.49,25.69,26.2,22.59,25.36,29.25,27.81,29.87,23.56,28.32
17,Neva,59.94,63.07,59.56,56.61,60.11,61.08,62.71,64.14,58.1,62.55,62.64,64.41,62.04,59.25,62.31,64.64,65.54,66.87,61.89,65.31
18,Volga,364.06,377.03,362.78,351.87,358.84,368.21,365.14,366.38,364.05,362.29,365.18,374.78,361.5,345.98,355.57,367.99,365.6,366.3,357.81,370.27
19,Atlantic Ocean Seaboard,151.5,155.89,176.26,176.58,176.22,191.05,167.23,165.87,178.89,165.43,154.27,159.32,179.09,180.23,180.22,195.19,172.15,170.94,184.59,179.04
