basin.id,basin.name,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000
1,Arctic Ocean Islands,38.38,38.96,39.93,40.84,38.27,37.49,36.82,39.52,40.24,39.51,41.6,37.45,37.38,40.17,37.47,36.76,35.78,38.04,36.85,37.6
2,Northwest Territories,251.92,251.27,243.48,246.11,240.61,237.93,238,229.56,217.28,201.17,202.58,218.05,215.36,238.09,249.06,260.65,266.31,266.36,251.04,248.6
3,"Siberia, North Coast",80.8,76.72,77.01,76.39,77.3,76.38,63.46,80.37,79.99,82.25,76.19,78.41,85.01,81.62,78.46,65.6,72.28,83.69,75.99,74.25
4,"Siberia, West Coast",300.23,334.4,318.13,336.56,344.25,293.63,311.02,324.6,336.72,335.68,352.92,354.37,367.31,335.38,329.59,337.03,330.06,325.84,327.87,340.31
5,Kara Sea Coast,73.83,76.05,73.32,69.82,62.76,69.64,73.35,84.11,76.38,85.84,88.26,85.19,89.08,83.94,80.43,87.99,86.65,89.59,83.08,91.75
6,Lena,251.65,234.82,241.48,270.63,271.43,246.83,246.84,262.76,260.39,277.08,272.87,282.99,273.87,262.11,280.82,270.19,242.7,266.92,266.15,275.28
7,Pacific and Arctic Coast,374.54,359.19,362.88,369.23,371.54,408.4,357.54,368.54,383.19,366.46,357.99,389.3,386.77,332.43,353.81,369.9,383.1,416.26,354.69,334.19
8,"Scandinavia, North Coast",220.86,215.55,215.81,224.93,221.09,222.83,217.32,218.88,216.03,227.2,233.49,222.08,237.84,223.94,237.13,230.9,236.87,256.39,233.45,244.98
9,"Russia, Barents Sea Coast",97.61,95.81,101.5,102.42,102.41,103.61,96.98,107.24,103.35,117.05,113.82,114.44,119.22,104.75,114.53,115.26,109.35,111.22,115.37,124.11
10,Mackenzie,322.55,304.64,291.76,291.99,267.49,292.21,324.23,287,282.16,308.06,296.86,342.95,334.49,334.29,344.32,315.76,336.37,349.76,327.76,307.02
11,Iceland,42.81,41.12,36.25,45.83,49.85,45.41,49.16,37.16,39.01,42.1,44.85,46.05,33.23,45.05,43.55,41.81,41.25,53.08,41.95,45.78
12,Sweden,147.87,148.84,143.23,152.69,158.61,159.96,155.89,148.97,151.57,160.15,156.65,159.21,165.23,150.75,160.93,161,168.22,169.03,158.63,179.25
13,Finland,63.45,59.3,57.81,61.86,63.65,64.08,63.09,53.4,56.38,62.23,62.96,60.79,60.79,58.01,63.17,61.71,64.5,63.08,58.7,61.64
14,Northern Dvina,52.75,51.13,55.04,50.85,53.08,54,48.96,50.22,51.74,55.44,53.48,54.37,53.36,50.8,52.73,55.29,54.02,53.35,53.48,55.25
15,Hudson Bay Coast,472.4,496.01,490.09,474.02,461.2,470.67,510.1,523.36,487.28,485.47,452.28,439.34,548.63,506,509.98,523.15,539.82,523.04,515.77,502.91
16,Scotland,29.89,29.01,28.97,29.08,30.35,29.99,26.01,28.2,26.61,31.38,28,27.19,27.74,23.08,26.67,32.11,31.22,36.69,31.04,33.72
17,Neva,58.53,56.33,57.93,57.91,60.98,61.42,60.64,52.88,57.62,61.25,59.88,62.14,58.02,55.99,59.38,57.97,60.48,61.25,57.38,60.16
18,Volga,380.92,370.31,406.72,367.14,388.91,371.24,343.91,355.4,382.32,367.5,379.42,400.75,371.03,354,362.78,386.4,382.83,388.4,391.99,395.57
19,Atlantic Ocean Seaboard,158.59,156.77,149.83,143.79,148.21,143.97,161.78,179.11,149.72,168.17,164.06,164.79,190,186.26,193.18,205.34,183.25,178.46,196.39,180.69
20,Baltic Sea Coast,11.56,12.13,11.44,11.64,13.05,11.63,11.7,10.23,11.39,12.48,12.06,12.04,10.64,9.93,11.11,13.29,12,12.64,10.92,12.71
21,Denmark - Germany Coast,11.47,14.01,12.2,11.97,13.79,12.39,13.34,12.09,11.88,13.81,12.41,13.33,14.02,11.92,11.71,14.3,13.57,13.28,12.96,14.27
22,Narva,9.26,9.48,9.62,9.9,10.74,8.8,8.98,8.55,10,10.3,8.9,10.48,8.61,8.48,9.47,9.56,9.29,9.59,9.34,10.08
23,Saskatchewan - Nelson,259.12,257.74,254.19,259.47,276.58,223.03,254.08,245.43,262.1,262.61,282.1,261.17,281.97,300.1,274.85,276.79,278.6,265.99,292.23,255.23
24,Ireland,21.81,21.08,23.52,21.3,23.86,22.35,20.37,21.43,20.97,22.03,21.02,22.74,21.34,18.91,20.73,24.98,22.81,25.14,23.19,24.56
25,Daugava,14.28,14.53,14.7,15.48,15.73,14.87,14.62,13.27,15.33,15.66,14.71,15.38,14.69,13.21,14.37,14.38,14.32,15.13,13.77,14.59
26,England and Wales,36.32,38.76,38.55,36.17,41.61,40.88,36.51,36.53,37.55,39.13,35.28,38.76,37.17,35.26,34.71,40.66,39.23,37.3,37.8,47.22
27,Fraser,78.2,76.08,70.03,73.32,72.85,68.96,85.68,75.09,75.74,81.14,84.29,86.82,92.34,86.93,83.72,82.57,78.8,85.29,89,68.38
28,Ems - Weser,11.1,10.82,11.54,10.79,12.14,10.67,11.07,10.86,10.24,11.09,11.05,11.4,11.64,10.91,10.5,12.1,11.98,11.15,11.85,12.79
29,Oder,20.1,19.89,19.37,19.27,21.45,20,20.47,21.15,19.26,18.85,18.06,19,19.64,18.52,19.42,19.14,19.96,18.61,18.85,19.48
30,Wisla,35.57,35.4,33.71,33.04,36.03,34.69,35.6,34.2,34.17,33.66,32.06,33.84,35.25,34.3,32.59,34.31,34.37,34.43,33.2,34.85
31,Elbe,27.41,26.29,27.61,26.4,28.83,26.16,26.14,29.19,25.41,26.31,26.52,26.37,27.97,26.14,25.3,27.06,27.53,24.61,26.76,28.3
32,Rhine,50.8,53.05,57.16,51.78,56.36,53.81,51.68,56.93,48.27,55.18,50.95,52.1,55.56,48.79,49.68,58,55.57,51.71,52.97,63.94
33,Poland Coast,7.58,7.61,7.63,7.46,8.18,7.92,7.49,7.38,7.4,8.09,7.41,7.97,7.62,7.56,7.35,8.73,8.07,7.69,7.4,8.12
34,Churchill,38.18,41.61,40.79,35.12,35.41,36.63,38.43,47.23,34.64,35.39,32.01,32.03,41.29,39.57,46.34,48.13,39.93,37.53,41.99,35.35
35,Neman,19.7,18.56,19.1,17.95,19.27,18.87,18.73,17.3,18.9,19.07,18.28,19.58,18.58,17.61,17.21,18.46,19.22,18.72,17.67,18.98
36,Scheldt,7.03,8.61,8.31,6.77,7.74,7.37,7.74,8.13,7.6,9.09,7.08,8.38,8.11,6.61,7.67,7.99,7.38,7.38,7.95,9.95
37,"Russia, South East Coast",13.4,19.24,20.56,16.34,19.25,21.58,17.76,19.21,20.96,17.07,20.21,23.27,19.87,23.13,17.55,19.47,18.99,18.1,20.4,20.89
38,Ural,15.91,14.79,17.71,16.03,15.63,14.11,9.86,14.28,15.36,13.79,15.17,16.81,16.53,16.68,14.33,16.78,16.74,16.52,15.78,17.39
39,Dnieper,112.91,118.29,121.69,112.98,115.92,120.59,116.5,114.06,114.05,112.82,117.09,115.62,112.41,113.45,117.02,118.92,116.79,121.38,118.93,119.88
40,St Lawrence,102.04,110.28,100.07,85.47,95.18,95.32,105.28,118.81,104.18,92.96,91.97,83.49,114.9,112.87,118.42,104.08,94.92,100.57,108.76,84.27
41,"France, West Coast",15.96,18.26,17.34,15.44,18.07,18.2,18.07,17.16,15.69,18.74,15.62,20.34,18.34,15.64,16.45,20.48,16.77,14.88,17.65,21.7
42,Gobi Interior,54.08,52.67,50.83,47.05,45.15,52.2,50.07,44.74,43.87,43.45,49.77,51.88,42.66,46.04,48.07,40.69,49.72,43.73,46.4,38.21
43,Amur,285.17,292.16,290.04,284.15,286.05,316.47,304.4,309.24,296.64,304.23,327.84,339.3,306.28,325.19,294.37,312.37,317.75,312.16,306.79,293.31
44,Loire,21.17,24.85,23.22,19.62,22.04,21.8,22.1,21.45,19.43,21.94,19.36,23.07,22.17,21.12,21.8,26.21,21.91,19.93,23.63,24.68
45,Caspian Sea Coast,46.11,42.1,50.55,46.22,45.44,45.14,37.13,48.44,43.27,38.67,43.73,48.87,47.81,44.93,40.71,48.45,41.33,49.64,45.72,47
46,Seine,12.54,12.9,13.61,11.12,13.26,12.74,12.75,13.29,13.04,14.06,12.27,12.47,13.23,12.34,12.43,13.9,12.45,12.89,12.37,14.34
47,"Black Sea, North Coast",31.32,36.65,37.84,33.37,34.72,36.53,34.67,40.84,35.67,32.08,36.75,38.87,36.55,37.88,39.95,39.17,36.27,41.7,41.52,40.52
