basin.id,basin.name,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1,Arctic Ocean Islands,23.31,21.1,21.45,23.21,22.44,22.27,22.15,23.3,23.71,23.69,25.89,23.97,24.48,26.46,26.04,25.8,25.74,26.96,27.7,28.05
2,Northwest Territories,118.51,130.64,132.94,146.06,151.25,155.28,158.92,158.25,152.09,135.89,137.68,150.44,154.11,168.02,172.95,178.84,182.11,180.75,176.41,166.39
3,"Siberia, North Coast",59.6,61.05,67.67,65.68,63.82,55.48,61.36,71.04,67.74,69.22,66.75,68.82,75.84,74.86,73.77,66.44,72.03,81.38,78.11,78.06
4,"Siberia, West Coast",387.91,397.26,407.45,383.29,382.78,397.8,404.79,404.77,424.61,419.74,430.44,443,458.1,444.34,447.29,467.27,473.8,469.7,492.59,500.71
5,Kara Sea Coast,79.83,79.16,82.54,78.94,74.44,81.98,81.72,86.48,80.7,83.13,86.2,86.16,89.82,87.56,83.63,90.51,91.42,95.49,90.41,94.19
6,Lena,305.71,317.19,313.9,305.24,324.24,319.31,296.08,324.45,331.25,339.97,331.9,342.54,339.24,337.08,357.07,356.81,330.7,357.06,367.04,374.86
7,Pacific and Arctic Coast,529.99,580.76,585.66,522.45,555.72,577.33,608.03,660.35,580.66,581.08,611.09,668.99,685.76,631.9,671.37,697.7,727.11,782.73,711.05,703.37
8,"Scandinavia, North Coast",221.45,210.84,227.31,215.49,226.05,220.41,223.38,238.46,216.82,226.53,228.5,218.49,234.67,224.69,235.95,230.43,233.42,249.07,226.67,245.86
9,"Russia, Barents Sea Coast",116.35,118.53,125.46,115.27,123.31,122.63,116.51,121.68,124.05,127.1,123.38,125.12,130.4,123.75,130.21,128.82,124.5,130.22,131.8,132.7
10,Mackenzie,252.27,290.46,289.14,290.96,299.42,280.32,300.28,314.84,305.84,271.21,274.18,312.14,313.31,316.6,326.74,310.47,327.47,343.3,335.73,307.16
11,Iceland,43.06,45.66,34.43,43.97,43.85,41.67,40.83,45.76,39.31,42.25,44.11,46.78,35.66,45.36,45.34,43.22,42.49,47.59,41.21,44.75
12,Sweden,142.35,144.86,149.96,138.22,147.91,147.43,150.76,148.18,140.51,158.64,148.76,151.46,157.21,147.21,156.59,157.67,160.07,159.13,150.87,176.61
13,Finland,58.73,56.56,56.92,54.32,58.86,57.93,60.43,59.64,55.33,61.34,61.36,58.72,60.15,57.09,61.98,61.59,64.35,63.87,59.15,66.4
14,Northern Dvina,39.49,40.84,39.91,38.31,39.8,41.67,40.86,40.58,40.41,42.55,40.19,41.75,41.09,40.16,41.56,42.14,41.84,41.94,42.32,42.54
