basin.id,basin.name,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1,Arctic Ocean Islands,45.01,39.97,40.56,44.05,42.6,42.16,42.18,44.44,45.18,45.03,49.33,46.12,47.38,51.27,50.58,49.82,49.65,52.33,54.18,55.58
2,Northwest Territories,229.83,251.14,257.34,284.34,295.45,304.94,313.71,315.08,303.07,274.56,278.2,307.02,316.7,347.07,357.08,371.32,378.7,378.7,372.03,353.28
3,"Siberia, North Coast",85.14,85.55,94.99,92.51,90.11,79.05,87.54,101.04,96.67,98.98,96.06,99.4,109.77,108.71,107.59,98.58,106.71,120.11,115.64,116.17
4,"Siberia, West Coast",391.5,392.24,403.42,381.42,381.11,398.75,406.05,407.04,428.38,425.74,437.66,450.88,471.1,462.26,463.93,492.2,501.59,495.36,522.35,531.55
5,Kara Sea Coast,95.48,92.57,96.56,92.52,87.52,96.32,96.19,101.83,95.58,98.6,102.5,102.94,107.6,104.91,101.09,109.34,110.3,115.07,109.94,114.57
6,Lena,294.95,300.1,297.13,289.53,307.68,304.58,283.87,309.73,320.24,327.22,320.42,333.52,329.6,329.11,345.04,351.43,326.29,350.28,364.7,370.95
7,Pacific and Arctic Coast,408.6,435.39,440.56,396.37,422.13,439.07,464.72,505.45,450.29,453.58,478.35,524.4,539.73,505.17,536.81,559.29,583.68,627.92,579.11,577.34
8,"Scandinavia, North Coast",245.59,229.49,247.46,235.21,247.3,241.16,244.92,262.14,238.04,249.62,252.91,242.01,259.05,249.84,263.12,256.87,259.75,278.35,251.79,273.96
9,"Russia, Barents Sea Coast",118.37,116.95,124.03,114.09,121.78,121.27,115.6,120.77,122.88,127.11,122.95,124.23,129.86,123.52,129.35,128.38,125.19,129.94,130.74,133.55
10,Mackenzie,322.51,366.78,366.63,369.1,382.24,358.36,386.51,408.39,396.84,354.94,362.62,413.32,419.43,424.48,440.8,421.48,446.21,469.66,460.74,427
11,Iceland,45.94,47.09,35.36,45.19,45.02,42.76,41.81,46.74,39.98,42.97,44.73,47.53,35.81,45.62,45.57,43.31,42.47,47.34,40.8,44.41
12,Sweden,166.8,166.81,173.26,160.78,171.52,171.32,175.12,172.82,164.44,185.11,173.93,177.05,185.44,174.27,185.82,188.37,190.74,191.04,180.57,211.82
13,Finland,67.26,63.18,63.77,60.69,65.81,65.38,68.78,67.77,62.48,70.61,70.53,67.45,69.94,66.21,72.19,72.03,76.14,75.49,69.96,78.88
14,Northern Dvina,56.82,56.56,55.45,53.33,55.2,58.02,56.88,56.79,55.75,59.26,57.02,57.34,56.76,56.11,57.4,58.49,58.25,58.32,57.78,58.94
15,Hudson Bay Coast,477.07,459.1,567.34,532.03,535.21,549.22,568.3,560.98,546.04,527.99,495.12,500.58,606.22,579.66,580.51,608.33,618.08,617.39,612.23,588.3
16,Scotland,30.54,28.43,29.08,25.02,27.91,32.23,30.62,32.84,25.94,30.49,30.22,29.32,29.95,26,29.14,33.61,32.05,34.34,27.4,32.77
17,Neva,62.4,63.34,59.74,56.39,59.76,61.45,63.8,64.89,57.77,62.87,63.27,65.71,62.83,59.49,61.25,66.05,68.45,68.95,62.5,67.88
18,Volga,386.33,401.83,371.54,347.19,360.09,381.6,374.79,377.17,363.96,366.3,372.94,383.64,358.87,328.15,330.36,371.29,370.1,366.9,337.05,390.62
