INPUT_TABLE
Variable ID
RenewRsrcCurves

region,renewresource,sub.renewable.resource,grade,available,extractioncost
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade1,0,1e-05
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade2,0.0518954476029394,1.1358024691358e-05
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade3,0.103790895205879,2.08641975308642e-05
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade4,0.155686342808818,4.66666666666667e-05
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade5,0.207581790411758,9.69135802469136e-05
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade6,0.259477238014697,0.000179753086419753
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade7,0.311372685617637,0.000303333333333333
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade8,0.363268133220576,0.000475802469135802
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade9,0.415163580823516,0.000705308641975309
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade10,0.467059028426455,0.001
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade11,0.52035312558381,0.14330103142224
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade12,0.573647222741164,0.550856992550494
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade13,0.626941319898519,1.19566386545982
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade14,0.680235417055873,2.04971763222528
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade15,0.733529514213227,3.08501427492192
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade16,0.786823611370582,4.27354977562482
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade17,0.840117708527936,5.58732011640901
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade18,0.893411805685291,6.99832127934957
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade19,0.946705902842645,8.47854924652155
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade20,1,10
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade2,0.0498353354726423,1.1358024691358e-05
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade3,0.0996706709452847,2.08641975308642e-05
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade4,0.149506006417927,4.66666666666667e-05
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade5,0.199341341890569,9.69135802469136e-05
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade6,0.249176677363212,0.000179753086419753
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade7,0.299012012835854,0.000303333333333333
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade8,0.348847348308496,0.000475802469135802
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade9,0.398682683781139,0.000705308641975309
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade10,0.448518019253781,0.001
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade11,0.503666217328403,0.141654423199256
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade12,0.558814415403025,0.544960326613792
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade13,0.613962613477647,1.18402720322961
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade14,0.669110811552269,2.0319645460327
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade15,0.72425900962689,3.06188184800906
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade16,0.779407207701512,4.2468886021447
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade17,0.834555405776134,5.56009430142562
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade18,0.889703603850756,6.97460843883781
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade19,0.944851801925378,8.46354050736727
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade20,1,10
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade2,0.046021997511451,1.1358024691358e-05
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade3,0.092043995022902,2.08641975308642e-05
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade4,0.138065992534353,4.66666666666667e-05
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade5,0.184087990045804,9.69135802469136e-05
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade6,0.230109987557255,0.000179753086419753
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade7,0.276131985068706,0.000303333333333333
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade8,0.322153982580157,0.000475802469135803
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade9,0.368175980091608,0.000705308641975309
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade10,0.414197977603059,0.001
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade11,0.472778179842753,0.138611711368291
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade12,0.531358382082447,0.534054007413923
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade13,0.589938584322141,1.16249777626887
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade14,0.648518786561835,1.9991139060651
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade15,0.70709898880153,3.01907328493459
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade16,0.765679191041224,4.19754680100932
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade17,0.824259393280918,5.50970534242125
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade18,0.882839595520612,6.93071979730236
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade19,0.941419797760306,8.43576105378462
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade20,1,10
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade2,0.0292287252624578,1.1358024691358e-05
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade3,0.0584574505249155,2.08641975308642e-05
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade4,0.0876861757873733,4.66666666666667e-05
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade5,0.116914901049831,9.69135802469136e-05
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade6,0.146143626312289,0.000179753086419753
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade7,0.175372351574747,0.000303333333333333
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade8,0.204601076837204,0.000475802469135802
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade9,0.233829802099662,0.000705308641975309
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade10,0.26305852736212,0.001
