INPUT_TABLE
Variable ID
GrdRenewRsrcMaxNoFO

region,renewresource,sub.renewable.resource,year.fillout,maxSubResource
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,1975,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,1990,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2005,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2010,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2015,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2020,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2025,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2030,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2035,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2040,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2045,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2050,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2055,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2060,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2065,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2070,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2075,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2080,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2085,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2090,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2095,249.617
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2100,249.617
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,1975,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,1990,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2005,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2010,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2015,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2020,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2025,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2030,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2035,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2040,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2045,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2050,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2055,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2060,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2065,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2070,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2075,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2080,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2085,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2090,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2095,37.468
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2100,37.468
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,1975,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,1990,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2005,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2010,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2015,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2020,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2025,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2030,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2035,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2040,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2045,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2050,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2055,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2060,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2065,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2070,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2075,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2080,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2085,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2090,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2095,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2100,35.37
Africa_Eastern,Congo-water withdrawals,runoff,1975,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,1990,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2005,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2010,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2015,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2020,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2025,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2030,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2035,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2040,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2045,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2050,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2055,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2060,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2065,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2070,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2075,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2080,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2085,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2090,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2095,1161.419
Africa_Eastern,Congo-water withdrawals,runoff,2100,1161.419
Africa_Eastern,Lake Chad-water withdrawals,runoff,1975,111.694
Africa_Eastern,Lake Chad-water withdrawals,runoff,1990,111.694
Africa_Eastern,Lake Chad-water withdrawals,runoff,2005,111.694
Africa_Eastern,Lake Chad-water withdrawals,runoff,2010,111.694
Africa_Eastern,Lake Chad-water withdrawals,runoff,2015,111.694
Africa_Eastern,Lake Chad-water withdrawals,runoff,2020,111.694
Africa_Eastern,Lake Chad-water withdrawals,runoff,2025,111.694
Africa_Eastern,Lake Chad-water withdrawals,runoff,2030,111.694
