INPUT_TABLE
Variable ID
Supplysector_relative-cost-logit

region,supplysector,logit.type
USA,water_td_pri_C,relative-cost-logit
USA,water_td_dom_W,relative-cost-logit
USA,water_td_pri_W,relative-cost-logit
USA,water_td_ind_C,relative-cost-logit
USA,water_td_an_C,relative-cost-logit
USA,water_td_elec_W,relative-cost-logit
USA,water_td_dom_C,relative-cost-logit
USA,water_td_irr_PacArctic_C,relative-cost-logit
USA,water_td_irr_PacArctic_W,relative-cost-logit
USA,water_td_elec_C,relative-cost-logit
USA,water_td_an_W,relative-cost-logit
USA,water_td_ind_W,relative-cost-logit
USA,water_td_elec_C,relative-cost-logit
USA,water_td_pri_C,relative-cost-logit
USA,water_td_ind_C,relative-cost-logit
USA,water_td_irr_NelsonR_W,relative-cost-logit
USA,water_td_dom_W,relative-cost-logit
USA,water_td_an_W,relative-cost-logit
USA,water_td_pri_W,relative-cost-logit
USA,water_td_dom_C,relative-cost-logit
USA,water_td_an_C,relative-cost-logit
USA,water_td_elec_W,relative-cost-logit
USA,water_td_irr_NelsonR_C,relative-cost-logit
USA,water_td_ind_W,relative-cost-logit
USA,water_td_dom_W,relative-cost-logit
USA,water_td_an_W,relative-cost-logit
USA,water_td_elec_C,relative-cost-logit
USA,water_td_an_C,relative-cost-logit
USA,water_td_pri_C,relative-cost-logit
USA,water_td_ind_C,relative-cost-logit
USA,water_td_irr_FraserR_C,relative-cost-logit
USA,water_td_dom_C,relative-cost-logit
USA,water_td_ind_W,relative-cost-logit
USA,water_td_irr_FraserR_W,relative-cost-logit
USA,water_td_pri_W,relative-cost-logit
USA,water_td_elec_C,relative-cost-logit
USA,water_td_ind_W,relative-cost-logit
USA,water_td_dom_C,relative-cost-logit
USA,water_td_irr_MexCstNW_W,relative-cost-logit
USA,water_td_ind_C,relative-cost-logit
USA,water_td_dom_W,relative-cost-logit
USA,water_td_an_W,relative-cost-logit
USA,water_td_irr_MexCstNW_C,relative-cost-logit
USA,water_td_an_C,relative-cost-logit
USA,water_td_pri_C,relative-cost-logit
USA,water_td_pri_W,relative-cost-logit
USA,water_td_elec_W,relative-cost-logit
USA,water_td_an_W,relative-cost-logit
USA,water_td_ind_W,relative-cost-logit
USA,water_td_elec_C,relative-cost-logit
USA,water_td_an_C,relative-cost-logit
USA,water_td_dom_C,relative-cost-logit
USA,water_td_ind_C,relative-cost-logit
USA,water_td_irr_Caribbean_C,relative-cost-logit
USA,water_td_irr_Caribbean_W,relative-cost-logit
USA,water_td_pri_W,relative-cost-logit
USA,water_td_dom_W,relative-cost-logit
USA,water_td_pri_C,relative-cost-logit
USA,water_td_dom_W,relative-cost-logit
USA,water_td_elec_W,relative-cost-logit
USA,water_td_an_W,relative-cost-logit
USA,water_td_pri_C,relative-cost-logit
USA,water_td_ind_W,relative-cost-logit
USA,water_td_ind_C,relative-cost-logit
USA,water_td_dom_C,relative-cost-logit
USA,water_td_irr_California_W,relative-cost-logit
USA,water_td_pri_W,relative-cost-logit
USA,water_td_an_C,relative-cost-logit
USA,water_td_irr_California_C,relative-cost-logit
USA,water_td_elec_C,relative-cost-logit
USA,water_td_irr_MissppRN_W,relative-cost-logit
USA,water_td_irr_MissppRN_C,relative-cost-logit
USA,water_td_elec_C,relative-cost-logit
USA,water_td_an_C,relative-cost-logit
USA,water_td_an_W,relative-cost-logit
USA,water_td_dom_W,relative-cost-logit
USA,water_td_pri_C,relative-cost-logit
USA,water_td_pri_W,relative-cost-logit
USA,water_td_ind_W,relative-cost-logit
USA,water_td_dom_C,relative-cost-logit
USA,water_td_ind_C,relative-cost-logit
USA,water_td_elec_W,relative-cost-logit
USA,water_td_dom_C,relative-cost-logit
USA,water_td_ind_C,relative-cost-logit
USA,water_td_irr_MissppRS_C,relative-cost-logit
USA,water_td_irr_MissppRS_W,relative-cost-logit
USA,water_td_an_C,relative-cost-logit
USA,water_td_an_W,relative-cost-logit
USA,water_td_pri_W,relative-cost-logit
USA,water_td_ind_W,relative-cost-logit
USA,water_td_elec_W,relative-cost-logit
USA,water_td_dom_W,relative-cost-logit
USA,water_td_elec_C,relative-cost-logit
USA,water_td_pri_C,relative-cost-logit
USA,water_td_ind_C,relative-cost-logit
USA,water_td_dom_W,relative-cost-logit
USA,water_td_an_W,relative-cost-logit
USA,water_td_pri_C,relative-cost-logit
USA,water_td_an_C,relative-cost-logit
USA,water_td_elec_W,relative-cost-logit
USA,water_td_ind_W,relative-cost-logit
USA,water_td_dom_C,relative-cost-logit
USA,water_td_irr_UsaColoRN_C,relative-cost-logit
USA,water_td_elec_C,relative-cost-logit
USA,water_td_irr_UsaColoRN_W,relative-cost-logit
USA,water_td_pri_W,relative-cost-logit
USA,water_td_an_C,relative-cost-logit
USA,water_td_pri_W,relative-cost-logit
USA,water_td_an_W,relative-cost-logit
USA,water_td_dom_W,relative-cost-logit
USA,water_td_ind_C,relative-cost-logit
USA,water_td_pri_C,relative-cost-logit
USA,water_td_irr_UsaColoRS_W,relative-cost-logit
USA,water_td_dom_C,relative-cost-logit
USA,water_td_ind_W,relative-cost-logit
USA,water_td_irr_UsaColoRS_C,relative-cost-logit
USA,water_td_elec_W,relative-cost-logit
USA,water_td_elec_C,relative-cost-logit
USA,water_td_irr_GreatBasin_W,relative-cost-logit
USA,water_td_elec_C,relative-cost-logit
USA,water_td_dom_W,relative-cost-logit
USA,water_td_an_C,relative-cost-logit
USA,water_td_ind_C,relative-cost-logit
USA,water_td_ind_W,relative-cost-logit
USA,water_td_elec_W,relative-cost-logit
USA,water_td_pri_C,relative-cost-logit
USA,water_td_dom_C,relative-cost-logit
USA,water_td_pri_W,relative-cost-logit
USA,water_td_an_W,relative-cost-logit
USA,water_td_irr_GreatBasin_C,relative-cost-logit
USA,water_td_elec_W,relative-cost-logit
USA,water_td_elec_C,relative-cost-logit
USA,water_td_dom_C,relative-cost-logit
USA,water_td_dom_W,relative-cost-logit
USA,water_td_pri_C,relative-cost-logit
USA,water_td_an_C,relative-cost-logit
USA,water_td_an_W,relative-cost-logit
USA,water_td_irr_MissouriR_W,relative-cost-logit
USA,water_td_irr_MissouriR_C,relative-cost-logit
USA,water_td_ind_W,relative-cost-logit
USA,water_td_ind_C,relative-cost-logit
USA,water_td_pri_W,relative-cost-logit
USA,water_td_ind_W,relative-cost-logit
USA,water_td_elec_W,relative-cost-logit
USA,water_td_irr_ArkWhtRedR_W,relative-cost-logit
USA,water_td_an_W,relative-cost-logit
USA,water_td_ind_C,relative-cost-logit
USA,water_td_an_C,relative-cost-logit
USA,water_td_irr_ArkWhtRedR_C,relative-cost-logit
USA,water_td_dom_W,relative-cost-logit
USA,water_td_pri_C,relative-cost-logit
USA,water_td_dom_C,relative-cost-logit
USA,water_td_pri_W,relative-cost-logit
USA,water_td_elec_C,relative-cost-logit
USA,water_td_ind_C,relative-cost-logit
USA,water_td_irr_TexasCst_C,relative-cost-logit
USA,water_td_dom_C,relative-cost-logit
USA,water_td_irr_TexasCst_W,relative-cost-logit
USA,water_td_elec_W,relative-cost-logit
USA,water_td_ind_W,relative-cost-logit
USA,water_td_dom_W,relative-cost-logit
USA,water_td_pri_C,relative-cost-logit
USA,water_td_elec_C,relative-cost-logit
USA,water_td_an_C,relative-cost-logit
USA,water_td_pri_W,relative-cost-logit
