INPUT_TABLE
Variable ID
RenewRsrcCurves

region,renewresource,sub.renewable.resource,grade,available,extractioncost
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade2,0.448518019253781,0.001
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade3,1,10
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade2,0.103107392833263,0.001
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade3,1,10
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade2,0.0299847315286617,0.001
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade3,1,10
Africa_Eastern,Congo-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Congo-water withdrawals,runoff,grade2,0.00207700268865266,0.001
Africa_Eastern,Congo-water withdrawals,runoff,grade3,1,10
Africa_Eastern,Lake Chad-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Lake Chad-water withdrawals,runoff,grade2,0.496954419945926,0.001
Africa_Eastern,Lake Chad-water withdrawals,runoff,grade3,1,10
Africa_Eastern,Madasgacar-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Madasgacar-water withdrawals,runoff,grade2,0.0237138175414189,0.001
Africa_Eastern,Madasgacar-water withdrawals,runoff,grade3,1,10
Africa_Eastern,Nile-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Nile-water withdrawals,runoff,grade2,0.697005964292841,0.001
Africa_Eastern,Nile-water withdrawals,runoff,grade3,1,10
Africa_Eastern,Rift Valley-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Rift Valley-water withdrawals,runoff,grade2,0.550401892535399,0.001
Africa_Eastern,Rift Valley-water withdrawals,runoff,grade3,1,10
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,grade2,0.448710599217422,0.001
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,grade3,1,10
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade2,0.333131016002694,0.001
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade3,1,10
Africa_Northern,Dead Sea-water withdrawals,runoff,grade1,0,1e-05
Africa_Northern,Dead Sea-water withdrawals,runoff,grade2,0.804268737530824,0.001
Africa_Northern,Dead Sea-water withdrawals,runoff,grade3,1,10
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,grade2,0.484510581287405,0.001
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,grade3,1,10
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,grade2,0.261631437074451,0.001
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,grade3,1,10
Africa_Northern,Niger-water withdrawals,runoff,grade1,0,1e-05
Africa_Northern,Niger-water withdrawals,runoff,grade2,0.519120697437424,0.001
Africa_Northern,Niger-water withdrawals,runoff,grade3,1,10
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,grade1,0,1e-05
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,grade2,6.8791631312778,0.001
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,grade3,7.8791631312778,10
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade2,0.414197977603059,0.001
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade3,1,10
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade2,0.536760196118258,0.001
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade3,1,10
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade2,0.584836707898357,0.001
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade3,1,10
Africa_Southern,Gulf of Guinea-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Gulf of Guinea-water withdrawals,runoff,grade2,0.000587436917955622,0.001
Africa_Southern,Gulf of Guinea-water withdrawals,runoff,grade3,1,10
Africa_Southern,Limpopo-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Limpopo-water withdrawals,runoff,grade2,0.158324716762931,0.001
Africa_Southern,Limpopo-water withdrawals,runoff,grade3,1,10
Africa_Southern,Namibia-Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Namibia-Coast-water withdrawals,runoff,grade2,0.189544476627407,0.001
Africa_Southern,Namibia-Coast-water withdrawals,runoff,grade3,1,10
Africa_Southern,Orange-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Orange-water withdrawals,runoff,grade2,0.117274495653053,0.001
Africa_Southern,Orange-water withdrawals,runoff,grade3,1,10
Africa_Southern,South Africa-South Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,South Africa-South Coast-water withdrawals,runoff,grade2,0.0648243569704751,0.001
Africa_Southern,South Africa-South Coast-water withdrawals,runoff,grade3,1,10
Africa_Southern,Zambezi-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Zambezi-water withdrawals,runoff,grade2,0.516216814915758,0.001
Africa_Southern,Zambezi-water withdrawals,runoff,grade3,1,10
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade2,0.00442968147070685,0.001
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade3,1,10
Africa_Western,Senegal-water withdrawals,runoff,grade1,0,1e-05
Africa_Western,Senegal-water withdrawals,runoff,grade2,0.0349886486006382,0.001
Africa_Western,Senegal-water withdrawals,runoff,grade3,1,10
Africa_Western,Volta-water withdrawals,runoff,grade1,0,1e-05
Africa_Western,Volta-water withdrawals,runoff,grade2,0.611116568148396,0.001
Africa_Western,Volta-water withdrawals,runoff,grade3,1,10
Argentina,Central Patagonia Highlands-water withdrawals,runoff,grade1,0,1e-05
Argentina,Central Patagonia Highlands-water withdrawals,runoff,grade2,0.28766133538454,0.001
Argentina,Central Patagonia Highlands-water withdrawals,runoff,grade3,1,10
Argentina,Mar Chiquita-water withdrawals,runoff,grade1,0,1e-05
Argentina,Mar Chiquita-water withdrawals,runoff,grade2,0.0984039544908194,0.001
Argentina,Mar Chiquita-water withdrawals,runoff,grade3,1,10
Argentina,North Argentina-South Atlantic Coast-water withdrawals,runoff,grade1,0,1e-05
Argentina,North Argentina-South Atlantic Coast-water withdrawals,runoff,grade2,0.0369719462408039,0.001
Argentina,North Argentina-South Atlantic Coast-water withdrawals,runoff,grade3,1,10
Argentina,Pampas Region-water withdrawals,runoff,grade1,0,1e-05
Argentina,Pampas Region-water withdrawals,runoff,grade2,0.0219031147372561,0.001
Argentina,Pampas Region-water withdrawals,runoff,grade3,1,10
Australia_NZ,Australia-East Coast-water withdrawals,runoff,grade1,0,1e-05
Australia_NZ,Australia-East Coast-water withdrawals,runoff,grade2,0.283674084303709,0.001
Australia_NZ,Australia-East Coast-water withdrawals,runoff,grade3,1,10
Australia_NZ,Australia-Interior-water withdrawals,runoff,grade1,0,1e-05
Australia_NZ,Australia-Interior-water withdrawals,runoff,grade2,0.00681705228658281,0.001
Australia_NZ,Australia-Interior-water withdrawals,runoff,grade3,1,10
Australia_NZ,Australia-North Coast-water withdrawals,runoff,grade1,0,1e-05
Australia_NZ,Australia-North Coast-water withdrawals,runoff,grade2,0.00219657240694368,0.001
Australia_NZ,Australia-North Coast-water withdrawals,runoff,grade3,1,10
Australia_NZ,Australia-South Coast-water withdrawals,runoff,grade1,0,1e-05
Australia_NZ,Australia-South Coast-water withdrawals,runoff,grade2,0.262368590392875,0.001
Australia_NZ,Australia-South Coast-water withdrawals,runoff,grade3,1,10
Australia_NZ,Australia-West Coast-water withdrawals,runoff,grade1,0,1e-05
Australia_NZ,Australia-West Coast-water withdrawals,runoff,grade2,0.0302031226302082,0.001
Australia_NZ,Australia-West Coast-water withdrawals,runoff,grade3,1,10
Australia_NZ,Murray-Darling-water withdrawals,runoff,grade1,0,1e-05
Australia_NZ,Murray-Darling-water withdrawals,runoff,grade2,0.401837996107173,0.001
Australia_NZ,Murray-Darling-water withdrawals,runoff,grade3,1,10
Australia_NZ,New Zealand-water withdrawals,runoff,grade1,0,1e-05
Australia_NZ,New Zealand-water withdrawals,runoff,grade2,0.359708751696059,0.001
Australia_NZ,New Zealand-water withdrawals,runoff,grade3,1,10
Australia_NZ,Tasmania-water withdrawals,runoff,grade1,0,1e-05
Australia_NZ,Tasmania-water withdrawals,runoff,grade2,0.355017097203913,0.001
Australia_NZ,Tasmania-water withdrawals,runoff,grade3,1,10
Brazil,Amazon-water withdrawals,runoff,grade1,0,1e-05
Brazil,Amazon-water withdrawals,runoff,grade2,0.522555927527496,0.001
