INPUT_TABLE
Variable ID
RenewRsrcPrice

region,renewresource,year,price
EU-15,Guadalquivir-water withdrawals,1975,1e-04
EU-15,Guadiana-water withdrawals,1975,1e-04
EU-15,Ireland-water withdrawals,1975,1e-04
EU-15,Italy-East Coast-water withdrawals,1975,1e-04
EU-15,Italy-West Coast-water withdrawals,1975,1e-04
EU-15,Loire-water withdrawals,1975,1e-04
EU-15,Mediterranean Sea Islands-water withdrawals,1975,1e-04
EU-15,Neva-water withdrawals,1975,1e-04
EU-15,Po-water withdrawals,1975,1e-04
EU-15,Rhine-water withdrawals,1975,1e-04
EU-15,Rhone-water withdrawals,1975,1e-04
EU-15,Scandinavia-North Coast-water withdrawals,1975,1e-04
EU-15,Scheldt-water withdrawals,1975,1e-04
EU-15,Scotland-water withdrawals,1975,1e-04
EU-15,Seine-water withdrawals,1975,1e-04
EU-15,Spain-Portugal-Atlantic Coast-water withdrawals,1975,1e-04
EU-15,Spain-South and East Coast-water withdrawals,1975,1e-04
EU-15,Sweden-water withdrawals,1975,1e-04
EU-15,Tagus-water withdrawals,1975,1e-04
EU-15,Tiber-water withdrawals,1975,1e-04
European Free Trade Association,Iceland-water withdrawals,1975,1e-04
Europe_Eastern,Dnieper-water withdrawals,1975,1e-04
Europe_Eastern,Don-water withdrawals,1975,1e-04
Europe_Non_EU,Eastern Jordan-Syria-water withdrawals,1975,1e-04
Europe_Non_EU,Tigris-Euphrates-water withdrawals,1975,1e-04
India,Bay of Bengal-North East Coast-water withdrawals,1975,1e-04
India,Brahamani-water withdrawals,1975,1e-04
India,Cauvery-water withdrawals,1975,1e-04
India,Godavari-water withdrawals,1975,1e-04
India,India East Coast-water withdrawals,1975,1e-04
India,India North East Coast-water withdrawals,1975,1e-04
India,India South Coast-water withdrawals,1975,1e-04
India,India West Coast-water withdrawals,1975,1e-04
India,Krishna-water withdrawals,1975,1e-04
India,Mahandi-water withdrawals,1975,1e-04
India,Mahi-water withdrawals,1975,1e-04
India,Narmada-water withdrawals,1975,1e-04
India,Pennar-water withdrawals,1975,1e-04
India,Sabarmati-water withdrawals,1975,1e-04
India,Tapti-water withdrawals,1975,1e-04
India,Yasai-water withdrawals,1975,1e-04
Indonesia,Fly-water withdrawals,1975,1e-04
Indonesia,Irian Jaya Coast-water withdrawals,1975,1e-04
Indonesia,Java-Timor-water withdrawals,1975,1e-04
Indonesia,Kalimantan-water withdrawals,1975,1e-04
Indonesia,North Borneo Coast-water withdrawals,1975,1e-04
Indonesia,Palau and East Indonesia-water withdrawals,1975,1e-04
Indonesia,Sepik-water withdrawals,1975,1e-04
Indonesia,Sulawesi-water withdrawals,1975,1e-04
Indonesia,Sumatra-water withdrawals,1975,1e-04
Japan,Japan-water withdrawals,1975,1e-04
Mexico,Baja California-water withdrawals,1975,1e-04
Mexico,Isthmus of Tehuantepec-water withdrawals,1975,1e-04
Mexico,Mexico-Interior-water withdrawals,1975,1e-04
Mexico,North Gulf-water withdrawals,1975,1e-04
Mexico,Pacific Central Coast-water withdrawals,1975,1e-04
Mexico,Papaloapan-water withdrawals,1975,1e-04
Mexico,Rio Balsas-water withdrawals,1975,1e-04
Mexico,Rio Lerma-water withdrawals,1975,1e-04
Mexico,Rio Verde-water withdrawals,1975,1e-04
Middle East,Arabian Peninsula-water withdrawals,1975,1e-04
Middle East,Arabian Sea Coast-water withdrawals,1975,1e-04
Middle East,Central Iran-water withdrawals,1975,1e-04
Middle East,Farahrud-water withdrawals,1975,1e-04
Middle East,Hamun-i-Mashkel-water withdrawals,1975,1e-04
Middle East,Helmand-water withdrawals,1975,1e-04
Middle East,Persian Gulf Coast-water withdrawals,1975,1e-04
Middle East,Red Sea-East Coast-water withdrawals,1975,1e-04
Russia,Kara Sea Coast-water withdrawals,1975,1e-04
Russia,Lena-water withdrawals,1975,1e-04
Russia,Northern Dvina-water withdrawals,1975,1e-04
Russia,Russia-Barents Sea Coast-water withdrawals,1975,1e-04
Russia,Siberia-North Coast-water withdrawals,1975,1e-04
Russia,Siberia-West Coast-water withdrawals,1975,1e-04
South Africa,South Africa-West Coast-water withdrawals,1975,1e-04
South America_Northern,Magdalena-water withdrawals,1975,1e-04
South America_Southern,La Puna Region-water withdrawals,1975,1e-04
South America_Southern,Negro-water withdrawals,1975,1e-04
South America_Southern,North Chile-Pacific Coast-water withdrawals,1975,1e-04
South America_Southern,Peru-Pacific Coast-water withdrawals,1975,1e-04
South America_Southern,Salinas Grandes-water withdrawals,1975,1e-04
South America_Southern,South America-Colorado-water withdrawals,1975,1e-04
South America_Southern,South Argentina-South Atlantic Coast-water withdrawals,1975,1e-04
South America_Southern,South Chile-Pacific Coast-water withdrawals,1975,1e-04
South Asia,Sri Lanka-water withdrawals,1975,1e-04
Southeast Asia,Chao Phraya-water withdrawals,1975,1e-04
Southeast Asia,Gulf of Thailand Coast-water withdrawals,1975,1e-04
Southeast Asia,Papua New Guinea Coast-water withdrawals,1975,1e-04
Southeast Asia,Peninsula Malaysia-water withdrawals,1975,1e-04
Southeast Asia,Philippines-water withdrawals,1975,1e-04
Southeast Asia,Sittang-water withdrawals,1975,1e-04
Southeast Asia,Solomon Islands-water withdrawals,1975,1e-04
Southeast Asia,South Pacific Islands-water withdrawals,1975,1e-04
Southeast Asia,Viet Nam-Coast-water withdrawals,1975,1e-04
South Korea,North and South Korea-water withdrawals,1975,1e-04
USA,Arkansas White Red-water withdrawals,1975,1e-04
USA,California River-water withdrawals,1975,1e-04
USA,Caribbean-water withdrawals,1975,1e-04
USA,Fraser-water withdrawals,1975,1e-04
USA,Great Lakes-water withdrawals,1975,1e-04
USA,Great-water withdrawals,1975,1e-04
USA,Hawaii-water withdrawals,1975,1e-04
USA,Lower Colorado River-water withdrawals,1975,1e-04
USA,Lower Mississippi River-water withdrawals,1975,1e-04
USA,Mexico-Northwest Coast-water withdrawals,1975,1e-04
USA,Mid Atlantic-water withdrawals,1975,1e-04
USA,Missouri River-water withdrawals,1975,1e-04
USA,New England-water withdrawals,1975,1e-04
USA,Ohio River-water withdrawals,1975,1e-04
USA,Pacific and Arctic Coast-water withdrawals,1975,1e-04
USA,Pacific Northwest-water withdrawals,1975,1e-04
USA,Rio Grande River-water withdrawals,1975,1e-04
USA,Saskatchewan-Nelson-water withdrawals,1975,1e-04
USA,South Atlantic Gulf-water withdrawals,1975,1e-04
USA,Tennessee River-water withdrawals,1975,1e-04
USA,Texas Gulf Coast-water withdrawals,1975,1e-04
USA,Upper Colorado River-water withdrawals,1975,1e-04
USA,Upper Mississippi-water withdrawals,1975,1e-04
