INPUT_TABLE
Variable ID
RenewRsrcPrice

region,renewresource,year,price
Africa_Eastern,Africa-East Central Coast-water withdrawals,1975,1e-04
Africa_Eastern,Africa-North Interior-water withdrawals,1975,1e-04
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,1975,1e-04
Africa_Eastern,Congo-water withdrawals,1975,1e-04
Africa_Eastern,Lake Chad-water withdrawals,1975,1e-04
Africa_Eastern,Madasgacar-water withdrawals,1975,1e-04
Africa_Eastern,Nile-water withdrawals,1975,1e-04
Africa_Eastern,Rift Valley-water withdrawals,1975,1e-04
Africa_Eastern,Shebelli-Juba-water withdrawals,1975,1e-04
Africa_Northern,Africa-North West Coast-water withdrawals,1975,1e-04
Africa_Northern,Dead Sea-water withdrawals,1975,1e-04
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,1975,1e-04
Africa_Northern,Mediterranean South Coast-water withdrawals,1975,1e-04
Africa_Northern,Niger-water withdrawals,1975,1e-04
Africa_Northern,Sinai Peninsula-water withdrawals,1975,1e-04
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,1975,1e-04
Africa_Southern,Africa-South Interior-water withdrawals,1975,1e-04
Africa_Southern,Angola-Coast-water withdrawals,1975,1e-04
Africa_Southern,Gulf of Guinea-water withdrawals,1975,1e-04
Africa_Southern,Limpopo-water withdrawals,1975,1e-04
Africa_Southern,Namibia-Coast-water withdrawals,1975,1e-04
Africa_Southern,Orange-water withdrawals,1975,1e-04
Africa_Southern,South Africa-South Coast-water withdrawals,1975,1e-04
Africa_Southern,Zambezi-water withdrawals,1975,1e-04
Africa_Western,Africa-West Coast-water withdrawals,1975,1e-04
Africa_Western,Senegal-water withdrawals,1975,1e-04
Africa_Western,Volta-water withdrawals,1975,1e-04
Argentina,Central Patagonia Highlands-water withdrawals,1975,1e-04
Argentina,Mar Chiquita-water withdrawals,1975,1e-04
Argentina,North Argentina-South Atlantic Coast-water withdrawals,1975,1e-04
Argentina,Pampas Region-water withdrawals,1975,1e-04
Australia_NZ,Australia-East Coast-water withdrawals,1975,1e-04
Australia_NZ,Australia-Interior-water withdrawals,1975,1e-04
Australia_NZ,Australia-North Coast-water withdrawals,1975,1e-04
Australia_NZ,Australia-South Coast-water withdrawals,1975,1e-04
Australia_NZ,Australia-West Coast-water withdrawals,1975,1e-04
Australia_NZ,Murray-Darling-water withdrawals,1975,1e-04
Australia_NZ,New Zealand-water withdrawals,1975,1e-04
Australia_NZ,Tasmania-water withdrawals,1975,1e-04
Brazil,Amazon-water withdrawals,1975,1e-04
Brazil,East Brazil-South Atlantic Coast-water withdrawals,1975,1e-04
Brazil,La Plata-water withdrawals,1975,1e-04
Brazil,North Brazil-South Atlantic Coast-water withdrawals,1975,1e-04
Brazil,Northeast South America-South Atlantic Coast-water withdrawals,1975,1e-04
Brazil,Orinoco-water withdrawals,1975,1e-04
Brazil,Parnaiba-water withdrawals,1975,1e-04
Brazil,Sao Francisco-water withdrawals,1975,1e-04
Brazil,Tocantins-water withdrawals,1975,1e-04
Brazil,Uruguay-Brazil-South Atlantic Coast-water withdrawals,1975,1e-04
Canada,Atlantic Ocean Seaboard-water withdrawals,1975,1e-04
Canada,Churchill-water withdrawals,1975,1e-04
Canada,Hudson Bay Coast-water withdrawals,1975,1e-04
Canada,Mackenzie-water withdrawals,1975,1e-04
Canada,Northwest Territories-water withdrawals,1975,1e-04
Canada,St Lawrence-water withdrawals,1975,1e-04
Central America and Caribbean,Caribbean Coast-water withdrawals,1975,1e-04
Central America and Caribbean,Colombia-Ecuador-Pacific Coast-water withdrawals,1975,1e-04
Central America and Caribbean,Grijalva-Usumacinta-water withdrawals,1975,1e-04
Central America and Caribbean,Southern Central America-water withdrawals,1975,1e-04
Central America and Caribbean,Yucatan Peninsula-water withdrawals,1975,1e-04
Central Asia,Amu Darya-water withdrawals,1975,1e-04
Central Asia,Amur-water withdrawals,1975,1e-04
Central Asia,Black Sea-North Coast-water withdrawals,1975,1e-04
Central Asia,Black Sea-South Coast-water withdrawals,1975,1e-04
Central Asia,Caspian Sea Coast-water withdrawals,1975,1e-04
Central Asia,Caspian Sea-East Coast-water withdrawals,1975,1e-04
Central Asia,Caspian Sea-South West Coast-water withdrawals,1975,1e-04
Central Asia,Gobi Interior-water withdrawals,1975,1e-04
Central Asia,Lake Balkash-water withdrawals,1975,1e-04
Central Asia,Ob-water withdrawals,1975,1e-04
Central Asia,Syr Darya-water withdrawals,1975,1e-04
Central Asia,Tarim Interior-water withdrawals,1975,1e-04
Central Asia,Ural-water withdrawals,1975,1e-04
Central Asia,Volga-water withdrawals,1975,1e-04
Central Asia,Yenisey-water withdrawals,1975,1e-04
China,Bo Hai-Korean Bay-North Coast-water withdrawals,1975,1e-04
China,China Coast-water withdrawals,1975,1e-04
China,Ganges-Bramaputra-water withdrawals,1975,1e-04
China,Hainan-water withdrawals,1975,1e-04
China,Hong-Red River-water withdrawals,1975,1e-04
China,Huang He-water withdrawals,1975,1e-04
China,Indus-water withdrawals,1975,1e-04
China,Irrawaddy-water withdrawals,1975,1e-04
China,Mekong-water withdrawals,1975,1e-04
China,Plateau of Tibet Interior-water withdrawals,1975,1e-04
China,Russia-South East Coast-water withdrawals,1975,1e-04
China,Salween-water withdrawals,1975,1e-04
China,South China Sea Coast-water withdrawals,1975,1e-04
China,Taiwan-water withdrawals,1975,1e-04
China,Xun Jiang-water withdrawals,1975,1e-04
China,Yangtze-water withdrawals,1975,1e-04
China,Ziya He-Interior-water withdrawals,1975,1e-04
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,1975,1e-04
EU-12,Baltic Sea Coast-water withdrawals,1975,1e-04
EU-12,Danube-water withdrawals,1975,1e-04
EU-12,Daugava-water withdrawals,1975,1e-04
EU-12,Denmark-Germany Coast-water withdrawals,1975,1e-04
EU-12,Dniester-water withdrawals,1975,1e-04
EU-12,Elbe-water withdrawals,1975,1e-04
EU-12,Narva-water withdrawals,1975,1e-04
EU-12,Neman-water withdrawals,1975,1e-04
EU-12,Oder-water withdrawals,1975,1e-04
EU-12,Poland Coast-water withdrawals,1975,1e-04
EU-12,Wisla-water withdrawals,1975,1e-04
EU-15,Arctic Ocean Islands-water withdrawals,1975,1e-04
EU-15,Douro-water withdrawals,1975,1e-04
EU-15,Ebro-water withdrawals,1975,1e-04
EU-15,Ems-Weser-water withdrawals,1975,1e-04
EU-15,England and Wales-water withdrawals,1975,1e-04
EU-15,Finland-water withdrawals,1975,1e-04
EU-15,France-South Coast-water withdrawals,1975,1e-04
EU-15,France-West Coast-water withdrawals,1975,1e-04
EU-15,Gironde-water withdrawals,1975,1e-04
