INPUT_TABLE
Variable ID
DepRsrcCurves

region,depresource,subresource,grade,available,extractioncost
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade2,0,10
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade2,0,10
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade2,0,10
Africa_Eastern,Congo-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Eastern,Congo-water withdrawals,groundwater,grade2,0,10
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade2,0,10
Africa_Eastern,Madasgacar-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Eastern,Madasgacar-water withdrawals,groundwater,grade2,0,10
Africa_Eastern,Nile-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Eastern,Nile-water withdrawals,groundwater,grade2,0,10
Africa_Eastern,Rift Valley-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Eastern,Rift Valley-water withdrawals,groundwater,grade2,0,10
Africa_Eastern,Shebelli-Juba-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Eastern,Shebelli-Juba-water withdrawals,groundwater,grade2,0,10
Africa_Northern,Africa-North West Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Northern,Africa-North West Coast-water withdrawals,groundwater,grade2,0,10
Africa_Northern,Dead Sea-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Northern,Dead Sea-water withdrawals,groundwater,grade2,0,10
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,groundwater,grade2,0,10
Africa_Northern,Mediterranean South Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Northern,Mediterranean South Coast-water withdrawals,groundwater,grade2,0,10
Africa_Northern,Niger-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Northern,Niger-water withdrawals,groundwater,grade2,0,10
Africa_Northern,Sinai Peninsula-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Northern,Sinai Peninsula-water withdrawals,groundwater,grade2,0,10
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,groundwater,grade2,0,10
Africa_Southern,Africa-South Interior-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Southern,Africa-South Interior-water withdrawals,groundwater,grade2,0,10
Africa_Southern,Angola-Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Southern,Angola-Coast-water withdrawals,groundwater,grade2,0,10
Africa_Southern,Gulf of Guinea-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Southern,Gulf of Guinea-water withdrawals,groundwater,grade2,0,10
Africa_Southern,Limpopo-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Southern,Limpopo-water withdrawals,groundwater,grade2,0,10
Africa_Southern,Namibia-Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Southern,Namibia-Coast-water withdrawals,groundwater,grade2,0,10
Africa_Southern,Orange-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Southern,Orange-water withdrawals,groundwater,grade2,0,10
Africa_Southern,South Africa-South Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Southern,South Africa-South Coast-water withdrawals,groundwater,grade2,0,10
Africa_Southern,Zambezi-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Southern,Zambezi-water withdrawals,groundwater,grade2,0,10
Africa_Western,Africa-West Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Western,Africa-West Coast-water withdrawals,groundwater,grade2,0,10
Africa_Western,Senegal-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Western,Senegal-water withdrawals,groundwater,grade2,0,10
Africa_Western,Volta-water withdrawals,groundwater,grade1,1e+07,0.01
Africa_Western,Volta-water withdrawals,groundwater,grade2,0,10
Argentina,Central Patagonia Highlands-water withdrawals,groundwater,grade1,1e+07,0.01
Argentina,Central Patagonia Highlands-water withdrawals,groundwater,grade2,0,10
Argentina,Mar Chiquita-water withdrawals,groundwater,grade1,1e+07,0.01
Argentina,Mar Chiquita-water withdrawals,groundwater,grade2,0,10
Argentina,North Argentina-South Atlantic Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Argentina,North Argentina-South Atlantic Coast-water withdrawals,groundwater,grade2,0,10
Argentina,Pampas Region-water withdrawals,groundwater,grade1,1e+07,0.01
Argentina,Pampas Region-water withdrawals,groundwater,grade2,0,10
Australia_NZ,Australia-East Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Australia_NZ,Australia-East Coast-water withdrawals,groundwater,grade2,0,10
Australia_NZ,Australia-Interior-water withdrawals,groundwater,grade1,1e+07,0.01
Australia_NZ,Australia-Interior-water withdrawals,groundwater,grade2,0,10
Australia_NZ,Australia-North Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Australia_NZ,Australia-North Coast-water withdrawals,groundwater,grade2,0,10
Australia_NZ,Australia-South Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Australia_NZ,Australia-South Coast-water withdrawals,groundwater,grade2,0,10
Australia_NZ,Australia-West Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Australia_NZ,Australia-West Coast-water withdrawals,groundwater,grade2,0,10
Australia_NZ,Murray-Darling-water withdrawals,groundwater,grade1,1e+07,0.01
Australia_NZ,Murray-Darling-water withdrawals,groundwater,grade2,0,10
Australia_NZ,New Zealand-water withdrawals,groundwater,grade1,1e+07,0.01
Australia_NZ,New Zealand-water withdrawals,groundwater,grade2,0,10
Australia_NZ,Tasmania-water withdrawals,groundwater,grade1,1e+07,0.01
Australia_NZ,Tasmania-water withdrawals,groundwater,grade2,0,10
Brazil,Amazon-water withdrawals,groundwater,grade1,1e+07,0.01
Brazil,Amazon-water withdrawals,groundwater,grade2,0,10
Brazil,East Brazil-South Atlantic Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Brazil,East Brazil-South Atlantic Coast-water withdrawals,groundwater,grade2,0,10
Brazil,La Plata-water withdrawals,groundwater,grade1,1e+07,0.01
Brazil,La Plata-water withdrawals,groundwater,grade2,0,10
Brazil,North Brazil-South Atlantic Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Brazil,North Brazil-South Atlantic Coast-water withdrawals,groundwater,grade2,0,10
Brazil,Northeast South America-South Atlantic Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Brazil,Northeast South America-South Atlantic Coast-water withdrawals,groundwater,grade2,0,10
Brazil,Orinoco-water withdrawals,groundwater,grade1,1e+07,0.01
Brazil,Orinoco-water withdrawals,groundwater,grade2,0,10
Brazil,Parnaiba-water withdrawals,groundwater,grade1,1e+07,0.01
Brazil,Parnaiba-water withdrawals,groundwater,grade2,0,10
Brazil,Sao Francisco-water withdrawals,groundwater,grade1,1e+07,0.01
Brazil,Sao Francisco-water withdrawals,groundwater,grade2,0,10
Brazil,Tocantins-water withdrawals,groundwater,grade1,1e+07,0.01
Brazil,Tocantins-water withdrawals,groundwater,grade2,0,10
Brazil,Uruguay-Brazil-South Atlantic Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Brazil,Uruguay-Brazil-South Atlantic Coast-water withdrawals,groundwater,grade2,0,10
Canada,Atlantic Ocean Seaboard-water withdrawals,groundwater,grade1,1e+07,0.01
Canada,Atlantic Ocean Seaboard-water withdrawals,groundwater,grade2,0,10
Canada,Churchill-water withdrawals,groundwater,grade1,1e+07,0.01
Canada,Churchill-water withdrawals,groundwater,grade2,0,10
Canada,Hudson Bay Coast-water withdrawals,groundwater,grade1,1e+07,0.01
Canada,Hudson Bay Coast-water withdrawals,groundwater,grade2,0,10
