INPUT_TABLE
Variable ID
RenewRsrcCurves

region,renewresource,sub.renewable.resource,grade,available,extractioncost
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade2,0.744,0.001
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade3,1,10
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade2,0.219,0.001
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade3,1,10
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade2,0.109,0.001
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade3,1,10
Africa_Eastern,Congo-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Congo-water withdrawals,runoff,grade2,0.695,0.001
Africa_Eastern,Congo-water withdrawals,runoff,grade3,1,10
Africa_Eastern,Lake Chad-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Lake Chad-water withdrawals,runoff,grade2,0.988,0.001
Africa_Eastern,Lake Chad-water withdrawals,runoff,grade3,1,10
Africa_Eastern,Madasgacar-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Madasgacar-water withdrawals,runoff,grade2,0.291,0.001
Africa_Eastern,Madasgacar-water withdrawals,runoff,grade3,1,10
Africa_Eastern,Nile-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Nile-water withdrawals,runoff,grade2,0.995,0.001
Africa_Eastern,Nile-water withdrawals,runoff,grade3,1,10
Africa_Eastern,Rift Valley-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Rift Valley-water withdrawals,runoff,grade2,0.542,0.001
Africa_Eastern,Rift Valley-water withdrawals,runoff,grade3,1,10
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,grade2,0.361,0.001
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,grade3,1,10
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade2,0.422,0.001
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade3,1,10
Africa_Northern,Dead Sea-water withdrawals,runoff,grade1,0,1e-05
Africa_Northern,Dead Sea-water withdrawals,runoff,grade2,0.99,0.001
Africa_Northern,Dead Sea-water withdrawals,runoff,grade3,1,10
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,grade2,0.42,0.001
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,grade3,1,10
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,grade2,0.99,0.001
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,grade3,1,10
Africa_Northern,Niger-water withdrawals,runoff,grade1,0,1e-05
Africa_Northern,Niger-water withdrawals,runoff,grade2,0.995,0.001
Africa_Northern,Niger-water withdrawals,runoff,grade3,1,10
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,grade1,0,1e-05
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,grade2,0.99,0.001
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,grade3,1,10
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade2,0.479,0.001
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,runoff,grade3,1,10
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade2,0.995,0.001
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade3,1,10
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade2,0.964,0.001
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade3,1,10
Africa_Southern,Gulf of Guinea-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Gulf of Guinea-water withdrawals,runoff,grade2,0.266,0.001
Africa_Southern,Gulf of Guinea-water withdrawals,runoff,grade3,1,10
Africa_Southern,Limpopo-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Limpopo-water withdrawals,runoff,grade2,0.784,0.001
Africa_Southern,Limpopo-water withdrawals,runoff,grade3,1,10
Africa_Southern,Namibia-Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Namibia-Coast-water withdrawals,runoff,grade2,0.092,0.001
Africa_Southern,Namibia-Coast-water withdrawals,runoff,grade3,1,10
Africa_Southern,Orange-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Orange-water withdrawals,runoff,grade2,0.623,0.001
Africa_Southern,Orange-water withdrawals,runoff,grade3,1,10
Africa_Southern,South Africa-South Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,South Africa-South Coast-water withdrawals,runoff,grade2,0.358,0.001
Africa_Southern,South Africa-South Coast-water withdrawals,runoff,grade3,1,10
Africa_Southern,Zambezi-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Zambezi-water withdrawals,runoff,grade2,0.995,0.001
Africa_Southern,Zambezi-water withdrawals,runoff,grade3,1,10
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade2,0.555,0.001
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade3,1,10
Africa_Western,Senegal-water withdrawals,runoff,grade1,0,1e-05
Africa_Western,Senegal-water withdrawals,runoff,grade2,0.995,0.001
Africa_Western,Senegal-water withdrawals,runoff,grade3,1,10
Africa_Western,Volta-water withdrawals,runoff,grade1,0,1e-05
Africa_Western,Volta-water withdrawals,runoff,grade2,0.995,0.001
Africa_Western,Volta-water withdrawals,runoff,grade3,1,10
Argentina,Central Patagonia Highlands-water withdrawals,runoff,grade1,0,1e-05
Argentina,Central Patagonia Highlands-water withdrawals,runoff,grade2,0.132,0.001
Argentina,Central Patagonia Highlands-water withdrawals,runoff,grade3,1,10
Argentina,Mar Chiquita-water withdrawals,runoff,grade1,0,1e-05
Argentina,Mar Chiquita-water withdrawals,runoff,grade2,0.434,0.001
Argentina,Mar Chiquita-water withdrawals,runoff,grade3,1,10
Argentina,North Argentina-South Atlantic Coast-water withdrawals,runoff,grade1,0,1e-05
Argentina,North Argentina-South Atlantic Coast-water withdrawals,runoff,grade2,0.156,0.001
Argentina,North Argentina-South Atlantic Coast-water withdrawals,runoff,grade3,1,10
Argentina,Pampas Region-water withdrawals,runoff,grade1,0,1e-05
Argentina,Pampas Region-water withdrawals,runoff,grade2,0.178,0.001
Argentina,Pampas Region-water withdrawals,runoff,grade3,1,10
Australia_NZ,Australia-East Coast-water withdrawals,runoff,grade1,0,1e-05
Australia_NZ,Australia-East Coast-water withdrawals,runoff,grade2,0.33,0.001
Australia_NZ,Australia-East Coast-water withdrawals,runoff,grade3,1,10
Australia_NZ,Australia-Interior-water withdrawals,runoff,grade1,0,1e-05
