INPUT_TABLE
Variable ID
GrdRenewRsrcMaxNoFO

region,renewresource,sub.renewable.resource,year.fillout,maxSubResource
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,1975,249.61744003735
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,1990,249.61744003735
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2005,249.61744003735
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2010,249.61744003735
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2015,249.670530702365
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2020,252.653767661279
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2025,257.995519862049
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2030,263.751680120481
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2035,267.404201248219
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2040,269.585242034518
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2045,271.443012100912
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2050,273.18623237057
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2055,275.126735429214
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2060,277.099626763032
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2065,278.241600133264
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2070,277.93207335602
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2075,276.723155825161
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2080,274.707245299598
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2085,271.879895981121
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2090,268.191684472944
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2095,263.650907850802
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2100,259.420458869742
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,1975,37.467778704885
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,1990,37.467778704885
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2005,37.467778704885
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2010,37.467778704885
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2015,55.2805992950958
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2020,60.0874049874376
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2025,65.1850082130353
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2030,70.4005777561108
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2035,75.2738072993588
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2040,79.8489834702675
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2045,84.0458523792919
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2050,87.5735271222165
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2055,90.3511131010993
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2060,92.7876735071452
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2065,95.0963015552321
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2070,97.4143509888311
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2075,99.5304145950804
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2080,101.290624298562
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2085,102.574633950379
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2090,103.428410730347
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2095,103.913075914598
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2100,104.063221988577
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,1975,35.37027123331
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,1990,35.37027123331
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2005,35.37027123331
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2010,35.37027123331
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2015,50.1166900463177
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2020,52.605893188028
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2025,54.8497140772065
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2030,56.8197163401624
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2035,58.2470086006411
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2040,58.3442167251721
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2045,57.6290856247929
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2050,57.1775040669379
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2055,57.6457718124775
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2060,58.452274647251
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2065,59.1896029803754
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2070,59.6005270141378
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2075,59.9700614266844
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2080,60.2545312157872
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2085,60.3654524793997
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2090,60.3113447073003
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2095,60.1312230981727
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2100,59.9175270887249
Africa_Eastern,Congo-water withdrawals,runoff,1975,1161.41947155452
Africa_Eastern,Congo-water withdrawals,runoff,1990,1161.41947155452
Africa_Eastern,Congo-water withdrawals,runoff,2005,1161.41947155452
Africa_Eastern,Congo-water withdrawals,runoff,2010,1161.41947155452
Africa_Eastern,Congo-water withdrawals,runoff,2015,1135.82363923749
Africa_Eastern,Congo-water withdrawals,runoff,2020,1124.68652075614
Africa_Eastern,Congo-water withdrawals,runoff,2025,1108.9814573865
Africa_Eastern,Congo-water withdrawals,runoff,2030,1092.86739929443
Africa_Eastern,Congo-water withdrawals,runoff,2035,1082.64880686511
Africa_Eastern,Congo-water withdrawals,runoff,2040,1080.53773536976
Africa_Eastern,Congo-water withdrawals,runoff,2045,1082.09045585532
Africa_Eastern,Congo-water withdrawals,runoff,2050,1082.34623397694
Africa_Eastern,Congo-water withdrawals,runoff,2055,1080.01939203385
Africa_Eastern,Congo-water withdrawals,runoff,2060,1078.25477251771
Africa_Eastern,Congo-water withdrawals,runoff,2065,1073.28849389801
Africa_Eastern,Congo-water withdrawals,runoff,2070,1062.58977256721
Africa_Eastern,Congo-water withdrawals,runoff,2075,1049.45614300569
Africa_Eastern,Congo-water withdrawals,runoff,2080,1033.50794769564
Africa_Eastern,Congo-water withdrawals,runoff,2085,1013.8676095122
Africa_Eastern,Congo-water withdrawals,runoff,2090,990.623351494583
Africa_Eastern,Congo-water withdrawals,runoff,2095,964.142412434919
Africa_Eastern,Congo-water withdrawals,runoff,2100,940.820618734304
Africa_Eastern,Lake Chad-water withdrawals,runoff,1975,111.69448574266
Africa_Eastern,Lake Chad-water withdrawals,runoff,1990,111.69448574266
Africa_Eastern,Lake Chad-water withdrawals,runoff,2005,111.69448574266
Africa_Eastern,Lake Chad-water withdrawals,runoff,2010,111.69448574266
Africa_Eastern,Lake Chad-water withdrawals,runoff,2015,153.689225496034
Africa_Eastern,Lake Chad-water withdrawals,runoff,2020,163.506337919412
Africa_Eastern,Lake Chad-water withdrawals,runoff,2025,173.522911950103
Africa_Eastern,Lake Chad-water withdrawals,runoff,2030,183.219967148769
Africa_Eastern,Lake Chad-water withdrawals,runoff,2035,191.24369840968
Africa_Eastern,Lake Chad-water withdrawals,runoff,2040,196.189929604895
Africa_Eastern,Lake Chad-water withdrawals,runoff,2045,199.29255189975
Africa_Eastern,Lake Chad-water withdrawals,runoff,2050,202.56867365805
Africa_Eastern,Lake Chad-water withdrawals,runoff,2055,207.476774322039
Africa_Eastern,Lake Chad-water withdrawals,runoff,2060,213.107953174192
Africa_Eastern,Lake Chad-water withdrawals,runoff,2065,218.181420287238
Africa_Eastern,Lake Chad-water withdrawals,runoff,2070,221.852908417448
Africa_Eastern,Lake Chad-water withdrawals,runoff,2075,224.983631153485
Africa_Eastern,Lake Chad-water withdrawals,runoff,2080,227.37893987112
Africa_Eastern,Lake Chad-water withdrawals,runoff,2085,228.701490116875
Africa_Eastern,Lake Chad-water withdrawals,runoff,2090,228.951767212429
Africa_Eastern,Lake Chad-water withdrawals,runoff,2095,228.285833189041
Africa_Eastern,Lake Chad-water withdrawals,runoff,2100,227.186126044508
Africa_Eastern,Madasgacar-water withdrawals,runoff,1975,503.3305726687
Africa_Eastern,Madasgacar-water withdrawals,runoff,1990,503.3305726687
Africa_Eastern,Madasgacar-water withdrawals,runoff,2005,503.3305726687
Africa_Eastern,Madasgacar-water withdrawals,runoff,2010,503.3305726687
Africa_Eastern,Madasgacar-water withdrawals,runoff,2015,516.227532074705
Africa_Eastern,Madasgacar-water withdrawals,runoff,2020,523.117011414614
Africa_Eastern,Madasgacar-water withdrawals,runoff,2025,533.183315914792
Africa_Eastern,Madasgacar-water withdrawals,runoff,2030,543.485536840974
Africa_Eastern,Madasgacar-water withdrawals,runoff,2035,549.903513854215
Africa_Eastern,Madasgacar-water withdrawals,runoff,2040,553.589641632323
Africa_Eastern,Madasgacar-water withdrawals,runoff,2045,556.11532353967
Africa_Eastern,Madasgacar-water withdrawals,runoff,2050,557.350428828906
Africa_Eastern,Madasgacar-water withdrawals,runoff,2055,556.599878632479
Africa_Eastern,Madasgacar-water withdrawals,runoff,2060,553.837561237559
Africa_Eastern,Madasgacar-water withdrawals,runoff,2065,551.232783001415
Africa_Eastern,Madasgacar-water withdrawals,runoff,2070,550.176617912111
Africa_Eastern,Madasgacar-water withdrawals,runoff,2075,548.766162169702
Africa_Eastern,Madasgacar-water withdrawals,runoff,2080,547.223870947656
Africa_Eastern,Madasgacar-water withdrawals,runoff,2085,546.056929844906
Africa_Eastern,Madasgacar-water withdrawals,runoff,2090,545.217604549327
Africa_Eastern,Madasgacar-water withdrawals,runoff,2095,544.497188840371
Africa_Eastern,Madasgacar-water withdrawals,runoff,2100,543.896838153312
Africa_Eastern,Nile-water withdrawals,runoff,1975,208.3323040479
Africa_Eastern,Nile-water withdrawals,runoff,1990,208.3323040479
Africa_Eastern,Nile-water withdrawals,runoff,2005,208.3323040479
Africa_Eastern,Nile-water withdrawals,runoff,2010,208.3323040479
Africa_Eastern,Nile-water withdrawals,runoff,2015,207.896730469068
Africa_Eastern,Nile-water withdrawals,runoff,2020,207.855165170496
Africa_Eastern,Nile-water withdrawals,runoff,2025,207.582332461958
Africa_Eastern,Nile-water withdrawals,runoff,2030,207.241060709292
Africa_Eastern,Nile-water withdrawals,runoff,2035,206.97804273728
Africa_Eastern,Nile-water withdrawals,runoff,2040,206.498866260943
Africa_Eastern,Nile-water withdrawals,runoff,2045,205.847805124579
Africa_Eastern,Nile-water withdrawals,runoff,2050,205.319977017444
Africa_Eastern,Nile-water withdrawals,runoff,2055,205.140149984481
Africa_Eastern,Nile-water withdrawals,runoff,2060,205.181189172366
Africa_Eastern,Nile-water withdrawals,runoff,2065,205.223984506767
Africa_Eastern,Nile-water withdrawals,runoff,2070,205.130260422164
Africa_Eastern,Nile-water withdrawals,runoff,2075,205.072789080374
Africa_Eastern,Nile-water withdrawals,runoff,2080,205.011726761309
Africa_Eastern,Nile-water withdrawals,runoff,2085,204.879266807928
Africa_Eastern,Nile-water withdrawals,runoff,2090,204.669509204932
Africa_Eastern,Nile-water withdrawals,runoff,2095,204.411422667281
Africa_Eastern,Nile-water withdrawals,runoff,2100,204.188110497854
Africa_Eastern,Rift Valley-water withdrawals,runoff,1975,116.089179228997
Africa_Eastern,Rift Valley-water withdrawals,runoff,1990,116.089179228997
Africa_Eastern,Rift Valley-water withdrawals,runoff,2005,116.089179228997
Africa_Eastern,Rift Valley-water withdrawals,runoff,2010,116.089179228997
Africa_Eastern,Rift Valley-water withdrawals,runoff,2015,116.836733717102
Africa_Eastern,Rift Valley-water withdrawals,runoff,2020,118.600169029585
Africa_Eastern,Rift Valley-water withdrawals,runoff,2025,121.500954079971
Africa_Eastern,Rift Valley-water withdrawals,runoff,2030,124.666966142189
Africa_Eastern,Rift Valley-water withdrawals,runoff,2035,126.912155358847
Africa_Eastern,Rift Valley-water withdrawals,runoff,2040,128.709138332989
Africa_Eastern,Rift Valley-water withdrawals,runoff,2045,130.253666320721
Africa_Eastern,Rift Valley-water withdrawals,runoff,2050,131.087578830495
Africa_Eastern,Rift Valley-water withdrawals,runoff,2055,130.808368260069
Africa_Eastern,Rift Valley-water withdrawals,runoff,2060,129.76230943619
Africa_Eastern,Rift Valley-water withdrawals,runoff,2065,128.763337875141
Africa_Eastern,Rift Valley-water withdrawals,runoff,2070,128.342060028944
Africa_Eastern,Rift Valley-water withdrawals,runoff,2075,127.832206483955
Africa_Eastern,Rift Valley-water withdrawals,runoff,2080,127.240803669032
Africa_Eastern,Rift Valley-water withdrawals,runoff,2085,126.67906891061
Africa_Eastern,Rift Valley-water withdrawals,runoff,2090,126.163068437138
Africa_Eastern,Rift Valley-water withdrawals,runoff,2095,125.64800857467
Africa_Eastern,Rift Valley-water withdrawals,runoff,2100,125.208044676732
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,1975,110.789236290782
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,1990,110.789236290782
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2005,110.789236290782
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2010,110.789236290782
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2015,129.840701763297
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2020,135.613934566654
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2025,142.923926254882
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2030,150.152960350853
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2035,154.776007132296
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2040,156.490909953567
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2045,156.590845301164
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2050,156.063461097146
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2055,155.243321106588
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2060,153.568161623033
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2065,151.611529998162
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2070,149.773194930798
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2075,147.573275877094
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2080,145.027928208744
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2085,142.225637741007
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2090,139.147303556625
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2095,135.756110226582
Africa_Eastern,Shebelli-Juba-water withdrawals,runoff,2100,132.800611307836
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,1975,46.2818108690325
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,1990,46.2818108690325
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2005,46.2818108690325
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2010,46.2818108690325
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2015,49.0534641201952
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2020,49.9801292270499
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2025,51.132227515425
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2030,52.3532250907779
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2035,53.4160167090704
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2040,54.35437356829
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2045,55.24562918281
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2050,56.0895556826281
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2055,56.828075908129
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2060,57.4586586253824
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2065,58.1927024651311
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2070,59.1739502432291
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2075,60.2393218882284
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2080,61.389099688247
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2085,62.6497250486205
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2090,64.0258892942647
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2095,65.5066777089845
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,2100,66.7594572479314
Africa_Northern,Dead Sea-water withdrawals,runoff,1975,5.663004454171
Africa_Northern,Dead Sea-water withdrawals,runoff,1990,5.663004454171
Africa_Northern,Dead Sea-water withdrawals,runoff,2005,5.663004454171
Africa_Northern,Dead Sea-water withdrawals,runoff,2010,5.663004454171
Africa_Northern,Dead Sea-water withdrawals,runoff,2015,5.36919855281326
Africa_Northern,Dead Sea-water withdrawals,runoff,2020,5.31975311109233
Africa_Northern,Dead Sea-water withdrawals,runoff,2025,5.2566181063811
Africa_Northern,Dead Sea-water withdrawals,runoff,2030,5.19961248072353
Africa_Northern,Dead Sea-water withdrawals,runoff,2035,5.17720338168004
Africa_Northern,Dead Sea-water withdrawals,runoff,2040,5.20079193999981
Africa_Northern,Dead Sea-water withdrawals,runoff,2045,5.24449783705775
Africa_Northern,Dead Sea-water withdrawals,runoff,2050,5.27751955382009
Africa_Northern,Dead Sea-water withdrawals,runoff,2055,5.29009463412164
Africa_Northern,Dead Sea-water withdrawals,runoff,2060,5.30433906679141
Africa_Northern,Dead Sea-water withdrawals,runoff,2065,5.30828654167846
Africa_Northern,Dead Sea-water withdrawals,runoff,2070,5.2938653257867
Africa_Northern,Dead Sea-water withdrawals,runoff,2075,5.27227171874753
Africa_Northern,Dead Sea-water withdrawals,runoff,2080,5.24042175607996
Africa_Northern,Dead Sea-water withdrawals,runoff,2085,5.1934894811377
Africa_Northern,Dead Sea-water withdrawals,runoff,2090,5.13144186544667
Africa_Northern,Dead Sea-water withdrawals,runoff,2095,5.05634193891929
Africa_Northern,Dead Sea-water withdrawals,runoff,2100,4.98806564065844
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,1975,69.5147043084625
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,1990,69.5147043084625
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2005,69.5147043084625
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2010,69.5147043084625
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2015,62.5553598798796
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2020,61.3239135268153
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2025,59.8130993535081
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2030,58.4743709972202
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2035,58.0145205528801
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2040,58.906415106047
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2045,60.4202031896368
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2050,61.5577860118236
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2055,61.8040478762582
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2060,61.8002860361028
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2065,61.7618383673757
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2070,61.839497668851
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2075,61.9447929145117
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2080,62.0064081175245
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2085,61.9703706859105
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2090,61.850554476478
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2095,61.66964239049
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,runoff,2100,61.4912000080426
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,1975,58.0956700052525
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,1990,58.0956700052525
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2005,58.0956700052525
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2010,58.0956700052525
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2015,58.429540426172
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2020,59.0101202100405
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2025,59.9616894734725
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2030,61.0208897023694
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2035,61.8376104532868
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2040,62.5268840825594
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2045,63.1845574905513
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2050,63.740069134561
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2055,64.1214136608087
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2060,64.363631979591
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2065,64.5958064666646
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2070,64.9033707048324
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2075,65.1887930661099
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2080,65.4651013627428
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2085,65.7605990939709
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2090,66.0730945836484
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2095,66.3901390255672
Africa_Northern,Mediterranean South Coast-water withdrawals,runoff,2100,66.640208035581
Africa_Northern,Niger-water withdrawals,runoff,1975,344.291567778725
Africa_Northern,Niger-water withdrawals,runoff,1990,344.291567778725
Africa_Northern,Niger-water withdrawals,runoff,2005,344.291567778725
Africa_Northern,Niger-water withdrawals,runoff,2010,344.291567778725
Africa_Northern,Niger-water withdrawals,runoff,2015,408.151854887495
Africa_Northern,Niger-water withdrawals,runoff,2020,425.904301924741
Africa_Northern,Niger-water withdrawals,runoff,2025,446.158720531058
Africa_Northern,Niger-water withdrawals,runoff,2030,466.750139578109
Africa_Northern,Niger-water withdrawals,runoff,2035,484.12780709176
Africa_Northern,Niger-water withdrawals,runoff,2040,498.956391776915
Africa_Northern,Niger-water withdrawals,runoff,2045,512.191934674306
Africa_Northern,Niger-water withdrawals,runoff,2050,523.417431974442
Africa_Northern,Niger-water withdrawals,runoff,2055,532.713747564371
Africa_Northern,Niger-water withdrawals,runoff,2060,540.714719685409
Africa_Northern,Niger-water withdrawals,runoff,2065,547.078590877349
Africa_Northern,Niger-water withdrawals,runoff,2070,551.555630780366
Africa_Northern,Niger-water withdrawals,runoff,2075,554.307801386473
Africa_Northern,Niger-water withdrawals,runoff,2080,555.084419674923
Africa_Northern,Niger-water withdrawals,runoff,2085,553.606412223142
Africa_Northern,Niger-water withdrawals,runoff,2090,549.929763628923
Africa_Northern,Niger-water withdrawals,runoff,2095,544.191586944641
Africa_Northern,Niger-water withdrawals,runoff,2100,538.188591092932
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,1975,0.16283091298734
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,1990,0.16283091298734
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,2005,0.16283091298734
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,2010,0.16283091298734
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,2015,0.115867899251067
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,2020,0.110427513709886
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,2025,0.104852994454523
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,2030,0.101600623086185
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,2035,0.104599058683766
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,2040,0.118204159248807
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,2045,0.136800926964675
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,2050,0.151732223957659
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,2055,0.160246483331897
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,2060,0.168305540424009
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,2065,0.172107420079852
Africa_Northern,Sinai Peninsula-water withdrawals,runoff,2070,0.169037798410708
