INPUT_TABLE
Variable ID
DepRsrcCurves

region,depresource,subresource,grade,available,extractioncost
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade hist,0,0.0305
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade1,100,0.0405
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade2,1220,0.04275
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade3,912,0.045
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade4,342,0.04725
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade5,0,10
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade hist,0,0.04175
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade1,2140,0.05175
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade2,9890,0.054
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade3,8940,0.05625
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade4,934,0.063
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade5,5290,0.06525
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade6,0,10
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade hist,0,0.008
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade1,0.0193218467,0.018
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade2,0.08888999977,0.02025
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade3,0.2904758419,0.0225
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade4,0.1071334338,0.02475
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade5,315,0.05625
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade6,1050,0.0585
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade7,945,0.06075
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade8,501,0.06525
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade9,167,0.0675
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade10,0,10
Africa_Eastern,Congo-water withdrawals,groundwater,grade hist,0,0.026
Africa_Eastern,Congo-water withdrawals,groundwater,grade1,2490,0.036
Africa_Eastern,Congo-water withdrawals,groundwater,grade2,4950,0.03825
Africa_Eastern,Congo-water withdrawals,groundwater,grade3,3860,0.0405
Africa_Eastern,Congo-water withdrawals,groundwater,grade4,0,10
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade hist,0,0.02825
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade1,3650,0.03825
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade2,5330,0.0405
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade3,288,0.04275
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade4,2590,0.045
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade5,0,10
Africa_Eastern,Madasgacar-water withdrawals,groundwater,grade hist,0,0.0845
Africa_Eastern,Madasgacar-water withdrawals,groundwater,grade1,50.704,0.0945
Africa_Eastern,Madasgacar-water withdrawals,groundwater,grade2,287,0.09675
