INPUT_TABLE
Variable ID
UnlimitRsrcPrice

region,unlimited.resource,year,price
EU-15,Arctic Ocean Islands-water consumption,1990,0
EU-15,Arctic Ocean Islands-water consumption,2055,0
EU-15,Arctic Ocean Islands-water consumption,2080,0
EU-15,Arctic Ocean Islands-water consumption,2030,0
EU-15,Arctic Ocean Islands-water consumption,2095,0
EU-15,Arctic Ocean Islands-water withdrawals,2020,0.001
EU-15,Arctic Ocean Islands-water withdrawals,2045,0.001
EU-15,Arctic Ocean Islands-water withdrawals,2055,0.001
EU-15,Arctic Ocean Islands-water withdrawals,2100,0.001
EU-15,Arctic Ocean Islands-water consumption,2090,0
EU-15,Arctic Ocean Islands-water withdrawals,2040,0.001
EU-15,Arctic Ocean Islands-water consumption,2005,0
EU-15,Arctic Ocean Islands-water withdrawals,2065,0.001
EU-15,Arctic Ocean Islands-water consumption,2045,0
EU-15,Arctic Ocean Islands-water withdrawals,2010,0.001
EU-15,Arctic Ocean Islands-water withdrawals,2005,0.001
EU-15,Arctic Ocean Islands-water consumption,2020,0
EU-15,Arctic Ocean Islands-water consumption,2075,0
EU-15,Arctic Ocean Islands-water consumption,2015,0
EU-15,Arctic Ocean Islands-water withdrawals,1990,0.001
EU-15,Arctic Ocean Islands-water withdrawals,1975,0.001
EU-15,Arctic Ocean Islands-water consumption,2010,0
EU-15,Arctic Ocean Islands-water withdrawals,2075,0.001
EU-15,Arctic Ocean Islands-water consumption,2060,0
EU-15,Arctic Ocean Islands-water consumption,2085,0
EU-15,Arctic Ocean Islands-water consumption,2050,0
EU-15,Arctic Ocean Islands-water withdrawals,2070,0.001
EU-15,Arctic Ocean Islands-water consumption,1975,0
EU-15,Arctic Ocean Islands-water withdrawals,2090,0.001
EU-15,Arctic Ocean Islands-water consumption,2035,0
EU-15,Arctic Ocean Islands-water consumption,2100,0
EU-15,Arctic Ocean Islands-water withdrawals,2030,0.001
EU-15,Arctic Ocean Islands-water withdrawals,2085,0.001
EU-15,Arctic Ocean Islands-water withdrawals,2095,0.001
EU-15,Arctic Ocean Islands-water withdrawals,2025,0.001
EU-15,Arctic Ocean Islands-water withdrawals,2080,0.001
EU-15,Arctic Ocean Islands-water withdrawals,2050,0.001
EU-15,Arctic Ocean Islands-water consumption,2070,0
EU-15,Arctic Ocean Islands-water consumption,2065,0
EU-15,Arctic Ocean Islands-water withdrawals,2035,0.001
EU-15,Arctic Ocean Islands-water withdrawals,2060,0.001
EU-15,Arctic Ocean Islands-water consumption,2040,0
EU-15,Arctic Ocean Islands-water withdrawals,2015,0.001
EU-15,Arctic Ocean Islands-water consumption,2025,0
Canada,Northwest Territories-water consumption,2090,0
Canada,Northwest Territories-water consumption,2080,0
Canada,Northwest Territories-water withdrawals,2090,0.001
Canada,Northwest Territories-water withdrawals,2085,0.001
Canada,Northwest Territories-water withdrawals,2005,0.001
Canada,Northwest Territories-water consumption,2030,0
Canada,Northwest Territories-water consumption,2070,0
Canada,Northwest Territories-water consumption,2035,0
Canada,Northwest Territories-water withdrawals,2020,0.001
Canada,Northwest Territories-water withdrawals,2055,0.001
Canada,Northwest Territories-water withdrawals,2070,0.001
Canada,Northwest Territories-water withdrawals,2065,0.001
Canada,Northwest Territories-water consumption,2055,0
Canada,Northwest Territories-water consumption,1975,0
Canada,Northwest Territories-water consumption,2015,0
Canada,Northwest Territories-water consumption,2075,0
Canada,Northwest Territories-water consumption,2045,0
Canada,Northwest Territories-water withdrawals,2080,0.001
Canada,Northwest Territories-water consumption,2095,0
Canada,Northwest Territories-water withdrawals,2100,0.001
Canada,Northwest Territories-water withdrawals,2050,0.001
Canada,Northwest Territories-water consumption,2005,0
Canada,Northwest Territories-water withdrawals,2040,0.001
Canada,Northwest Territories-water consumption,2085,0
Canada,Northwest Territories-water consumption,2060,0
Canada,Northwest Territories-water withdrawals,2010,0.001
Canada,Northwest Territories-water withdrawals,2025,0.001
Canada,Northwest Territories-water consumption,2020,0
Canada,Northwest Territories-water consumption,2050,0
Canada,Northwest Territories-water withdrawals,2060,0.001
Canada,Northwest Territories-water withdrawals,2045,0.001
Canada,Northwest Territories-water withdrawals,1975,0.001
Canada,Northwest Territories-water withdrawals,2075,0.001
Canada,Northwest Territories-water consumption,2010,0
Canada,Northwest Territories-water withdrawals,2035,0.001
Canada,Northwest Territories-water consumption,1990,0
Canada,Northwest Territories-water consumption,2100,0
Canada,Northwest Territories-water withdrawals,2095,0.001
Canada,Northwest Territories-water consumption,2040,0
Canada,Northwest Territories-water withdrawals,2030,0.001
Canada,Northwest Territories-water withdrawals,1990,0.001
Canada,Northwest Territories-water consumption,2065,0
Canada,Northwest Territories-water withdrawals,2015,0.001
Canada,Northwest Territories-water consumption,2025,0
Russia,Siberia-North Coast-water withdrawals,2085,0.001
Russia,Siberia-North Coast-water consumption,2080,0
Russia,Siberia-North Coast-water consumption,2095,0
Russia,Siberia-North Coast-water consumption,2090,0
Russia,Siberia-North Coast-water withdrawals,2090,0.001
Russia,Siberia-North Coast-water withdrawals,2040,0.001
Russia,Siberia-North Coast-water consumption,1975,0
Russia,Siberia-North Coast-water withdrawals,2050,0.001
Russia,Siberia-North Coast-water consumption,1990,0
Russia,Siberia-North Coast-water withdrawals,2015,0.001
