INPUT_TABLE
Variable ID
SubsectorLogit_relative-cost-logit

region,supplysector,subsector,logit.type
USA,municipal water,municipal water,relative-cost-logit
Africa_Eastern,municipal water,municipal water,relative-cost-logit
Africa_Northern,municipal water,municipal water,relative-cost-logit
Africa_Southern,municipal water,municipal water,relative-cost-logit
Africa_Western,municipal water,municipal water,relative-cost-logit
Australia_NZ,municipal water,municipal water,relative-cost-logit
Brazil,municipal water,municipal water,relative-cost-logit
Canada,municipal water,municipal water,relative-cost-logit
Central America and Caribbean,municipal water,municipal water,relative-cost-logit
Central Asia,municipal water,municipal water,relative-cost-logit
China,municipal water,municipal water,relative-cost-logit
EU-12,municipal water,municipal water,relative-cost-logit
EU-15,municipal water,municipal water,relative-cost-logit
Europe_Eastern,municipal water,municipal water,relative-cost-logit
Europe_Non_EU,municipal water,municipal water,relative-cost-logit
European Free Trade Association,municipal water,municipal water,relative-cost-logit
India,municipal water,municipal water,relative-cost-logit
Indonesia,municipal water,municipal water,relative-cost-logit
Japan,municipal water,municipal water,relative-cost-logit
Mexico,municipal water,municipal water,relative-cost-logit
Middle East,municipal water,municipal water,relative-cost-logit
Pakistan,municipal water,municipal water,relative-cost-logit
Russia,municipal water,municipal water,relative-cost-logit
South Africa,municipal water,municipal water,relative-cost-logit
South America_Northern,municipal water,municipal water,relative-cost-logit
South America_Southern,municipal water,municipal water,relative-cost-logit
South Asia,municipal water,municipal water,relative-cost-logit
South Korea,municipal water,municipal water,relative-cost-logit
Southeast Asia,municipal water,municipal water,relative-cost-logit
Taiwan,municipal water,municipal water,relative-cost-logit
Argentina,municipal water,municipal water,relative-cost-logit
Colombia,municipal water,municipal water,relative-cost-logit
