INPUT_TABLE
Variable ID
DepRsrcCurves

region,depresource,subresource,grade,available,extractioncost
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade hist,0,0.001
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade1,1512.271349594,0.002
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade2,501.754288383,0.022
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade3,152.999031954,0.044
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade4,89.986762691,0.066
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade5,64.902825761,0.088
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade6,57.01862982,0.11
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade7,23.152251269,0.132
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade8,44.181363616,0.154
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade9,21.781276415,0.176
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade10,19.073064933,0.198
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade11,53.754714819,0.22
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade12,0.543827318,0.44
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade13,25.352984387,0.66
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade14,7.576151947,0.88
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade15,0,1.1
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade16,0,1.32
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade17,0,1.54
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade18,0,1.76
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade19,0,1.98
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade20,0,2.2
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade21,0,4.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade22,0,6.6
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade23,0,8.8
Africa_Eastern,Africa-East Central Coast-water withdrawals,groundwater,grade24,0,20.9
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade hist,43.2253075880532,0.001
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade1,12724.302252,0.002
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade2,5908.0571,0.022
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade3,2811.208,0.044
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade4,1435.9227,0.066
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade5,1016.92604,0.088
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade6,619.98306,0.11
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade7,536.51877,0.132
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade8,269.448733,0.154
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade9,203.00287,0.176
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade10,208.607546,0.198
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade11,803.456189,0.22
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade12,554.32114,0.44
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade13,81.7907797,0.66
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade14,18.975007,0.88
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade15,1.383606,1.1
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade16,0,1.32
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade17,3.089718,1.54
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade18,5.776056,1.76
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade19,0,1.98
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade20,1.707927,2.2
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade21,0,4.4
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade22,0,6.6
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade23,0,8.8
Africa_Eastern,Africa-North Interior-water withdrawals,groundwater,grade24,0,20.9
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade hist,0.0359222136561732,0.001
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade1,2016.517511956,0.002
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade2,374.289868282,0.022
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade3,146.272621275,0.044
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade4,71.531768372,0.066
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade5,17.994279776,0.088
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade6,38.670301332,0.11
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade7,28.36884712,0.132
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade8,14.117596979,0.154
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade9,10.556545584,0.176
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade10,10.15995117,0.198
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade11,9.280216168,0.22
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade12,8.123798292,0.44
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade13,90.911201429,0.66
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade14,119.693429376,0.88
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade15,21.242758695,1.1
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade16,1.427580831,1.32
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade17,0,1.54
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade18,0,1.76
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade19,0,1.98
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade20,0,2.2
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade21,0,4.4
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade22,0,6.6
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade23,0,8.8
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,groundwater,grade24,0,20.9
Africa_Eastern,Congo-water withdrawals,groundwater,grade hist,6.2349083204333,0.001
Africa_Eastern,Congo-water withdrawals,groundwater,grade1,7714.89937,0.002
Africa_Eastern,Congo-water withdrawals,groundwater,grade2,1757.27564,0.022
Africa_Eastern,Congo-water withdrawals,groundwater,grade3,603.33556,0.044
Africa_Eastern,Congo-water withdrawals,groundwater,grade4,278.9832,0.066
Africa_Eastern,Congo-water withdrawals,groundwater,grade5,195.46441,0.088
Africa_Eastern,Congo-water withdrawals,groundwater,grade6,101.492601,0.11
Africa_Eastern,Congo-water withdrawals,groundwater,grade7,67.0897577,0.132
Africa_Eastern,Congo-water withdrawals,groundwater,grade8,54.647695,0.154
Africa_Eastern,Congo-water withdrawals,groundwater,grade9,46.3253296,0.176
Africa_Eastern,Congo-water withdrawals,groundwater,grade10,45.814104,0.198
Africa_Eastern,Congo-water withdrawals,groundwater,grade11,242.95820527,0.22
Africa_Eastern,Congo-water withdrawals,groundwater,grade12,111.735586,0.44
Africa_Eastern,Congo-water withdrawals,groundwater,grade13,66.5151338,0.66
Africa_Eastern,Congo-water withdrawals,groundwater,grade14,17.237365,0.88
Africa_Eastern,Congo-water withdrawals,groundwater,grade15,0,1.1
Africa_Eastern,Congo-water withdrawals,groundwater,grade16,0,1.32
Africa_Eastern,Congo-water withdrawals,groundwater,grade17,0.012229784,1.54
Africa_Eastern,Congo-water withdrawals,groundwater,grade18,0.003576051,1.76
Africa_Eastern,Congo-water withdrawals,groundwater,grade19,0,1.98
Africa_Eastern,Congo-water withdrawals,groundwater,grade20,0,2.2
Africa_Eastern,Congo-water withdrawals,groundwater,grade21,0,4.4
Africa_Eastern,Congo-water withdrawals,groundwater,grade22,0,6.6
Africa_Eastern,Congo-water withdrawals,groundwater,grade23,0,8.8
Africa_Eastern,Congo-water withdrawals,groundwater,grade24,0,20.9
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade hist,0,0.001
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade1,7840.4532756,0.002
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade2,2093.37681,0.022
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade3,708.69466,0.044
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade4,296.54725,0.066
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade5,179.339779,0.088
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade6,79.90398201,0.11
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade7,74.60651267,0.132
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade8,53.395433633,0.154
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade9,43.0362079,0.176
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade10,48.2531428,0.198
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade11,392.6402572,0.22
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade12,46.19138339,0.44
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade13,4.2812248,0.66
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade14,2.759345,0.88
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade15,0,1.1
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade16,0,1.32
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade17,0,1.54
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade18,0,1.76
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade19,0,1.98
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade20,0,2.2
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade21,0,4.4
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade22,0,6.6
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade23,0,8.8
Africa_Eastern,Lake Chad-water withdrawals,groundwater,grade24,0,20.9
Africa_Eastern,Madasgacar-water withdrawals,groundwater,grade hist,9.54897009370291,0.001
Africa_Eastern,Madasgacar-water withdrawals,groundwater,grade1,498.015695029,0.002
Africa_Eastern,Madasgacar-water withdrawals,groundwater,grade2,167.724839743,0.022
Africa_Eastern,Madasgacar-water withdrawals,groundwater,grade3,86.00595485,0.044
Africa_Eastern,Madasgacar-water withdrawals,groundwater,grade4,88.653674942,0.066
Africa_Eastern,Madasgacar-water withdrawals,groundwater,grade5,39.416508409,0.088
