INPUT_TABLE
Variable ID
DeleteUnlimitRsrc

region,unlimited.resource
Africa_Eastern,Africa-East Central Coast-water withdrawals
Africa_Eastern,Africa-North Interior-water withdrawals
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals
Africa_Eastern,Congo-water withdrawals
Africa_Eastern,Lake Chad-water withdrawals
Africa_Eastern,Madasgacar-water withdrawals
Africa_Eastern,Nile-water withdrawals
Africa_Eastern,Rift Valley-water withdrawals
Africa_Eastern,Shebelli-Juba-water withdrawals
Africa_Northern,Africa-North Interior-water withdrawals
Africa_Northern,Africa-North West Coast-water withdrawals
Africa_Northern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals
Africa_Northern,Dead Sea-water withdrawals
Africa_Northern,Lake Chad-water withdrawals
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals
Africa_Northern,Mediterranean South Coast-water withdrawals
Africa_Northern,Niger-water withdrawals
Africa_Northern,Nile-water withdrawals
Africa_Northern,Sinai Peninsula-water withdrawals
Africa_Southern,Africa-East Central Coast-water withdrawals
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals
Africa_Southern,Africa-South Interior-water withdrawals
Africa_Southern,Angola-Coast-water withdrawals
Africa_Southern,Congo-water withdrawals
Africa_Southern,Gulf of Guinea-water withdrawals
Africa_Southern,Limpopo-water withdrawals
Africa_Southern,Namibia-Coast-water withdrawals
Africa_Southern,Nile-water withdrawals
Africa_Southern,Orange-water withdrawals
Africa_Southern,Rift Valley-water withdrawals
Africa_Southern,South Africa-South Coast-water withdrawals
Africa_Southern,Zambezi-water withdrawals
Africa_Western,Africa-North Interior-water withdrawals
Africa_Western,Africa-North West Coast-water withdrawals
Africa_Western,Africa-West Coast-water withdrawals
Africa_Western,Congo-water withdrawals
Africa_Western,Gulf of Guinea-water withdrawals
Africa_Western,Lake Chad-water withdrawals
Africa_Western,Niger-water withdrawals
Africa_Western,Nile-water withdrawals
Africa_Western,Senegal-water withdrawals
Africa_Western,Volta-water withdrawals
Africa_Western,Zambezi-water withdrawals
Argentina,Central Patagonia Highlands-water withdrawals
Argentina,La Plata-water withdrawals
Argentina,La Puna Region-water withdrawals
Argentina,Mar Chiquita-water withdrawals
Argentina,Negro-water withdrawals
Argentina,North Argentina-South Atlantic Coast-water withdrawals
Argentina,North Chile-Pacific Coast-water withdrawals
Argentina,Pampas Region-water withdrawals
Argentina,Salinas Grandes-water withdrawals
Argentina,South America-Colorado-water withdrawals
Argentina,South Argentina-South Atlantic Coast-water withdrawals
Argentina,South Chile-Pacific Coast-water withdrawals
Australia_NZ,Australia-East Coast-water withdrawals
Australia_NZ,Australia-Interior-water withdrawals
Australia_NZ,Australia-North Coast-water withdrawals
Australia_NZ,Australia-South Coast-water withdrawals
Australia_NZ,Australia-West Coast-water withdrawals
Australia_NZ,Murray-Darling-water withdrawals
Australia_NZ,New Zealand-water withdrawals
Australia_NZ,Tasmania-water withdrawals
Brazil,Amazon-water withdrawals
Brazil,East Brazil-South Atlantic Coast-water withdrawals
Brazil,La Plata-water withdrawals
Brazil,North Brazil-South Atlantic Coast-water withdrawals
Brazil,Northeast South America-South Atlantic Coast-water withdrawals
Brazil,Orinoco-water withdrawals
Brazil,Parnaiba-water withdrawals
Brazil,Sao Francisco-water withdrawals
Brazil,Tocantins-water withdrawals
Brazil,Uruguay-Brazil-South Atlantic Coast-water withdrawals
Canada,Atlantic Ocean Seaboard-water withdrawals
Canada,Churchill-water withdrawals
Canada,Fraser-water withdrawals
Canada,Great Lakes-water withdrawals
Canada,Hudson Bay Coast-water withdrawals
Canada,Mackenzie-water withdrawals
Canada,Missouri River-water withdrawals
Canada,New England-water withdrawals
Canada,Northwest Territories-water withdrawals
Canada,Pacific and Arctic Coast-water withdrawals
Canada,Pacific Northwest-water withdrawals
Canada,Saskatchewan-Nelson-water withdrawals
Canada,St Lawrence-water withdrawals
Central America and Caribbean,Caribbean Coast-water withdrawals
Central America and Caribbean,Caribbean-water withdrawals
Central America and Caribbean,Colombia-Ecuador-Pacific Coast-water withdrawals
Central America and Caribbean,Grijalva-Usumacinta-water withdrawals
Central America and Caribbean,Southern Central America-water withdrawals
Central America and Caribbean,Yucatan Peninsula-water withdrawals
Central Asia,Amu Darya-water withdrawals
Central Asia,Amur-water withdrawals
Central Asia,Black Sea-North Coast-water withdrawals
Central Asia,Black Sea-South Coast-water withdrawals
Central Asia,Caspian Sea Coast-water withdrawals
Central Asia,Caspian Sea-East Coast-water withdrawals
Central Asia,Caspian Sea-South West Coast-water withdrawals
Central Asia,Gobi Interior-water withdrawals
Central Asia,Lake Balkash-water withdrawals
Central Asia,Ob-water withdrawals
Central Asia,Syr Darya-water withdrawals
Central Asia,Tarim Interior-water withdrawals
Central Asia,Ural-water withdrawals
Central Asia,Volga-water withdrawals
Central Asia,Yenisey-water withdrawals
China,Amu Darya-water withdrawals
China,Amur-water withdrawals
China,Bo Hai-Korean Bay-North Coast-water withdrawals
China,China Coast-water withdrawals
China,Ganges-Bramaputra-water withdrawals
China,Gobi Interior-water withdrawals
China,Hainan-water withdrawals
China,Hong-Red River-water withdrawals
China,Huang He-water withdrawals
China,Indus-water withdrawals
China,Irrawaddy-water withdrawals
China,Lake Balkash-water withdrawals
China,Mekong-water withdrawals
China,Ob-water withdrawals
China,Plateau of Tibet Interior-water withdrawals
China,Russia-South East Coast-water withdrawals
China,Salween-water withdrawals
China,South China Sea Coast-water withdrawals
China,Syr Darya-water withdrawals
China,Taiwan-water withdrawals
China,Tarim Interior-water withdrawals
China,Xun Jiang-water withdrawals
China,Yangtze-water withdrawals
China,Ziya He-Interior-water withdrawals
Colombia,Amazon-water withdrawals
Colombia,Caribbean Coast-water withdrawals
Colombia,Colombia-Ecuador-Pacific Coast-water withdrawals
Colombia,Magdalena-water withdrawals
Colombia,Orinoco-water withdrawals
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals
EU-12,Baltic Sea Coast-water withdrawals
EU-12,Danube-water withdrawals
EU-12,Daugava-water withdrawals
EU-12,Denmark-Germany Coast-water withdrawals
EU-12,Dniester-water withdrawals
EU-12,Elbe-water withdrawals
EU-12,Mediterranean Sea-East Coast-water withdrawals
EU-12,Narva-water withdrawals
EU-12,Neman-water withdrawals
EU-12,Oder-water withdrawals
EU-12,Poland Coast-water withdrawals
EU-12,Wisla-water withdrawals
EU-15,Adriatic Sea-Greece-Black Sea Coast-water withdrawals
EU-15,Arctic Ocean Islands-water withdrawals
EU-15,Danube-water withdrawals
EU-15,Denmark-Germany Coast-water withdrawals
EU-15,Douro-water withdrawals
EU-15,Ebro-water withdrawals
EU-15,Elbe-water withdrawals
EU-15,Ems-Weser-water withdrawals
EU-15,England and Wales-water withdrawals
EU-15,Finland-water withdrawals
EU-15,France-South Coast-water withdrawals
EU-15,France-West Coast-water withdrawals
EU-15,Gironde-water withdrawals
EU-15,Guadalquivir-water withdrawals
EU-15,Guadiana-water withdrawals
EU-15,Ireland-water withdrawals
EU-15,Italy-East Coast-water withdrawals
EU-15,Italy-West Coast-water withdrawals
EU-15,Loire-water withdrawals
EU-15,Mediterranean Sea Islands-water withdrawals
EU-15,Neva-water withdrawals
EU-15,Oder-water withdrawals
EU-15,Po-water withdrawals
EU-15,Rhine-water withdrawals
EU-15,Rhone-water withdrawals
EU-15,Scandinavia-North Coast-water withdrawals
EU-15,Scheldt-water withdrawals
EU-15,Scotland-water withdrawals
EU-15,Seine-water withdrawals
EU-15,Spain-Portugal-Atlantic Coast-water withdrawals
EU-15,Spain-South and East Coast-water withdrawals
EU-15,Sweden-water withdrawals
EU-15,Tagus-water withdrawals
EU-15,Tiber-water withdrawals
European Free Trade Association,Danube-water withdrawals
European Free Trade Association,Iceland-water withdrawals
European Free Trade Association,Po-water withdrawals
European Free Trade Association,Rhine-water withdrawals
European Free Trade Association,Rhone-water withdrawals
European Free Trade Association,Scandinavia-North Coast-water withdrawals
European Free Trade Association,Sweden-water withdrawals
Europe_Eastern,Black Sea-North Coast-water withdrawals
Europe_Eastern,Danube-water withdrawals
Europe_Eastern,Daugava-water withdrawals
