INPUT_TABLE
Variable ID
UnlimitRsrc

region,unlimited.resource,output.unit,price.unit,market
European Free Trade Association,Scandinavia-North Coast-water consumption,km^3,1975$/m^3,Scandinavia-North Coast
EU-15,Scandinavia-North Coast-water withdrawals,km^3,1975$/m^3,Scandinavia-North Coast
Russia,Russia-Barents Sea Coast-water withdrawals,km^3,1975$/m^3,Russia-Barents Sea Coast
Russia,Russia-Barents Sea Coast-water consumption,km^3,1975$/m^3,Russia-Barents Sea Coast
Canada,Mackenzie-water consumption,km^3,1975$/m^3,Mackenzie
Canada,Mackenzie-water withdrawals,km^3,1975$/m^3,Mackenzie
European Free Trade Association,Iceland-water withdrawals,km^3,1975$/m^3,Iceland
European Free Trade Association,Iceland-water consumption,km^3,1975$/m^3,Iceland
EU-15,Sweden-water withdrawals,km^3,1975$/m^3,Sweden
EU-15,Sweden-water consumption,km^3,1975$/m^3,Sweden
European Free Trade Association,Sweden-water withdrawals,km^3,1975$/m^3,Sweden
European Free Trade Association,Sweden-water consumption,km^3,1975$/m^3,Sweden
EU-15,Finland-water consumption,km^3,1975$/m^3,Finland
EU-15,Finland-water withdrawals,km^3,1975$/m^3,Finland
Russia,Finland-water consumption,km^3,1975$/m^3,Finland
Russia,Finland-water withdrawals,km^3,1975$/m^3,Finland
Russia,Northern Dvina-water withdrawals,km^3,1975$/m^3,Northern Dvina
Russia,Northern Dvina-water consumption,km^3,1975$/m^3,Northern Dvina
Canada,Hudson Bay Coast-water withdrawals,km^3,1975$/m^3,Hudson Bay Coast
Canada,Hudson Bay Coast-water consumption,km^3,1975$/m^3,Hudson Bay Coast
EU-15,Scotland-water consumption,km^3,1975$/m^3,Scotland
EU-15,Scotland-water withdrawals,km^3,1975$/m^3,Scotland
Europe_Eastern,Neva-water consumption,km^3,1975$/m^3,Neva
Russia,Neva-water consumption,km^3,1975$/m^3,Neva
EU-15,Neva-water withdrawals,km^3,1975$/m^3,Neva
Russia,Neva-water withdrawals,km^3,1975$/m^3,Neva
Europe_Eastern,Neva-water withdrawals,km^3,1975$/m^3,Neva
EU-15,Neva-water consumption,km^3,1975$/m^3,Neva
Russia,Volga-water withdrawals,km^3,1975$/m^3,Volga
Central Asia,Volga-water withdrawals,km^3,1975$/m^3,Volga
Central Asia,Volga-water consumption,km^3,1975$/m^3,Volga
Russia,Volga-water consumption,km^3,1975$/m^3,Volga
Canada,Atlantic Ocean Seaboard-water withdrawals,km^3,1975$/m^3,Atlantic Ocean Seaboard
Canada,Atlantic Ocean Seaboard-water consumption,km^3,1975$/m^3,Atlantic Ocean Seaboard
Russia,Baltic Sea Coast-water withdrawals,km^3,1975$/m^3,Baltic Sea Coast
EU-12,Baltic Sea Coast-water consumption,km^3,1975$/m^3,Baltic Sea Coast
EU-12,Baltic Sea Coast-water withdrawals,km^3,1975$/m^3,Baltic Sea Coast
Russia,Baltic Sea Coast-water consumption,km^3,1975$/m^3,Baltic Sea Coast
EU-15,Denmark-Germany Coast-water consumption,km^3,1975$/m^3,Denmark-Germany Coast
EU-15,Denmark-Germany Coast-water withdrawals,km^3,1975$/m^3,Denmark-Germany Coast
EU-12,Denmark-Germany Coast-water withdrawals,km^3,1975$/m^3,Denmark-Germany Coast
EU-12,Denmark-Germany Coast-water consumption,km^3,1975$/m^3,Denmark-Germany Coast
Russia,Narva-water consumption,km^3,1975$/m^3,Narva
Russia,Narva-water withdrawals,km^3,1975$/m^3,Narva
EU-12,Narva-water consumption,km^3,1975$/m^3,Narva
EU-12,Narva-water withdrawals,km^3,1975$/m^3,Narva
USA,Saskatchewan-Nelson-water withdrawals,km^3,1975$/m^3,Saskatchewan-Nelson
Canada,Saskatchewan-Nelson-water consumption,km^3,1975$/m^3,Saskatchewan-Nelson
USA,Saskatchewan-Nelson-water consumption,km^3,1975$/m^3,Saskatchewan-Nelson
Canada,Saskatchewan-Nelson-water withdrawals,km^3,1975$/m^3,Saskatchewan-Nelson
EU-15,Ireland-water withdrawals,km^3,1975$/m^3,Ireland
EU-15,Ireland-water consumption,km^3,1975$/m^3,Ireland
Europe_Eastern,Daugava-water withdrawals,km^3,1975$/m^3,Daugava
Russia,Daugava-water consumption,km^3,1975$/m^3,Daugava
EU-12,Daugava-water withdrawals,km^3,1975$/m^3,Daugava
Europe_Eastern,Daugava-water consumption,km^3,1975$/m^3,Daugava
Russia,Daugava-water withdrawals,km^3,1975$/m^3,Daugava
EU-12,Daugava-water consumption,km^3,1975$/m^3,Daugava
EU-15,England and Wales-water withdrawals,km^3,1975$/m^3,England and Wales
EU-15,England and Wales-water consumption,km^3,1975$/m^3,England and Wales
Canada,Fraser-water consumption,km^3,1975$/m^3,Fraser
Canada,Fraser-water withdrawals,km^3,1975$/m^3,Fraser
USA,Fraser-water withdrawals,km^3,1975$/m^3,Fraser
USA,Fraser-water consumption,km^3,1975$/m^3,Fraser
EU-15,Ems-Weser-water withdrawals,km^3,1975$/m^3,Ems-Weser
EU-15,Ems-Weser-water consumption,km^3,1975$/m^3,Ems-Weser
EU-15,Oder-water withdrawals,km^3,1975$/m^3,Oder
EU-12,Oder-water withdrawals,km^3,1975$/m^3,Oder
EU-12,Oder-water consumption,km^3,1975$/m^3,Oder
EU-15,Oder-water consumption,km^3,1975$/m^3,Oder
EU-12,Wisla-water consumption,km^3,1975$/m^3,Wisla
Europe_Eastern,Wisla-water withdrawals,km^3,1975$/m^3,Wisla
EU-12,Wisla-water withdrawals,km^3,1975$/m^3,Wisla
Europe_Eastern,Wisla-water consumption,km^3,1975$/m^3,Wisla
EU-15,Elbe-water consumption,km^3,1975$/m^3,Elbe
EU-15,Elbe-water withdrawals,km^3,1975$/m^3,Elbe
EU-12,Elbe-water withdrawals,km^3,1975$/m^3,Elbe
EU-12,Elbe-water consumption,km^3,1975$/m^3,Elbe
European Free Trade Association,Rhine-water withdrawals,km^3,1975$/m^3,Rhine
EU-15,Rhine-water consumption,km^3,1975$/m^3,Rhine
EU-15,Rhine-water withdrawals,km^3,1975$/m^3,Rhine
European Free Trade Association,Rhine-water consumption,km^3,1975$/m^3,Rhine
Russia,Poland Coast-water consumption,km^3,1975$/m^3,Poland Coast
Russia,Poland Coast-water withdrawals,km^3,1975$/m^3,Poland Coast
EU-12,Poland Coast-water consumption,km^3,1975$/m^3,Poland Coast
EU-12,Poland Coast-water withdrawals,km^3,1975$/m^3,Poland Coast
Canada,Churchill-water withdrawals,km^3,1975$/m^3,Churchill
Canada,Churchill-water consumption,km^3,1975$/m^3,Churchill
Europe_Eastern,Neman-water consumption,km^3,1975$/m^3,Neman
Russia,Neman-water withdrawals,km^3,1975$/m^3,Neman
EU-12,Neman-water withdrawals,km^3,1975$/m^3,Neman
Europe_Eastern,Neman-water withdrawals,km^3,1975$/m^3,Neman
Russia,Neman-water consumption,km^3,1975$/m^3,Neman
EU-12,Neman-water consumption,km^3,1975$/m^3,Neman
EU-15,Scheldt-water withdrawals,km^3,1975$/m^3,Scheldt
EU-15,Scheldt-water consumption,km^3,1975$/m^3,Scheldt
Russia,Russia-South East Coast-water consumption,km^3,1975$/m^3,Russia-South East Coast
China,Russia-South East Coast-water consumption,km^3,1975$/m^3,Russia-South East Coast
Southeast Asia,Russia-South East Coast-water withdrawals,km^3,1975$/m^3,Russia-South East Coast
China,Russia-South East Coast-water withdrawals,km^3,1975$/m^3,Russia-South East Coast
Russia,Russia-South East Coast-water withdrawals,km^3,1975$/m^3,Russia-South East Coast
Southeast Asia,Russia-South East Coast-water consumption,km^3,1975$/m^3,Russia-South East Coast
Russia,Ural-water consumption,km^3,1975$/m^3,Ural
Russia,Ural-water withdrawals,km^3,1975$/m^3,Ural
Central Asia,Ural-water withdrawals,km^3,1975$/m^3,Ural
Central Asia,Ural-water consumption,km^3,1975$/m^3,Ural
Europe_Eastern,Dnieper-water consumption,km^3,1975$/m^3,Dnieper
Europe_Eastern,Dnieper-water withdrawals,km^3,1975$/m^3,Dnieper
Russia,Dnieper-water withdrawals,km^3,1975$/m^3,Dnieper
Russia,Dnieper-water consumption,km^3,1975$/m^3,Dnieper
Canada,St Lawrence-water withdrawals,km^3,1975$/m^3,St Lawrence
Canada,St Lawrence-water consumption,km^3,1975$/m^3,St Lawrence
EU-15,France-West Coast-water withdrawals,km^3,1975$/m^3,France-West Coast
EU-15,France-West Coast-water consumption,km^3,1975$/m^3,France-West Coast
Central Asia,Gobi Interior-water consumption,km^3,1975$/m^3,Gobi Interior
China,Gobi Interior-water consumption,km^3,1975$/m^3,Gobi Interior
Central Asia,Gobi Interior-water withdrawals,km^3,1975$/m^3,Gobi Interior
China,Gobi Interior-water withdrawals,km^3,1975$/m^3,Gobi Interior
Russia,Gobi Interior-water withdrawals,km^3,1975$/m^3,Gobi Interior
Russia,Gobi Interior-water consumption,km^3,1975$/m^3,Gobi Interior
China,Amur-water withdrawals,km^3,1975$/m^3,Amur
Central Asia,Amur-water consumption,km^3,1975$/m^3,Amur
Russia,Amur-water consumption,km^3,1975$/m^3,Amur
Central Asia,Amur-water withdrawals,km^3,1975$/m^3,Amur
Russia,Amur-water withdrawals,km^3,1975$/m^3,Amur
China,Amur-water consumption,km^3,1975$/m^3,Amur
EU-15,Loire-water withdrawals,km^3,1975$/m^3,Loire
EU-15,Loire-water consumption,km^3,1975$/m^3,Loire
Russia,Caspian Sea Coast-water withdrawals,km^3,1975$/m^3,Caspian Sea Coast
Central Asia,Caspian Sea Coast-water consumption,km^3,1975$/m^3,Caspian Sea Coast
Central Asia,Caspian Sea Coast-water withdrawals,km^3,1975$/m^3,Caspian Sea Coast
Russia,Caspian Sea Coast-water consumption,km^3,1975$/m^3,Caspian Sea Coast
EU-15,Seine-water consumption,km^3,1975$/m^3,Seine
EU-15,Seine-water withdrawals,km^3,1975$/m^3,Seine
Central Asia,Black Sea-North Coast-water withdrawals,km^3,1975$/m^3,Black Sea-North Coast
Europe_Eastern,Black Sea-North Coast-water consumption,km^3,1975$/m^3,Black Sea-North Coast
Russia,Black Sea-North Coast-water consumption,km^3,1975$/m^3,Black Sea-North Coast
Europe_Eastern,Black Sea-North Coast-water withdrawals,km^3,1975$/m^3,Black Sea-North Coast
Central Asia,Black Sea-North Coast-water consumption,km^3,1975$/m^3,Black Sea-North Coast
Russia,Black Sea-North Coast-water withdrawals,km^3,1975$/m^3,Black Sea-North Coast
Central Asia,Yenisey-water withdrawals,km^3,1975$/m^3,Yenisey
Russia,Yenisey-water withdrawals,km^3,1975$/m^3,Yenisey
Russia,Yenisey-water consumption,km^3,1975$/m^3,Yenisey
Central Asia,Yenisey-water consumption,km^3,1975$/m^3,Yenisey
Europe_Eastern,Dniester-water withdrawals,km^3,1975$/m^3,Dniester
EU-12,Dniester-water consumption,km^3,1975$/m^3,Dniester
EU-12,Dniester-water withdrawals,km^3,1975$/m^3,Dniester
Europe_Eastern,Dniester-water consumption,km^3,1975$/m^3,Dniester
EU-15,Italy-East Coast-water consumption,km^3,1975$/m^3,Italy-East Coast
EU-15,Italy-East Coast-water withdrawals,km^3,1975$/m^3,Italy-East Coast
Japan,Japan-water withdrawals,km^3,1975$/m^3,Japan
Japan,Japan-water consumption,km^3,1975$/m^3,Japan
South Asia,Caspian Sea-East Coast-water consumption,km^3,1975$/m^3,Caspian Sea-East Coast
Middle East,Caspian Sea-East Coast-water consumption,km^3,1975$/m^3,Caspian Sea-East Coast
Middle East,Caspian Sea-East Coast-water withdrawals,km^3,1975$/m^3,Caspian Sea-East Coast
Central Asia,Caspian Sea-East Coast-water consumption,km^3,1975$/m^3,Caspian Sea-East Coast
Central Asia,Caspian Sea-East Coast-water withdrawals,km^3,1975$/m^3,Caspian Sea-East Coast
South Asia,Caspian Sea-East Coast-water withdrawals,km^3,1975$/m^3,Caspian Sea-East Coast
Russia,Don-water consumption,km^3,1975$/m^3,Don
Russia,Don-water withdrawals,km^3,1975$/m^3,Don
Europe_Eastern,Don-water withdrawals,km^3,1975$/m^3,Don
Europe_Eastern,Don-water consumption,km^3,1975$/m^3,Don
EU-12,Danube-water consumption,km^3,1975$/m^3,Danube
Europe_Eastern,Danube-water consumption,km^3,1975$/m^3,Danube
Europe_Non_EU,Danube-water withdrawals,km^3,1975$/m^3,Danube
EU-15,Danube-water withdrawals,km^3,1975$/m^3,Danube
EU-12,Danube-water withdrawals,km^3,1975$/m^3,Danube
EU-15,Danube-water consumption,km^3,1975$/m^3,Danube
Europe_Non_EU,Danube-water consumption,km^3,1975$/m^3,Danube
European Free Trade Association,Danube-water withdrawals,km^3,1975$/m^3,Danube
Europe_Eastern,Danube-water withdrawals,km^3,1975$/m^3,Danube
European Free Trade Association,Danube-water consumption,km^3,1975$/m^3,Danube
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,km^3,1975$/m^3,Adriatic Sea-Greece-Black Sea Coast
Europe_Non_EU,Adriatic Sea-Greece-Black Sea Coast-water consumption,km^3,1975$/m^3,Adriatic Sea-Greece-Black Sea Coast
EU-15,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,km^3,1975$/m^3,Adriatic Sea-Greece-Black Sea Coast
EU-15,Adriatic Sea-Greece-Black Sea Coast-water consumption,km^3,1975$/m^3,Adriatic Sea-Greece-Black Sea Coast
EU-12,Adriatic Sea-Greece-Black Sea Coast-water consumption,km^3,1975$/m^3,Adriatic Sea-Greece-Black Sea Coast
Europe_Non_EU,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,km^3,1975$/m^3,Adriatic Sea-Greece-Black Sea Coast
Central Asia,Ob-water consumption,km^3,1975$/m^3,Ob
China,Ob-water withdrawals,km^3,1975$/m^3,Ob
Central Asia,Ob-water withdrawals,km^3,1975$/m^3,Ob
Russia,Ob-water withdrawals,km^3,1975$/m^3,Ob
Russia,Ob-water consumption,km^3,1975$/m^3,Ob
China,Ob-water consumption,km^3,1975$/m^3,Ob
EU-15,Po-water withdrawals,km^3,1975$/m^3,Po
European Free Trade Association,Po-water consumption,km^3,1975$/m^3,Po
European Free Trade Association,Po-water withdrawals,km^3,1975$/m^3,Po
EU-15,Po-water consumption,km^3,1975$/m^3,Po
Pakistan,Amu Darya-water consumption,km^3,1975$/m^3,Amu Darya
Central Asia,Amu Darya-water consumption,km^3,1975$/m^3,Amu Darya
Pakistan,Amu Darya-water withdrawals,km^3,1975$/m^3,Amu Darya
South Asia,Amu Darya-water withdrawals,km^3,1975$/m^3,Amu Darya
China,Amu Darya-water withdrawals,km^3,1975$/m^3,Amu Darya
South Asia,Amu Darya-water consumption,km^3,1975$/m^3,Amu Darya
Central Asia,Amu Darya-water withdrawals,km^3,1975$/m^3,Amu Darya
China,Amu Darya-water consumption,km^3,1975$/m^3,Amu Darya
EU-15,Italy-West Coast-water consumption,km^3,1975$/m^3,Italy-West Coast
EU-15,Italy-West Coast-water withdrawals,km^3,1975$/m^3,Italy-West Coast
EU-15,Spain-Portugal-Atlantic Coast-water withdrawals,km^3,1975$/m^3,Spain-Portugal-Atlantic Coast
EU-15,Spain-Portugal-Atlantic Coast-water consumption,km^3,1975$/m^3,Spain-Portugal-Atlantic Coast
EU-15,France-South Coast-water withdrawals,km^3,1975$/m^3,France-South Coast
EU-15,France-South Coast-water consumption,km^3,1975$/m^3,France-South Coast
European Free Trade Association,Rhone-water consumption,km^3,1975$/m^3,Rhone
EU-15,Rhone-water consumption,km^3,1975$/m^3,Rhone
EU-15,Rhone-water withdrawals,km^3,1975$/m^3,Rhone
European Free Trade Association,Rhone-water withdrawals,km^3,1975$/m^3,Rhone
EU-15,Mediterranean Sea Islands-water consumption,km^3,1975$/m^3,Mediterranean Sea Islands
EU-15,Mediterranean Sea Islands-water withdrawals,km^3,1975$/m^3,Mediterranean Sea Islands
EU-15,Gironde-water withdrawals,km^3,1975$/m^3,Gironde
EU-15,Gironde-water consumption,km^3,1975$/m^3,Gironde
Southeast Asia,North and South Korea-water consumption,km^3,1975$/m^3,North and South Korea
South Korea,North and South Korea-water consumption,km^3,1975$/m^3,North and South Korea
Southeast Asia,North and South Korea-water withdrawals,km^3,1975$/m^3,North and South Korea
South Korea,North and South Korea-water withdrawals,km^3,1975$/m^3,North and South Korea
Southeast Asia,Bo Hai-Korean Bay-North Coast-water withdrawals,km^3,1975$/m^3,Bo Hai-Korean Bay-North Coast
Southeast Asia,Bo Hai-Korean Bay-North Coast-water consumption,km^3,1975$/m^3,Bo Hai-Korean Bay-North Coast
China,Bo Hai-Korean Bay-North Coast-water consumption,km^3,1975$/m^3,Bo Hai-Korean Bay-North Coast
China,Bo Hai-Korean Bay-North Coast-water withdrawals,km^3,1975$/m^3,Bo Hai-Korean Bay-North Coast
EU-15,Spain-South and East Coast-water consumption,km^3,1975$/m^3,Spain-South and East Coast
EU-15,Spain-South and East Coast-water withdrawals,km^3,1975$/m^3,Spain-South and East Coast
China,Lake Balkash-water withdrawals,km^3,1975$/m^3,Lake Balkash
China,Lake Balkash-water consumption,km^3,1975$/m^3,Lake Balkash
Central Asia,Lake Balkash-water consumption,km^3,1975$/m^3,Lake Balkash
Central Asia,Lake Balkash-water withdrawals,km^3,1975$/m^3,Lake Balkash
EU-15,Tiber-water withdrawals,km^3,1975$/m^3,Tiber
EU-15,Tiber-water consumption,km^3,1975$/m^3,Tiber
Europe_Non_EU,Black Sea-South Coast-water consumption,km^3,1975$/m^3,Black Sea-South Coast
Europe_Non_EU,Black Sea-South Coast-water withdrawals,km^3,1975$/m^3,Black Sea-South Coast
Central Asia,Black Sea-South Coast-water withdrawals,km^3,1975$/m^3,Black Sea-South Coast
Russia,Black Sea-South Coast-water consumption,km^3,1975$/m^3,Black Sea-South Coast
Russia,Black Sea-South Coast-water withdrawals,km^3,1975$/m^3,Black Sea-South Coast
Central Asia,Black Sea-South Coast-water consumption,km^3,1975$/m^3,Black Sea-South Coast
EU-15,Tagus-water withdrawals,km^3,1975$/m^3,Tagus
EU-15,Tagus-water consumption,km^3,1975$/m^3,Tagus
Central Asia,Caspian Sea-South West Coast-water withdrawals,km^3,1975$/m^3,Caspian Sea-South West Coast
Middle East,Caspian Sea-South West Coast-water withdrawals,km^3,1975$/m^3,Caspian Sea-South West Coast
Middle East,Caspian Sea-South West Coast-water consumption,km^3,1975$/m^3,Caspian Sea-South West Coast
Russia,Caspian Sea-South West Coast-water withdrawals,km^3,1975$/m^3,Caspian Sea-South West Coast
Europe_Non_EU,Caspian Sea-South West Coast-water consumption,km^3,1975$/m^3,Caspian Sea-South West Coast
Europe_Non_EU,Caspian Sea-South West Coast-water withdrawals,km^3,1975$/m^3,Caspian Sea-South West Coast
Russia,Caspian Sea-South West Coast-water consumption,km^3,1975$/m^3,Caspian Sea-South West Coast
Central Asia,Caspian Sea-South West Coast-water consumption,km^3,1975$/m^3,Caspian Sea-South West Coast
EU-15,Ebro-water consumption,km^3,1975$/m^3,Ebro
EU-15,Ebro-water withdrawals,km^3,1975$/m^3,Ebro
EU-15,Douro-water withdrawals,km^3,1975$/m^3,Douro
EU-15,Douro-water consumption,km^3,1975$/m^3,Douro
Africa_Northern,Mediterranean Sea-East Coast-water consumption,km^3,1975$/m^3,Mediterranean Sea-East Coast
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,km^3,1975$/m^3,Mediterranean Sea-East Coast
Middle East,Mediterranean Sea-East Coast-water withdrawals,km^3,1975$/m^3,Mediterranean Sea-East Coast
Europe_Non_EU,Mediterranean Sea-East Coast-water withdrawals,km^3,1975$/m^3,Mediterranean Sea-East Coast
Europe_Non_EU,Mediterranean Sea-East Coast-water consumption,km^3,1975$/m^3,Mediterranean Sea-East Coast
EU-12,Mediterranean Sea-East Coast-water withdrawals,km^3,1975$/m^3,Mediterranean Sea-East Coast
EU-12,Mediterranean Sea-East Coast-water consumption,km^3,1975$/m^3,Mediterranean Sea-East Coast
Middle East,Mediterranean Sea-East Coast-water consumption,km^3,1975$/m^3,Mediterranean Sea-East Coast
China,Syr Darya-water withdrawals,km^3,1975$/m^3,Syr Darya
China,Syr Darya-water consumption,km^3,1975$/m^3,Syr Darya
Central Asia,Syr Darya-water withdrawals,km^3,1975$/m^3,Syr Darya
Central Asia,Syr Darya-water consumption,km^3,1975$/m^3,Syr Darya
Russia,Syr Darya-water consumption,km^3,1975$/m^3,Syr Darya
Russia,Syr Darya-water withdrawals,km^3,1975$/m^3,Syr Darya
China,Ziya He-Interior-water withdrawals,km^3,1975$/m^3,Ziya He-Interior
China,Ziya He-Interior-water consumption,km^3,1975$/m^3,Ziya He-Interior
China,China Coast-water consumption,km^3,1975$/m^3,China Coast
China,China Coast-water withdrawals,km^3,1975$/m^3,China Coast
China,Huang He-water withdrawals,km^3,1975$/m^3,Huang He
China,Huang He-water consumption,km^3,1975$/m^3,Huang He
Africa_Northern,Mediterranean South Coast-water withdrawals,km^3,1975$/m^3,Mediterranean South Coast
Africa_Northern,Mediterranean South Coast-water consumption,km^3,1975$/m^3,Mediterranean South Coast
EU-15,Guadiana-water withdrawals,km^3,1975$/m^3,Guadiana
EU-15,Guadiana-water consumption,km^3,1975$/m^3,Guadiana
Middle East,Central Iran-water consumption,km^3,1975$/m^3,Central Iran
Middle East,Central Iran-water withdrawals,km^3,1975$/m^3,Central Iran
EU-15,Guadalquivir-water withdrawals,km^3,1975$/m^3,Guadalquivir
EU-15,Guadalquivir-water consumption,km^3,1975$/m^3,Guadalquivir
Middle East,Tigris-Euphrates-water withdrawals,km^3,1975$/m^3,Tigris-Euphrates
Europe_Non_EU,Tigris-Euphrates-water consumption,km^3,1975$/m^3,Tigris-Euphrates
Middle East,Tigris-Euphrates-water consumption,km^3,1975$/m^3,Tigris-Euphrates
Europe_Non_EU,Tigris-Euphrates-water withdrawals,km^3,1975$/m^3,Tigris-Euphrates
Pakistan,Tarim Interior-water consumption,km^3,1975$/m^3,Tarim Interior
Central Asia,Tarim Interior-water withdrawals,km^3,1975$/m^3,Tarim Interior
Central Asia,Tarim Interior-water consumption,km^3,1975$/m^3,Tarim Interior
Pakistan,Tarim Interior-water withdrawals,km^3,1975$/m^3,Tarim Interior
China,Tarim Interior-water consumption,km^3,1975$/m^3,Tarim Interior
China,Tarim Interior-water withdrawals,km^3,1975$/m^3,Tarim Interior
Africa_Western,Africa-North West Coast-water withdrawals,km^3,1975$/m^3,Africa-North West Coast
Africa_Northern,Africa-North West Coast-water consumption,km^3,1975$/m^3,Africa-North West Coast
Africa_Northern,Africa-North West Coast-water withdrawals,km^3,1975$/m^3,Africa-North West Coast
Africa_Western,Africa-North West Coast-water consumption,km^3,1975$/m^3,Africa-North West Coast
Africa_Eastern,Nile-water withdrawals,km^3,1975$/m^3,Nile
Africa_Southern,Nile-water withdrawals,km^3,1975$/m^3,Nile
Africa_Western,Nile-water consumption,km^3,1975$/m^3,Nile
Africa_Southern,Nile-water consumption,km^3,1975$/m^3,Nile
Africa_Northern,Nile-water consumption,km^3,1975$/m^3,Nile
Africa_Northern,Nile-water withdrawals,km^3,1975$/m^3,Nile
Africa_Western,Nile-water withdrawals,km^3,1975$/m^3,Nile
Africa_Eastern,Nile-water consumption,km^3,1975$/m^3,Nile
Middle East,Persian Gulf Coast-water withdrawals,km^3,1975$/m^3,Persian Gulf Coast
Middle East,Persian Gulf Coast-water consumption,km^3,1975$/m^3,Persian Gulf Coast
Pakistan,Indus-water consumption,km^3,1975$/m^3,Indus
China,Indus-water consumption,km^3,1975$/m^3,Indus
China,Indus-water withdrawals,km^3,1975$/m^3,Indus
Pakistan,Indus-water withdrawals,km^3,1975$/m^3,Indus
India,Indus-water consumption,km^3,1975$/m^3,Indus
South Asia,Indus-water withdrawals,km^3,1975$/m^3,Indus
South Asia,Indus-water consumption,km^3,1975$/m^3,Indus
India,Indus-water withdrawals,km^3,1975$/m^3,Indus
Middle East,Farahrud-water withdrawals,km^3,1975$/m^3,Farahrud
South Asia,Farahrud-water consumption,km^3,1975$/m^3,Farahrud
Middle East,Farahrud-water consumption,km^3,1975$/m^3,Farahrud
South Asia,Farahrud-water withdrawals,km^3,1975$/m^3,Farahrud
Mexico,Baja California-water withdrawals,km^3,1975$/m^3,Baja California
Mexico,Baja California-water consumption,km^3,1975$/m^3,Baja California
China,Plateau of Tibet Interior-water consumption,km^3,1975$/m^3,Plateau of Tibet Interior
China,Plateau of Tibet Interior-water withdrawals,km^3,1975$/m^3,Plateau of Tibet Interior
Middle East,Red Sea-East Coast-water withdrawals,km^3,1975$/m^3,Red Sea-East Coast
Middle East,Red Sea-East Coast-water consumption,km^3,1975$/m^3,Red Sea-East Coast
Middle East,Arabian Peninsula-water consumption,km^3,1975$/m^3,Arabian Peninsula
Middle East,Arabian Peninsula-water withdrawals,km^3,1975$/m^3,Arabian Peninsula
Middle East,Dead Sea-water withdrawals,km^3,1975$/m^3,Dead Sea
Middle East,Dead Sea-water consumption,km^3,1975$/m^3,Dead Sea
Africa_Northern,Dead Sea-water consumption,km^3,1975$/m^3,Dead Sea
Africa_Northern,Dead Sea-water withdrawals,km^3,1975$/m^3,Dead Sea
Mexico,Mexico-Northwest Coast-water consumption,km^3,1975$/m^3,Mexico-Northwest Coast
USA,Mexico-Northwest Coast-water withdrawals,km^3,1975$/m^3,Mexico-Northwest Coast
USA,Mexico-Northwest Coast-water consumption,km^3,1975$/m^3,Mexico-Northwest Coast
Mexico,Mexico-Northwest Coast-water withdrawals,km^3,1975$/m^3,Mexico-Northwest Coast
South Asia,Helmand-water withdrawals,km^3,1975$/m^3,Helmand
South Asia,Helmand-water consumption,km^3,1975$/m^3,Helmand
Pakistan,Helmand-water consumption,km^3,1975$/m^3,Helmand
Middle East,Helmand-water consumption,km^3,1975$/m^3,Helmand
Pakistan,Helmand-water withdrawals,km^3,1975$/m^3,Helmand
Middle East,Helmand-water withdrawals,km^3,1975$/m^3,Helmand
