INPUT_TABLE
Variable ID
UnlimitRsrc

region,unlimited.resource,output.unit,price.unit,market
Russia,Arctic Ocean Islands-water consumption,km^3,1975$/m^3,Arctic Ocean Islands
EU-15,Arctic Ocean Islands-water consumption,km^3,1975$/m^3,Arctic Ocean Islands
EU-15,Arctic Ocean Islands-water withdrawals,km^3,1975$/m^3,Arctic Ocean Islands
Russia,Arctic Ocean Islands-water withdrawals,km^3,1975$/m^3,Arctic Ocean Islands
Canada,Northwest Territories-water withdrawals,km^3,1975$/m^3,Northwest Territories
Canada,Northwest Territories-water consumption,km^3,1975$/m^3,Northwest Territories
Russia,Siberia-North Coast-water withdrawals,km^3,1975$/m^3,Siberia-North Coast
Russia,Siberia-North Coast-water consumption,km^3,1975$/m^3,Siberia-North Coast
Russia,Siberia-West Coast-water withdrawals,km^3,1975$/m^3,Siberia-West Coast
Russia,Siberia-West Coast-water consumption,km^3,1975$/m^3,Siberia-West Coast
Russia,Kara Sea Coast-water consumption,km^3,1975$/m^3,Kara Sea Coast
Russia,Kara Sea Coast-water withdrawals,km^3,1975$/m^3,Kara Sea Coast
Russia,Lena-water consumption,km^3,1975$/m^3,Lena
Russia,Lena-water withdrawals,km^3,1975$/m^3,Lena
Canada,Pacific and Arctic Coast-water withdrawals,km^3,1975$/m^3,Pacific and Arctic Coast
Canada,Pacific and Arctic Coast-water consumption,km^3,1975$/m^3,Pacific and Arctic Coast
USA,Pacific and Arctic Coast-water withdrawals,km^3,1975$/m^3,Pacific and Arctic Coast
USA,Pacific and Arctic Coast-water consumption,km^3,1975$/m^3,Pacific and Arctic Coast
Russia,Scandinavia-North Coast-water withdrawals,km^3,1975$/m^3,Scandinavia-North Coast
EU-15,Scandinavia-North Coast-water consumption,km^3,1975$/m^3,Scandinavia-North Coast
Russia,Scandinavia-North Coast-water consumption,km^3,1975$/m^3,Scandinavia-North Coast
European Free Trade Association,Scandinavia-North Coast-water withdrawals,km^3,1975$/m^3,Scandinavia-North Coast
