Units,scenario,year,market,value
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Africa_EasternCO2,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Africa_EasternCO2_LUC,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Africa_EasternCO2_NearTerm,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Africa_NorthernCO2,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Africa_NorthernCO2_LUC,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Africa_NorthernCO2_NearTerm,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Africa_SouthernCO2,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Africa_SouthernCO2_LUC,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Africa_SouthernCO2_NearTerm,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Africa_WesternCO2,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Africa_WesternCO2_LUC,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Africa_WesternCO2_NearTerm,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,ArgentinaCO2,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,ArgentinaCO2_LUC,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,ArgentinaCO2_NearTerm,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Australia_NZCO2,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Australia_NZCO2_LUC,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Australia_NZCO2_NearTerm,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,BrazilCO2,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,BrazilCO2_LUC,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,BrazilCO2_NearTerm,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,CanadaCO2,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,CanadaCO2_LUC,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,CanadaCO2_NearTerm,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Central America and CaribbeanCO2,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Central America and CaribbeanCO2_LUC,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Central America and CaribbeanCO2_NearTerm,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Central AsiaCO2,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Central AsiaCO2_LUC,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,Central AsiaCO2_NearTerm,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,ChinaCO2,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,ChinaCO2_LUC,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,ChinaCO2_NearTerm,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,ColombiaCO2,0
1990$/tC,gl_md_rs_ssp1_ipsl_4p5,1975,ColombiaCO2_LUC,0
