# ../water-data/level1//L103.water_mapping_R_B_W_Ws_share.csv
# Written by L103.water.basin_mapping.R
# Wed Mar 28 06:29:51 2018
# " water mapping by region / water type / water sector to basin "
# " Unit = share "
"GCAM_region_ID","basin.id","water_type","water.sector","share"
10,76,"water consumption","Electricity",0.261102911417372
10,68,"water consumption","Electricity",0.0458507974746686
10,42,"water consumption","Electricity",0.0138299713918818
10,72,"water consumption","Electricity",0.182044259044912
10,48,"water consumption","Electricity",0.00830497954968904
10,52,"water consumption","Electricity",0.0844871378069281
10,45,"water consumption","Electricity",0.0236609585137048
10,85,"water consumption","Electricity",0.0047975747939739
10,43,"water consumption","Electricity",0.00526623403648304
10,70,"water consumption","Electricity",0.0234293431351675
10,58,"water consumption","Electricity",0.247142656375063
10,56,"water consumption","Electricity",0.0855523272821805
10,38,"water consumption","Electricity",0.0140772690616742
10,18,"water consumption","Electricity",0.000453580116302285
10,76,"water consumption","Livestock",0.217651795656211
10,68,"water consumption","Livestock",0.0395079042779039
10,42,"water consumption","Livestock",0.0920425517159006
10,72,"water consumption","Livestock",0.160474372262014
10,48,"water consumption","Livestock",0.0392998462682484
10,52,"water consumption","Livestock",0.0742381801859422
10,45,"water consumption","Livestock",0.0228632635054692
10,85,"water consumption","Livestock",0.00199581572225026
10,43,"water consumption","Livestock",0.0151188820349615
10,70,"water consumption","Livestock",0.0190064844746343
10,58,"water consumption","Livestock",0.223122950724928
10,56,"water consumption","Livestock",0.0816165336765006
10,38,"water consumption","Livestock",0.0128186851504375
10,18,"water consumption","Livestock",0.000242734344598005
10,76,"water consumption","Manufacturing",0.256858724304284
10,68,"water consumption","Manufacturing",0.0451115637037721
10,42,"water consumption","Manufacturing",0.0154291896713631
10,72,"water consumption","Manufacturing",0.181451521576649
10,48,"water consumption","Manufacturing",0.0102582507661457
10,52,"water consumption","Manufacturing",0.0894879063098347
10,45,"water consumption","Manufacturing",0.0232814206841041
10,85,"water consumption","Manufacturing",0.00551938492308925
10,43,"water consumption","Manufacturing",0.00650548715366644
10,70,"water consumption","Manufacturing",0.0228476053918537
10,58,"water consumption","Manufacturing",0.244488890669835
10,56,"water consumption","Manufacturing",0.0844650569622128
10,38,"water consumption","Manufacturing",0.0138507292104039
10,18,"water consumption","Manufacturing",0.00044426867278654
10,76,"water consumption","Mining",0.266879331206688
10,68,"water consumption","Mining",0.0468631980346863
10,42,"water consumption","Mining",0.00891357753089136
10,72,"water consumption","Mining",0.185249147508525
10,48,"water consumption","Mining",0.00243830895024383
10,52,"water consumption","Mining",0.0861474718586147
10,45,"water consumption","Mining",0.0241337586624134
10,85,"water consumption","Mining",0.00257030763025703
10,43,"water consumption","Mining",0.0015509844901551
10,70,"water consumption","Mining",0.0231071022623107
10,58,"water consumption","Mining",0.250691159755069
10,56,"water consumption","Mining",0.0866021339786602
10,38,"water consumption","Mining",0.0143915227514391
10,18,"water consumption","Mining",0.000461995380046199
10,76,"water consumption","Municipal",0.252603275482767
10,68,"water consumption","Municipal",0.044359959849592
10,42,"water consumption","Municipal",0.0163129235425974
10,72,"water consumption","Municipal",0.180133869365551
10,48,"water consumption","Municipal",0.0114324646213536
10,52,"water consumption","Municipal",0.0925342084596702
10,45,"water consumption","Municipal",0.0229065358831269
10,85,"water consumption","Municipal",0.00595078974604347
10,43,"water consumption","Municipal",0.00725099725916256
10,70,"water consumption","Municipal",0.0226808198588495
10,58,"water consumption","Municipal",0.246532866645517
10,56,"water consumption","Municipal",0.0832413653219054
10,38,"water consumption","Municipal",0.0136199337414251
10,18,"water consumption","Municipal",0.000439990222439501
10,76,"water withdrawals","Electricity",0.265412685390884
10,68,"water withdrawals","Electricity",0.0466101910165724
10,42,"water withdrawals","Electricity",0.0113710360152525
10,72,"water withdrawals","Electricity",0.183621099843395
10,48,"water withdrawals","Electricity",0.00535297197689004
10,52,"water withdrawals","Electricity",0.0830581767095359
10,45,"water withdrawals","Electricity",0.0240520619390422
10,85,"water withdrawals","Electricity",0.00369108847505522
10,43,"water withdrawals","Electricity",0.0033945721839999
10,70,"water withdrawals","Electricity",0.0234516917075971
10,58,"water withdrawals","Electricity",0.248676886987845
10,56,"water withdrawals","Electricity",0.0865330240315541
10,38,"water withdrawals","Electricity",0.0143137469731413
10,18,"water withdrawals","Electricity",0.000460766749235081
10,76,"water withdrawals","Livestock",0.217651795656211
10,68,"water withdrawals","Livestock",0.0395079042779039
10,42,"water withdrawals","Livestock",0.0920425517159006
10,72,"water withdrawals","Livestock",0.160474372262014
10,48,"water withdrawals","Livestock",0.0392998462682484
10,52,"water withdrawals","Livestock",0.0742381801859422
10,45,"water withdrawals","Livestock",0.0228632635054692
10,85,"water withdrawals","Livestock",0.00199581572225026
10,43,"water withdrawals","Livestock",0.0151188820349615
10,70,"water withdrawals","Livestock",0.0190064844746343
10,58,"water withdrawals","Livestock",0.223122950724928
10,56,"water withdrawals","Livestock",0.0816165336765006
10,38,"water withdrawals","Livestock",0.0128186851504375
10,18,"water withdrawals","Livestock",0.000242734344598005
10,76,"water withdrawals","Manufacturing",0.256853338520589
10,68,"water withdrawals","Manufacturing",0.0450996680265289
10,42,"water withdrawals","Manufacturing",0.0154320085645836
10,72,"water withdrawals","Manufacturing",0.181461062029871
10,48,"water withdrawals","Manufacturing",0.0102580012994637
10,52,"water withdrawals","Manufacturing",0.0894906864362219
10,45,"water withdrawals","Manufacturing",0.0232711088624689
10,85,"water withdrawals","Manufacturing",0.00552073355405669
10,43,"water withdrawals","Manufacturing",0.00650596928000404
10,70,"water withdrawals","Manufacturing",0.0228498001823177
10,58,"water withdrawals","Manufacturing",0.244503757058732
10,56,"water withdrawals","Manufacturing",0.0844571933313523
10,38,"water withdrawals","Manufacturing",0.0138508151107198
10,18,"water withdrawals","Manufacturing",0.000445857743090082
