# ../water-data/level1//L100.runoff_B_bm3.csv
# Written by L100.water.supply.runoff.R
# Wed Mar 28 06:29:47 2018
# " Accessable freshwater runoff by basin ID / Historical and future years "
# " Unit = billion m^3 "
"basin.id","X1975","X1990","X2005","X2010","X2015","X2020","X2025","X2030","X2035","X2040","X2045","X2050","X2055","X2060","X2065","X2070","X2075","X2080","X2085","X2090","X2095","X2100"
11,43.55,53.08,44.67,47.37,35.69,45.61,45.49,43.22,42.35,47.47,40.77,43.82,45.75,48.53,36.97,47.05,47.03,44.83,44.07,49.37,42.75,46.42
12,160.93,169.03,162.43,165.44,171.55,158.75,169.09,168.52,172.52,169.42,160.76,181.97,170.12,173.36,180.25,168.26,179.51,180.8,183.69,182.56,172.65,203.53
13,63.17,63.08,65.06,62.62,63.02,60.09,65.21,64.16,66.98,66.09,61.23,68,68.02,65.05,66.66,63.21,68.72,68.29,71.39,70.86,65.54,73.7
14,52.73,53.35,54.67,56.54,55.26,53.04,55.1,57.69,56.57,56.18,55.95,58.91,55.63,57.8,56.89,55.59,57.54,58.33,57.92,58.07,58.6,58.89
15,509.98,523.04,465.34,457.45,564.57,529.09,533.83,546,567.34,557.93,539.94,521.39,490.28,487.89,596.76,565.16,572.66,588.58,607.09,602.2,586.85,552.94
16,26.67,36.69,29.21,28.27,28.87,24.83,27.7,31.97,30.33,32.54,25.56,30.1,29.75,28.87,29.44,25.43,28.5,32.82,31.22,33.51,26.5,31.79
17,59.38,61.25,59.94,63.07,59.56,56.61,60.11,61.08,62.71,64.72,58.1,62.55,62.64,65.15,62.04,59.25,62.31,65.52,66.96,69.1,61.89,66.59
18,362.78,388.4,379.23,405.18,376.67,354.84,368.78,387.53,381.4,383.86,379.21,375.68,381.48,400.68,374.11,345.98,362.25,387.09,382.3,383.72,366.72,391.66
19,193.18,178.46,165.46,170.25,192.45,192.8,192.41,208.57,182.6,181.13,195.32,180.65,168.49,173.99,195.53,196.78,196.77,213.08,187.97,186.65,201.53,195.48
20,11.11,12.64,12.65,12.3,11.44,10.06,11.32,13.43,12.07,12.3,10.85,12.37,13.16,12.34,11.99,10.29,11.65,14.12,12.91,13.35,11.56,13.41
21,11.71,13.28,12.78,13.54,14.86,12.21,12.24,14.9,13.96,13.65,12.9,15.53,13.22,14.05,15.68,12.89,12.92,15.82,14.82,14.59,13.69,16.36
22,9.47,9.59,9.08,10.49,8.91,8.61,9.16,9.72,9.3,9.28,9.26,9.61,9.43,10.24,9.08,8.35,8.91,10.27,9.98,10.08,9.69,9.62
23,274.85,265.99,286.73,266.15,290.23,307.74,278.73,283.83,291.27,281.18,310.37,268.69,288.44,271.88,294.76,313,284.38,290.86,296.54,287.24,315.67,278.49
