# ../water-data/level1//L101.groundwater_grades_unconstrained_bm3.csv
# Written by L101.water.supply.groundwater.R
# Wed Mar 28 06:29:49 2018
# " graded ground water supply curve (unconstrained) by basin ID "
# " Unit = billion m^3 "
"basin.id","price","avail","grade"
1,0.01,1e+07,"grade1"
1,10,0,"grade2"
2,0.01,1e+07,"grade1"
2,10,0,"grade2"
3,0.01,1e+07,"grade1"
3,10,0,"grade2"
4,0.01,1e+07,"grade1"
4,10,0,"grade2"
5,0.01,1e+07,"grade1"
5,10,0,"grade2"
6,0.01,1e+07,"grade1"
6,10,0,"grade2"
7,0.01,1e+07,"grade1"
7,10,0,"grade2"
8,0.01,1e+07,"grade1"
8,10,0,"grade2"
9,0.01,1e+07,"grade1"
9,10,0,"grade2"
10,0.01,1e+07,"grade1"
10,10,0,"grade2"
11,0.01,1e+07,"grade1"
11,10,0,"grade2"
12,0.01,1e+07,"grade1"
12,10,0,"grade2"
13,0.01,1e+07,"grade1"
13,10,0,"grade2"
14,0.01,1e+07,"grade1"
14,10,0,"grade2"
15,0.01,1e+07,"grade1"
15,10,0,"grade2"
16,0.01,1e+07,"grade1"
16,10,0,"grade2"
17,0.01,1e+07,"grade1"
17,10,0,"grade2"
18,0.01,1e+07,"grade1"
18,10,0,"grade2"
19,0.01,1e+07,"grade1"
19,10,0,"grade2"
20,0.01,1e+07,"grade1"
20,10,0,"grade2"
21,0.01,1e+07,"grade1"
21,10,0,"grade2"
22,0.01,1e+07,"grade1"
22,10,0,"grade2"
23,0.01,1e+07,"grade1"
23,10,0,"grade2"
24,0.01,1e+07,"grade1"
24,10,0,"grade2"
25,0.01,1e+07,"grade1"
25,10,0,"grade2"
26,0.01,1e+07,"grade1"
26,10,0,"grade2"
27,0.01,1e+07,"grade1"
27,10,0,"grade2"
28,0.01,1e+07,"grade1"
28,10,0,"grade2"
29,0.01,1e+07,"grade1"
29,10,0,"grade2"
30,0.01,1e+07,"grade1"
30,10,0,"grade2"
31,0.01,1e+07,"grade1"
31,10,0,"grade2"
32,0.01,1e+07,"grade1"
32,10,0,"grade2"
33,0.01,1e+07,"grade1"
33,10,0,"grade2"
34,0.01,1e+07,"grade1"
34,10,0,"grade2"
35,0.01,1e+07,"grade1"
35,10,0,"grade2"
36,0.01,1e+07,"grade1"
36,10,0,"grade2"
37,0.01,1e+07,"grade1"
37,10,0,"grade2"
38,0.01,1e+07,"grade1"
38,10,0,"grade2"
39,0.01,1e+07,"grade1"
39,10,0,"grade2"
40,0.01,1e+07,"grade1"
40,10,0,"grade2"
41,0.01,1e+07,"grade1"
41,10,0,"grade2"
42,0.01,1e+07,"grade1"
42,10,0,"grade2"
43,0.01,1e+07,"grade1"
43,10,0,"grade2"
44,0.01,1e+07,"grade1"
44,10,0,"grade2"
45,0.01,1e+07,"grade1"
45,10,0,"grade2"
46,0.01,1e+07,"grade1"
46,10,0,"grade2"
47,0.01,1e+07,"grade1"
47,10,0,"grade2"
48,0.01,1e+07,"grade1"
48,10,0,"grade2"
49,0.01,1e+07,"grade1"
49,10,0,"grade2"
50,0.01,1e+07,"grade1"
50,10,0,"grade2"
51,0.01,1e+07,"grade1"
51,10,0,"grade2"
52,0.01,1e+07,"grade1"
52,10,0,"grade2"
53,0.01,1e+07,"grade1"
53,10,0,"grade2"
54,0.01,1e+07,"grade1"
54,10,0,"grade2"
55,0.01,1e+07,"grade1"
55,10,0,"grade2"
56,0.01,1e+07,"grade1"
56,10,0,"grade2"
57,0.01,1e+07,"grade1"
57,10,0,"grade2"
58,0.01,1e+07,"grade1"
58,10,0,"grade2"
59,0.01,1e+07,"grade1"
59,10,0,"grade2"
60,0.01,1e+07,"grade1"
60,10,0,"grade2"
61,0.01,1e+07,"grade1"
61,10,0,"grade2"
62,0.01,1e+07,"grade1"
62,10,0,"grade2"
63,0.01,1e+07,"grade1"
63,10,0,"grade2"
64,0.01,1e+07,"grade1"
64,10,0,"grade2"
65,0.01,1e+07,"grade1"
65,10,0,"grade2"
66,0.01,1e+07,"grade1"
66,10,0,"grade2"
67,0.01,1e+07,"grade1"
67,10,0,"grade2"
68,0.01,1e+07,"grade1"
68,10,0,"grade2"
69,0.01,1e+07,"grade1"
69,10,0,"grade2"
70,0.01,1e+07,"grade1"
70,10,0,"grade2"
71,0.01,1e+07,"grade1"
71,10,0,"grade2"
72,0.01,1e+07,"grade1"
72,10,0,"grade2"
73,0.01,1e+07,"grade1"
73,10,0,"grade2"
74,0.01,1e+07,"grade1"
74,10,0,"grade2"
75,0.01,1e+07,"grade1"
75,10,0,"grade2"
76,0.01,1e+07,"grade1"
76,10,0,"grade2"
77,0.01,1e+07,"grade1"
77,10,0,"grade2"
78,0.01,1e+07,"grade1"
78,10,0,"grade2"
79,0.01,1e+07,"grade1"
79,10,0,"grade2"
80,0.01,1e+07,"grade1"
80,10,0,"grade2"
81,0.01,1e+07,"grade1"
81,10,0,"grade2"
82,0.01,1e+07,"grade1"
82,10,0,"grade2"
83,0.01,1e+07,"grade1"
83,10,0,"grade2"
84,0.01,1e+07,"grade1"
84,10,0,"grade2"
85,0.01,1e+07,"grade1"
85,10,0,"grade2"
86,0.01,1e+07,"grade1"
86,10,0,"grade2"
87,0.01,1e+07,"grade1"
87,10,0,"grade2"
88,0.01,1e+07,"grade1"
88,10,0,"grade2"
89,0.01,1e+07,"grade1"
89,10,0,"grade2"
90,0.01,1e+07,"grade1"
90,10,0,"grade2"
91,0.01,1e+07,"grade1"
91,10,0,"grade2"
92,0.01,1e+07,"grade1"
92,10,0,"grade2"
93,0.01,1e+07,"grade1"
93,10,0,"grade2"
94,0.01,1e+07,"grade1"
94,10,0,"grade2"
95,0.01,1e+07,"grade1"
95,10,0,"grade2"
96,0.01,1e+07,"grade1"
96,10,0,"grade2"
97,0.01,1e+07,"grade1"
97,10,0,"grade2"
98,0.01,1e+07,"grade1"
98,10,0,"grade2"
99,0.01,1e+07,"grade1"
99,10,0,"grade2"
100,0.01,1e+07,"grade1"
100,10,0,"grade2"
101,0.01,1e+07,"grade1"
101,10,0,"grade2"
102,0.01,1e+07,"grade1"
102,10,0,"grade2"
103,0.01,1e+07,"grade1"
103,10,0,"grade2"
104,0.01,1e+07,"grade1"
104,10,0,"grade2"
105,0.01,1e+07,"grade1"
105,10,0,"grade2"
106,0.01,1e+07,"grade1"
106,10,0,"grade2"
107,0.01,1e+07,"grade1"
107,10,0,"grade2"
108,0.01,1e+07,"grade1"
108,10,0,"grade2"
109,0.01,1e+07,"grade1"
109,10,0,"grade2"
110,0.01,1e+07,"grade1"
110,10,0,"grade2"
111,0.01,1e+07,"grade1"
111,10,0,"grade2"
112,0.01,1e+07,"grade1"
112,10,0,"grade2"
113,0.01,1e+07,"grade1"
113,10,0,"grade2"
114,0.01,1e+07,"grade1"
114,10,0,"grade2"
115,0.01,1e+07,"grade1"
115,10,0,"grade2"
116,0.01,1e+07,"grade1"
116,10,0,"grade2"
117,0.01,1e+07,"grade1"
117,10,0,"grade2"
118,0.01,1e+07,"grade1"
118,10,0,"grade2"
119,0.01,1e+07,"grade1"
119,10,0,"grade2"
120,0.01,1e+07,"grade1"
