# ../water-data/level1//L101.groundwater_grades_constrained_bm3.csv
# Written by L101.water.supply.groundwater.R
# Wed Mar 28 06:29:49 2018
# " graded ground water supply curve (constrained) by basin ID "
# " Unit = billion m^3 "
"basin.id","price","avail","grade"
1,0.0215,0,"grade hist"
1,0.0315,0.00170393009,"grade1"
1,0.03375,0.02833064822,"grade2"
1,0.036,0.0813140462,"grade3"
1,0.03825,0.0189611543,"grade4"
1,0.45,449,"grade5"
1,10,0,"grade6"
2,0.44,0,"grade hist"
2,0.45,10200,"grade1"
2,10,0,"grade2"
3,0.161,0,"grade hist"
3,0.171,135,"grade1"
3,0.17325,898,"grade2"
3,0.1755,765,"grade3"
3,0.17775,219,"grade4"
3,0.18,657,"grade5"
3,0.18225,128,"grade6"
3,0.1845,596,"grade7"
3,0.18675,128,"grade8"
3,10,0,"grade9"
4,0.13625,0,"grade hist"
4,0.14625,125,"grade1"
4,0.1485,1120,"grade2"
4,0.15075,1250,"grade3"
4,0.153,726,"grade4"
4,0.15525,1690,"grade5"
4,0.1575,942,"grade6"
4,0.15975,3530,"grade7"
4,0.162,235,"grade8"
4,10,0,"grade9"
5,1.79,0,"grade hist"
5,1.8,880,"grade1"
5,2.025,2510,"grade2"
5,10,0,"grade3"
6,0.19025,0,"grade hist"
6,0.20025,391,"grade1"
6,0.2025,1170,"grade2"
6,0.207,227,"grade3"
6,0.20925,1580,"grade4"
6,0.2115,1180,"grade5"
6,0.21375,73.07,"grade6"
6,0.216,950,"grade7"
6,0.21825,438,"grade8"
6,10,0,"grade9"
7,0.11375,0,"grade hist"
7,0.12375,102,"grade1"
7,0.126,204,"grade2"
7,0.12825,609,"grade3"
7,0.1305,1310,"grade4"
7,0.13275,1190,"grade5"
7,0.135,1660,"grade6"
7,0.13725,1440,"grade7"
7,0.1395,1340,"grade8"
7,10,0,"grade9"
8,0.044,0,"grade hist"
8,0.054,7,"grade1"
8,0.05625,87,"grade2"
8,0.0585,224,"grade3"
8,0.06075,213,"grade4"
8,0.063,20,"grade5"
8,10,0,"grade6"
9,0.13175,0,"grade hist"
